date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Alaska,35838.0,141600.0,22486.0,0.74,4.9,5400.0,3.07,19.36,,,,0.253
2021-01-13,Alaska,38680.0,149475.0,24541.0,0.84,5.29,6166.0,3.35,20.43,2842.0,2842.0,3885.0,0.259
2021-01-14,Alaska,42596.0,150450.0,35508.0,,5.82,,4.85,20.57,3916.0,3379.0,4619.0,0.28300000000000003
2021-01-15,Alaska,49039.0,150450.0,39546.0,1.29,6.7,9406.0,5.41,20.57,6443.0,4400.0,6015.0,0.326
2021-01-16,Alaska,,,,,,,,,4323.0,4381.0,5989.0,
2021-01-17,Alaska,,,,,,,,,4323.0,4369.0,5972.0,
2021-01-18,Alaska,,,,,,,,,4323.0,4362.0,5963.0,
2021-01-19,Alaska,66331.0,150450.0,55434.0,1.48,9.07,10802.0,7.58,20.57,4323.0,4356.0,5955.0,0.441
2021-01-20,Alaska,68293.0,150350.0,56911.0,1.54,9.34,11283.0,7.78,20.55,1962.0,4230.0,5782.0,0.45399999999999996
2021-01-21,Alaska,71907.0,154325.0,59449.0,1.69,9.83,12352.0,8.13,21.1,3614.0,4187.0,5724.0,0.466
2021-01-22,Alaska,81096.0,155500.0,67262.0,1.88,11.09,13718.0,9.19,21.26,9189.0,4580.0,6261.0,0.522
2021-01-23,Alaska,88344.0,155700.0,73014.0,2.08,12.08,15206.0,9.98,21.28,7248.0,4997.0,6831.0,0.5670000000000001
2021-01-24,Alaska,94257.0,155700.0,77925.0,2.21,12.88,16201.0,10.65,21.28,5913.0,5225.0,7142.0,0.605
2021-01-25,Alaska,97031.0,155700.0,80226.0,2.28,13.26,16673.0,10.97,21.28,2774.0,5003.0,6839.0,0.623
2021-01-26,Alaska,98149.0,162925.0,81200.0,2.3,13.42,16815.0,11.1,22.27,1118.0,4545.0,6213.0,0.602
2021-01-27,Alaska,101597.0,170575.0,83363.0,2.47,13.89,18097.0,11.4,23.32,3448.0,4758.0,6504.0,0.596
2021-01-28,Alaska,105858.0,178075.0,85672.0,2.74,14.47,20045.0,11.71,24.34,4261.0,4850.0,6630.0,0.594
2021-01-29,Alaska,110396.0,192350.0,88654.0,2.95,15.09,21593.0,12.12,26.29,4538.0,4186.0,5722.0,0.574
2021-01-30,Alaska,115268.0,193150.0,91794.0,3.19,15.76,23320.0,12.55,26.4,4872.0,3846.0,5257.0,0.597
2021-01-31,Alaska,119590.0,193150.0,94889.0,3.36,16.35,24545.0,12.97,26.4,4322.0,3619.0,4947.0,0.619
2021-02-01,Alaska,122020.0,193150.0,96396.0,3.48,16.68,25467.0,13.18,26.4,2430.0,3570.0,4880.0,0.632
2021-02-02,Alaska,123443.0,196975.0,97076.0,3.58,16.87,26207.0,13.27,26.93,1423.0,3613.0,4939.0,0.627
2021-02-03,Alaska,125765.0,229975.0,98076.0,3.76,17.19,27528.0,13.41,31.44,2322.0,3453.0,4720.0,0.547
2021-02-04,Alaska,129936.0,240325.0,99596.0,4.12,17.76,30172.0,13.61,32.85,4171.0,3440.0,4702.0,0.541
2021-02-05,Alaska,134002.0,245700.0,101225.0,4.46,18.32,32593.0,13.84,33.59,4066.0,3372.0,4609.0,0.545
2021-02-06,Alaska,139147.0,248500.0,103163.0,4.89,19.02,35773.0,14.1,33.97,5145.0,3411.0,4663.0,0.56
2021-02-07,Alaska,146082.0,248500.0,106311.0,5.41,19.97,39541.0,14.53,33.97,6935.0,3785.0,5174.0,0.588
2021-02-08,Alaska,150934.0,248500.0,109890.0,5.58,20.63,40812.0,15.02,33.97,4852.0,4131.0,5647.0,0.607
2021-02-09,Alaska,152874.0,256900.0,110936.0,5.7,20.9,41698.0,15.16,35.12,1940.0,4204.0,5747.0,0.595
2021-02-10,Alaska,156255.0,260300.0,112448.0,5.95,21.36,43552.0,15.37,35.58,3381.0,4356.0,5955.0,0.6
2021-02-11,Alaska,162273.0,270250.0,116001.0,6.29,22.18,46006.0,15.86,36.94,6018.0,4620.0,6315.0,0.6
2021-02-12,Alaska,167436.0,271350.0,118189.0,6.69,22.89,48969.0,16.16,37.09,5163.0,4776.0,6529.0,0.617
2021-02-13,Alaska,175138.0,271550.0,122463.0,7.16,23.94,52380.0,16.74,37.12,7702.0,5142.0,7029.0,0.645
2021-02-14,Alaska,183831.0,271550.0,126381.0,7.81,25.13,57117.0,17.28,37.12,8693.0,5393.0,7372.0,0.677
2021-02-15,Alaska,,,,,,,,,3588.5,5212.0,7125.0,
2021-02-16,Alaska,191008.0,271550.0,129658.0,8.33,26.11,60964.0,17.72,37.12,3588.5,5448.0,7447.0,0.703
2021-02-17,Alaska,193617.0,271550.0,130751.0,8.54,26.47,62474.0,17.87,37.12,2609.0,5337.0,7296.0,0.713
2021-02-18,Alaska,199151.0,271550.0,133491.0,8.92,27.22,65245.0,18.25,37.12,5534.0,5268.0,7201.0,0.733
2021-02-19,Alaska,216223.0,299935.0,143887.0,9.83,29.56,71892.0,19.67,41.0,17072.0,6970.0,9528.0,0.721
2021-02-20,Alaska,227403.0,299935.0,148299.0,10.75,31.09,78623.0,20.27,41.0,11180.0,7466.0,10206.0,0.758
2021-02-21,Alaska,235141.0,299935.0,152349.0,11.25,32.14,82272.0,20.83,41.0,7738.0,7330.0,10020.0,0.784
2021-02-22,Alaska,238279.0,299935.0,153349.0,11.54,32.57,84385.0,20.96,41.0,3138.0,7266.0,9932.0,0.794
2021-02-23,Alaska,239927.0,304875.0,154392.0,11.62,32.8,84984.0,21.1,41.68,1648.0,6988.0,9552.0,0.787
2021-02-24,Alaska,243650.0,315765.0,156027.0,11.9,33.31,87061.0,21.33,43.16,3723.0,7148.0,9771.0,0.772
