date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,American Samoa,2124.0,10650.0,842.0,0.47,3.81,260.0,1.51,19.12,,,,0.19899999999999998
2021-01-13,American Samoa,2577.0,10650.0,1193.0,0.65,4.63,362.0,2.14,19.12,453.0,453.0,8134.0,0.242
2021-01-14,American Samoa,2971.0,10650.0,2409.0,,5.33,,4.33,19.12,394.0,424.0,7614.0,0.27899999999999997
2021-01-15,American Samoa,3883.0,18450.0,3144.0,1.33,6.97,738.0,5.65,33.13,912.0,586.0,10523.0,0.21
2021-01-16,American Samoa,,,,,,,,,218.25,494.0,8871.0,
2021-01-17,American Samoa,,,,,,,,,218.25,439.0,7883.0,
2021-01-18,American Samoa,,,,,,,,,218.25,402.0,7219.0,
2021-01-19,American Samoa,4756.0,18450.0,3985.0,1.38,8.54,770.0,7.16,33.13,218.25,376.0,6752.0,0.258
2021-01-20,American Samoa,5313.0,18450.0,4476.0,1.5,9.54,836.0,8.04,33.13,557.0,391.0,7021.0,0.28800000000000003
2021-01-21,American Samoa,5664.0,18450.0,4734.0,1.67,10.17,929.0,8.5,33.13,351.0,385.0,6913.0,0.307
2021-01-22,American Samoa,6569.0,18450.0,5627.0,1.69,11.8,940.0,10.1,33.13,905.0,384.0,6895.0,0.35600000000000004
2021-01-23,American Samoa,6831.0,18450.0,5881.0,1.7,12.27,948.0,10.56,33.13,262.0,390.0,7003.0,0.37
2021-01-24,American Samoa,8046.0,18450.0,7096.0,1.7,14.45,948.0,12.74,33.13,1215.0,532.0,9553.0,0.436
2021-01-25,American Samoa,8046.0,18450.0,7096.0,1.7,14.45,948.0,12.74,33.13,0.0,501.0,8996.0,0.436
2021-01-26,American Samoa,8315.0,18450.0,7365.0,1.7,14.93,948.0,13.23,33.13,269.0,508.0,9122.0,0.451
2021-01-27,American Samoa,9085.0,18450.0,8133.0,1.71,16.31,950.0,14.6,33.13,770.0,539.0,9679.0,0.49200000000000005
2021-01-28,American Samoa,9085.0,18450.0,8133.0,1.71,16.31,950.0,14.6,33.13,0.0,489.0,8781.0,0.49200000000000005
2021-01-29,American Samoa,9925.0,18450.0,8926.0,1.79,17.82,997.0,16.03,33.13,840.0,479.0,8601.0,0.5379999999999999
2021-01-30,American Samoa,9925.0,18450.0,8926.0,1.79,17.82,997.0,16.03,33.13,0.0,442.0,7937.0,0.5379999999999999
2021-01-31,American Samoa,9925.0,18450.0,8926.0,1.79,17.82,997.0,16.03,33.13,0.0,268.0,4812.0,0.5379999999999999
2021-02-01,American Samoa,10761.0,18450.0,9713.0,1.88,19.32,1046.0,17.44,33.13,836.0,388.0,6967.0,0.583
2021-02-02,American Samoa,10761.0,18450.0,9713.0,1.88,19.32,1046.0,17.44,33.13,0.0,349.0,6267.0,0.583
2021-02-03,American Samoa,11066.0,18450.0,9759.0,2.34,19.87,1305.0,17.52,33.13,305.0,283.0,5082.0,0.6
2021-02-04,American Samoa,11257.0,29450.0,9761.0,2.68,20.21,1494.0,17.53,52.88,191.0,310.0,5567.0,0.382
2021-02-05,American Samoa,12029.0,29450.0,9775.0,4.04,21.6,2252.0,17.55,52.88,772.0,301.0,5405.0,0.408
2021-02-06,American Samoa,12259.0,29450.0,9779.0,4.45,22.01,2478.0,17.56,52.88,230.0,333.0,5980.0,0.41600000000000004
2021-02-07,American Samoa,12259.0,29450.0,9779.0,4.45,22.01,2478.0,17.56,52.88,0.0,333.0,5980.0,0.41600000000000004
2021-02-08,American Samoa,12259.0,29450.0,9779.0,4.45,22.01,2478.0,17.56,52.88,0.0,214.0,3843.0,0.41600000000000004
2021-02-09,American Samoa,12680.0,29450.0,9792.0,5.18,22.77,2885.0,17.58,52.88,421.0,274.0,4920.0,0.431
2021-02-10,American Samoa,13318.0,29450.0,9818.0,6.27,23.91,3494.0,17.63,52.88,638.0,322.0,5782.0,0.452
2021-02-11,American Samoa,13513.0,29450.0,9822.0,6.62,24.27,3685.0,17.64,52.88,195.0,322.0,5782.0,0.45899999999999996
2021-02-12,American Samoa,15032.0,29450.0,10057.0,8.92,26.99,4968.0,18.06,52.88,1519.0,429.0,7703.0,0.51
2021-02-13,American Samoa,15382.0,29450.0,10062.0,9.53,27.62,5308.0,18.07,52.88,350.0,446.0,8009.0,0.522
2021-02-14,American Samoa,15382.0,29450.0,10062.0,9.53,27.62,5308.0,18.07,52.88,0.0,446.0,8009.0,0.522
2021-02-15,American Samoa,,,,,,,,,363.5,498.0,8943.0,
2021-02-16,American Samoa,16109.0,29450.0,10236.0,10.52,28.93,5860.0,18.38,52.88,363.5,490.0,8799.0,0.547
2021-02-17,American Samoa,16269.0,29450.0,10267.0,10.75,29.21,5989.0,18.44,52.88,160.0,422.0,7578.0,0.552
2021-02-18,American Samoa,16269.0,29450.0,10267.0,10.75,29.21,5989.0,18.44,52.88,0.0,394.0,7075.0,0.552
2021-02-19,American Samoa,16269.0,29450.0,10267.0,10.75,29.21,5989.0,18.44,52.88,0.0,177.0,3178.0,0.552
2021-02-20,American Samoa,17740.0,29450.0,10831.0,12.38,31.86,6893.0,19.45,52.88,1471.0,337.0,6051.0,0.602
2021-02-21,American Samoa,18778.0,29450.0,10948.0,14.03,33.72,7811.0,19.66,52.88,1038.0,485.0,8709.0,0.638
2021-02-22,American Samoa,18816.0,29450.0,10978.0,14.04,33.79,7818.0,19.71,52.88,38.0,439.0,7883.0,0.639
2021-02-23,American Samoa,18816.0,29450.0,10978.0,14.04,33.79,7818.0,19.71,52.88,0.0,387.0,6949.0,0.639
2021-02-24,American Samoa,19739.0,29450.0,11738.0,14.33,35.45,7979.0,21.08,52.88,923.0,496.0,8907.0,0.67
2021-02-25,American Samoa,19739.0,29450.0,11738.0,14.33,35.45,7979.0,21.08,52.88,0.0,496.0,8907.0,0.67
2021-02-26,American Samoa,20336.0,29450.0,12275.0,14.43,36.52,8037.0,22.04,52.88,597.0,581.0,10433.0,0.691
2021-02-27,American Samoa,20338.0,29450.0,12276.0,14.43,36.52,8037.0,22.04,52.88,2.0,371.0,6662.0,0.691
2021-02-28,American Samoa,20338.0,29450.0,12276.0,14.43,36.52,8037.0,22.04,52.88,0.0,223.0,4004.0,0.691
2021-03-01,American Samoa,20338.0,29450.0,12276.0,14.43,36.52,8037.0,22.04,52.88,0.0,217.0,3897.0,0.691
2021-03-02,American Samoa,21079.0,29450.0,12949.0,14.54,37.85,8099.0,23.25,52.88,741.0,323.0,5800.0,0.716
2021-03-03,American Samoa,21079.0,29450.0,12949.0,14.54,37.85,8099.0,23.25,52.88,0.0,191.0,3430.0,0.716
2021-03-04,American Samoa,21625.0,38810.0,13386.0,14.74,38.83,8208.0,24.04,69.69,546.0,269.0,4830.0,0.557
2021-03-05,American Samoa,21625.0,43210.0,13386.0,14.74,38.83,8208.0,24.04,77.59,0.0,184.0,3304.0,0.5
2021-03-06,American Samoa,21625.0,43210.0,13386.0,14.74,38.83,8208.0,24.04,77.59,0.0,184.0,3304.0,0.5
2021-03-07,American Samoa,21625.0,43210.0,13386.0,14.74,38.83,8208.0,24.04,77.59,0.0,184.0,3304.0,0.5
2021-03-08,American Samoa,21625.0,43210.0,13469.0,14.82,38.83,8254.0,24.19,77.59,0.0,184.0,3304.0,0.5
2021-03-09,American Samoa,21625.0,43210.0,13471.0,14.82,38.83,8254.0,24.19,77.59,0.0,78.0,1401.0,0.5
2021-03-10,American Samoa,23696.0,43210.0,15085.0,15.63,42.55,8706.0,27.09,77.59,2071.0,374.0,6716.0,0.5479999999999999
2021-03-11,American Samoa,23696.0,43210.0,15085.0,15.63,42.55,8706.0,27.09,77.59,0.0,296.0,5315.0,0.5479999999999999
