date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Bureau of Prisons,14663.0,16050.0,5199.0,,,1077.0,,,,,,0.914
2021-01-13,Bureau of Prisons,15694.0,16050.0,5395.0,,,1077.0,,,1031.0,1031.0,,0.978
2021-01-14,Bureau of Prisons,16118.0,16450.0,13997.0,,,,,,424.0,728.0,,0.98
2021-01-15,Bureau of Prisons,16685.0,16750.0,14565.0,,,2086.0,,,567.0,674.0,,0.996
2021-01-16,Bureau of Prisons,,,,,,,,,235.75,564.0,,
2021-01-17,Bureau of Prisons,,,,,,,,,235.75,499.0,,
2021-01-18,Bureau of Prisons,,,,,,,,,235.75,455.0,,
2021-01-19,Bureau of Prisons,17628.0,16750.0,15500.0,,,2091.0,,,235.75,424.0,,1.052
2021-01-20,Bureau of Prisons,19076.0,24750.0,15949.0,,,3092.0,,,1448.0,483.0,,0.7709999999999999
2021-01-21,Bureau of Prisons,20838.0,24750.0,17003.0,,,3800.0,,,1762.0,674.0,,0.8420000000000001
2021-01-22,Bureau of Prisons,21315.0,24750.0,17316.0,,,3962.0,,,477.0,661.0,,0.861
2021-01-23,Bureau of Prisons,23345.0,24750.0,18296.0,,,4977.0,,,2030.0,918.0,,0.943
2021-01-24,Bureau of Prisons,24082.0,24750.0,18965.0,,,5044.0,,,737.0,989.0,,0.973
2021-01-25,Bureau of Prisons,24360.0,24750.0,18988.0,,,5301.0,,,278.0,995.0,,0.9840000000000001
2021-01-26,Bureau of Prisons,25513.0,30050.0,19471.0,,,5971.0,,,1153.0,1126.0,,0.8490000000000001
2021-01-27,Bureau of Prisons,27326.0,30050.0,20415.0,,,6846.0,,,1813.0,1179.0,,0.909
2021-01-28,Bureau of Prisons,28514.0,30050.0,21081.0,,,7368.0,,,1188.0,1097.0,,0.9490000000000001
2021-01-29,Bureau of Prisons,29754.0,30050.0,21674.0,,,8011.0,,,1240.0,1206.0,,0.99
2021-01-30,Bureau of Prisons,30945.0,30050.0,22486.0,,,8389.0,,,1191.0,1086.0,,1.03
2021-01-31,Bureau of Prisons,31285.0,30050.0,22725.0,,,8490.0,,,340.0,1029.0,,1.041
2021-02-01,Bureau of Prisons,31285.0,30050.0,22725.0,,,8490.0,,,0.0,989.0,,1.041
2021-02-02,Bureau of Prisons,32349.0,35950.0,23200.0,,,9079.0,,,1064.0,977.0,,0.9
2021-02-03,Bureau of Prisons,34255.0,36450.0,24049.0,,,10130.0,,,1906.0,990.0,,0.94
2021-02-04,Bureau of Prisons,36195.0,36650.0,24858.0,,,11259.0,,,1940.0,1097.0,,0.988
2021-02-05,Bureau of Prisons,38164.0,37050.0,25657.0,,,12426.0,,,1969.0,1201.0,,1.03
2021-02-06,Bureau of Prisons,39616.0,37050.0,26167.0,,,13362.0,,,1452.0,1239.0,,1.069
2021-02-07,Bureau of Prisons,40333.0,37050.0,26410.0,,,13826.0,,,717.0,1293.0,,1.089
2021-02-08,Bureau of Prisons,40333.0,37050.0,26410.0,,,13826.0,,,0.0,1293.0,,1.089
2021-02-09,Bureau of Prisons,41040.0,42475.0,26770.0,,,14173.0,,,707.0,1242.0,,0.966
2021-02-10,Bureau of Prisons,42751.0,42475.0,27564.0,,,15085.0,,,1711.0,1214.0,,1.006
2021-02-11,Bureau of Prisons,44177.0,42475.0,28139.0,,,15931.0,,,1426.0,1140.0,,1.04
2021-02-12,Bureau of Prisons,45617.0,43775.0,29060.0,,,16449.0,,,1440.0,1065.0,,1.042
2021-02-13,Bureau of Prisons,46926.0,43775.0,29797.0,,,17017.0,,,1309.0,1044.0,,1.072
2021-02-14,Bureau of Prisons,47564.0,43775.0,30193.0,,,17256.0,,,638.0,1033.0,,1.087
2021-02-15,Bureau of Prisons,,,,,,,,,263.0,1071.0,,
2021-02-16,Bureau of Prisons,48090.0,44750.0,30719.0,,,17256.0,,,263.0,1007.0,,1.075
2021-02-17,Bureau of Prisons,48614.0,45725.0,30901.0,,,17598.0,,,524.0,838.0,,1.063
2021-02-18,Bureau of Prisons,49050.0,45725.0,31146.0,,,17789.0,,,436.0,696.0,,1.073
2021-02-19,Bureau of Prisons,49913.0,47675.0,31519.0,,,18276.0,,,863.0,614.0,,1.047
2021-02-20,Bureau of Prisons,51072.0,49175.0,32074.0,,,18879.0,,,1159.0,592.0,,1.0390000000000001
2021-02-21,Bureau of Prisons,52266.0,49175.0,32591.0,,,19556.0,,,1194.0,672.0,,1.063
2021-02-22,Bureau of Prisons,52347.0,49175.0,32591.0,,,19637.0,,,81.0,646.0,,1.065
2021-02-23,Bureau of Prisons,52743.0,49475.0,32628.0,,,19996.0,,,396.0,665.0,,1.0659999999999998
2021-02-24,Bureau of Prisons,53728.0,57155.0,32980.0,,,20628.0,,,985.0,731.0,,0.94
2021-02-25,Bureau of Prisons,55100.0,57155.0,33533.0,,,21439.0,,,1372.0,864.0,,0.9640000000000001
2021-02-26,Bureau of Prisons,57396.0,57155.0,34841.0,,,22339.0,,,2296.0,1069.0,,1.004
2021-02-27,Bureau of Prisons,59234.0,57155.0,36064.0,,,22939.0,,,1838.0,1166.0,,1.036
2021-02-28,Bureau of Prisons,60283.0,57155.0,36995.0,,,23057.0,,,1049.0,1145.0,,1.055
2021-03-01,Bureau of Prisons,60283.0,57155.0,36995.0,,,23057.0,,,0.0,1134.0,,1.055
2021-03-02,Bureau of Prisons,61002.0,65335.0,37239.0,,,23532.0,,,719.0,1180.0,,0.934
2021-03-03,Bureau of Prisons,62745.0,65335.0,38000.0,,,24513.0,,,1743.0,1288.0,,0.96
2021-03-04,Bureau of Prisons,66375.0,65335.0,40290.0,,,25853.0,,,3630.0,1611.0,,1.016
2021-03-05,Bureau of Prisons,70129.0,65335.0,42853.0,,,27041.0,,,3754.0,1819.0,,1.073
2021-03-06,Bureau of Prisons,71759.0,65335.0,43896.0,,,27625.0,,,1630.0,1789.0,,1.0979999999999999
2021-03-07,Bureau of Prisons,72174.0,65335.0,44090.0,,,27841.0,,,415.0,1699.0,,1.105
2021-03-08,Bureau of Prisons,72174.0,65335.0,44090.0,,,27841.0,,,0.0,1699.0,,1.105
2021-03-09,Bureau of Prisons,72539.0,73715.0,44155.0,,,28141.0,,,365.0,1648.0,,0.9840000000000001
2021-03-10,Bureau of Prisons,73254.0,73715.0,44353.0,,,28645.0,,,715.0,1501.0,,0.9940000000000001
2021-03-11,Bureau of Prisons,76224.0,73715.0,46675.0,,,29287.0,,,2970.0,1407.0,,1.034
