date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Colorado,224428.0,516750.0,187838.0,0.63,3.9,36425.0,3.26,8.97,,,,0.434
2021-01-13,Colorado,239665.0,530800.0,198227.0,0.72,4.16,41271.0,3.44,9.22,15237.0,15237.0,2646.0,0.452
2021-01-14,Colorado,254706.0,531775.0,209300.0,,4.42,,3.63,9.23,15041.0,15139.0,2629.0,0.479
2021-01-15,Colorado,272233.0,531775.0,223761.0,0.82,4.73,47021.0,3.89,9.23,17527.0,15935.0,2767.0,0.512
2021-01-16,Colorado,,,,,,,,,14514.75,15580.0,2705.0,
2021-01-17,Colorado,,,,,,,,,14514.75,15367.0,2668.0,
2021-01-18,Colorado,,,,,,,,,14514.75,15225.0,2644.0,
2021-01-19,Colorado,330292.0,531775.0,278639.0,0.87,5.74,49897.0,4.84,9.23,14514.75,15123.0,2626.0,0.621
2021-01-20,Colorado,340438.0,631400.0,287174.0,0.89,5.91,51460.0,4.99,10.96,10146.0,14396.0,2500.0,0.539
2021-01-21,Colorado,353194.0,657250.0,296816.0,0.95,6.13,54474.0,5.15,11.41,12756.0,14070.0,2443.0,0.537
2021-01-22,Colorado,377283.0,671200.0,313217.0,1.08,6.55,62086.0,5.44,11.66,24089.0,15007.0,2606.0,0.562
2021-01-23,Colorado,377283.0,692700.0,313211.0,1.08,6.55,62086.0,5.44,12.03,0.0,12934.0,2246.0,0.545
2021-01-24,Colorado,434496.0,692700.0,355124.0,1.34,7.54,76902.0,6.17,12.03,57213.0,19033.0,3305.0,0.627
2021-01-25,Colorado,447880.0,692700.0,364889.0,1.4,7.78,80467.0,6.34,12.03,13384.0,18872.0,3277.0,0.647
2021-01-26,Colorado,457746.0,726450.0,372266.0,1.44,7.95,82946.0,6.46,12.61,9866.0,18208.0,3162.0,0.63
2021-01-27,Colorado,474527.0,775050.0,381679.0,1.57,8.24,90200.0,6.63,13.46,16781.0,19156.0,3326.0,0.612
2021-01-28,Colorado,495706.0,806950.0,394156.0,1.71,8.61,98663.0,6.84,14.01,21179.0,20359.0,3535.0,0.614
2021-01-29,Colorado,521879.0,813400.0,409939.0,1.88,9.06,108507.0,7.12,14.12,26173.0,20657.0,3587.0,0.642
2021-01-30,Colorado,545356.0,813400.0,423054.0,2.06,9.47,118770.0,7.35,14.12,23477.0,24010.0,4169.0,0.67
2021-01-31,Colorado,569234.0,813400.0,440576.0,2.17,9.88,125078.0,7.65,14.12,23878.0,19248.0,3342.0,0.7
2021-02-01,Colorado,589787.0,813400.0,455422.0,2.27,10.24,130738.0,7.91,14.12,20553.0,20272.0,3520.0,0.725
2021-02-02,Colorado,601347.0,871875.0,464938.0,2.31,10.44,132752.0,8.07,15.14,11560.0,20514.0,3562.0,0.69
2021-02-03,Colorado,617125.0,940800.0,472820.0,2.44,10.72,140610.0,8.21,16.34,15778.0,20371.0,3537.0,0.6559999999999999
2021-02-04,Colorado,638923.0,983225.0,485332.0,2.6,11.09,149829.0,8.43,17.07,21798.0,20460.0,3553.0,0.65
2021-02-05,Colorado,661703.0,989075.0,495381.0,2.82,11.49,162511.0,8.6,17.18,22780.0,19975.0,3469.0,0.669
2021-02-06,Colorado,694860.0,991075.0,512024.0,3.11,12.07,178975.0,8.89,17.21,33157.0,21358.0,3709.0,0.701
2021-02-07,Colorado,729895.0,991075.0,528379.0,3.43,12.67,197523.0,9.18,17.21,35035.0,22952.0,3986.0,0.736
2021-02-08,Colorado,751960.0,991075.0,539961.0,3.61,13.06,207951.0,9.38,17.21,22065.0,23168.0,4023.0,0.759
2021-02-09,Colorado,757560.0,1045000.0,542165.0,3.67,13.15,211328.0,9.41,18.15,5600.0,22316.0,3875.0,0.725
2021-02-10,Colorado,787041.0,1110575.0,557204.0,3.92,13.67,225626.0,9.68,19.29,29481.0,24274.0,4215.0,0.7090000000000001
2021-02-11,Colorado,815108.0,1162775.0,570979.0,4.16,14.15,239804.0,9.92,20.19,28067.0,25169.0,4371.0,0.701
2021-02-12,Colorado,844620.0,1204800.0,586187.0,4.41,14.67,254037.0,10.18,20.92,29512.0,26131.0,4538.0,0.701
2021-02-13,Colorado,885581.0,1210475.0,609445.0,4.72,15.38,271661.0,10.58,21.02,40961.0,27246.0,4731.0,0.732
