date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Connecticut,151395.0,250775.0,56350.0,0.12,4.25,4174.0,1.58,7.03,,,,0.604
2021-01-13,Connecticut,161875.0,315025.0,58920.0,0.15,4.54,5268.0,1.65,8.84,10480.0,10480.0,2939.0,0.514
2021-01-14,Connecticut,171897.0,328675.0,156366.0,,4.82,,4.39,9.22,10022.0,10251.0,2875.0,0.523
2021-01-15,Connecticut,185866.0,328775.0,166722.0,0.48,5.21,17162.0,4.68,9.22,13969.0,11490.0,3223.0,0.565
2021-01-16,Connecticut,,,,,,,,,10914.5,11346.0,3182.0,
2021-01-17,Connecticut,,,,,,,,,10914.5,11260.0,3158.0,
2021-01-18,Connecticut,,,,,,,,,10914.5,11202.0,3142.0,
2021-01-19,Connecticut,229524.0,328775.0,201664.0,0.65,6.44,23150.0,5.66,9.22,10914.5,11161.0,3130.0,0.698
2021-01-20,Connecticut,243140.0,430375.0,213145.0,0.7,6.82,25018.0,5.98,12.07,13616.0,11609.0,3256.0,0.565
2021-01-21,Connecticut,264707.0,435075.0,230913.0,0.8,7.42,28602.0,6.48,12.2,21567.0,13259.0,3719.0,0.608
2021-01-22,Connecticut,287440.0,477250.0,248753.0,0.93,8.06,33149.0,6.98,13.39,22733.0,14511.0,4070.0,0.602
2021-01-23,Connecticut,306796.0,492850.0,264042.0,1.04,8.61,37098.0,7.41,13.82,19356.0,15716.0,4408.0,0.622
2021-01-24,Connecticut,321737.0,492850.0,275126.0,1.14,9.02,40506.0,7.72,13.82,14941.0,16292.0,4570.0,0.653
2021-01-25,Connecticut,331264.0,492850.0,282674.0,1.19,9.29,42421.0,7.93,13.82,9527.0,16094.0,4514.0,0.672
2021-01-26,Connecticut,342643.0,515675.0,291257.0,1.27,9.61,45190.0,8.17,14.46,11379.0,16160.0,4533.0,0.664
2021-01-27,Connecticut,360991.0,543975.0,302710.0,1.46,10.13,51939.0,8.49,15.26,18348.0,16836.0,4722.0,0.664
2021-01-28,Connecticut,381160.0,571775.0,315317.0,1.67,10.69,59437.0,8.84,16.04,20169.0,16636.0,4666.0,0.667
2021-01-29,Connecticut,403370.0,577625.0,329149.0,1.9,11.31,67624.0,9.23,16.2,22210.0,16561.0,4645.0,0.698
2021-01-30,Connecticut,421191.0,578600.0,340886.0,2.07,11.81,73706.0,9.56,16.23,17821.0,16342.0,4584.0,0.728
2021-01-31,Connecticut,436842.0,578600.0,349879.0,2.23,12.25,79511.0,9.81,16.23,15651.0,16444.0,4612.0,0.755
