date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Delaware,26410.0,88325.0,15911.0,0.29,2.71,2784.0,1.63,9.07,,,,0.299
2021-01-13,Delaware,28413.0,91250.0,16647.0,0.42,2.92,4050.0,1.71,9.37,2003.0,2003.0,2057.0,0.311
2021-01-14,Delaware,31090.0,91250.0,25649.0,,3.19,,2.63,9.37,2677.0,2340.0,2403.0,0.341
2021-01-15,Delaware,31090.0,91250.0,25649.0,0.55,3.19,5354.0,2.63,9.37,0.0,1560.0,1602.0,0.341
2021-01-16,Delaware,,,,,,,,,2866.75,1887.0,1938.0,
2021-01-17,Delaware,,,,,,,,,2866.75,2083.0,2139.0,
2021-01-18,Delaware,,,,,,,,,2866.75,2213.0,2273.0,
2021-01-19,Delaware,42557.0,91250.0,35679.0,0.7,4.37,6768.0,3.66,9.37,2866.75,2307.0,2369.0,0.466
2021-01-20,Delaware,45640.0,100375.0,38610.0,0.71,4.69,6919.0,3.97,10.31,3083.0,2461.0,2527.0,0.455
2021-01-21,Delaware,49369.0,106600.0,41900.0,0.76,5.07,7355.0,4.3,10.95,3729.0,2611.0,2681.0,0.46299999999999997
2021-01-22,Delaware,54257.0,116325.0,45292.0,0.91,5.57,8847.0,4.65,11.95,4888.0,3310.0,3399.0,0.466
2021-01-23,Delaware,60023.0,116325.0,49442.0,1.07,6.16,10448.0,5.08,11.95,5766.0,3724.0,3824.0,0.516
2021-01-24,Delaware,64186.0,116325.0,52586.0,1.18,6.59,11464.0,5.4,11.95,4163.0,3909.0,4014.0,0.552
2021-01-25,Delaware,66914.0,116325.0,55131.0,1.2,6.87,11647.0,5.66,11.95,2728.0,3889.0,3994.0,0.575
2021-01-26,Delaware,68507.0,129250.0,56646.0,1.2,7.04,11724.0,5.82,13.27,1593.0,3707.0,3807.0,0.53
2021-01-27,Delaware,77449.0,140850.0,64952.0,1.27,7.95,12352.0,6.67,14.46,8942.0,4544.0,4666.0,0.55
2021-01-28,Delaware,82289.0,141825.0,68959.0,1.35,8.45,13121.0,7.08,14.56,4840.0,4703.0,4830.0,0.58
2021-01-29,Delaware,87300.0,143775.0,72684.0,1.46,8.97,14210.0,7.46,14.76,5011.0,4720.0,4847.0,0.607
2021-01-30,Delaware,92509.0,143775.0,76980.0,1.54,9.5,14956.0,7.91,14.76,5209.0,4641.0,4766.0,0.643
2021-01-31,Delaware,99954.0,143775.0,82970.0,1.68,10.26,16397.0,8.52,14.76,7445.0,5110.0,5248.0,0.695
2021-02-01,Delaware,102697.0,143775.0,84482.0,1.81,10.55,17628.0,8.68,14.76,2743.0,5112.0,5250.0,0.7140000000000001
2021-02-02,Delaware,103770.0,143775.0,85143.0,1.85,10.66,18040.0,8.74,14.76,1073.0,5038.0,5174.0,0.722
2021-02-03,Delaware,107544.0,154700.0,88325.0,1.91,11.04,18568.0,9.07,15.89,3774.0,4299.0,4415.0,0.695
2021-02-04,Delaware,110784.0,161525.0,89727.0,2.09,11.38,20394.0,9.21,16.59,3240.0,4071.0,4181.0,0.6859999999999999
2021-02-05,Delaware,114226.0,161525.0,92265.0,2.18,11.73,21264.0,9.48,16.59,3442.0,3847.0,3951.0,0.7070000000000001
2021-02-06,Delaware,118475.0,161525.0,94962.0,2.34,12.17,22791.0,9.75,16.59,4249.0,3709.0,3809.0,0.733
2021-02-07,Delaware,123428.0,161525.0,98450.0,2.49,12.68,24245.0,10.11,16.59,4953.0,3353.0,3443.0,0.764
2021-02-08,Delaware,126650.0,161525.0,100736.0,2.59,13.01,25179.0,10.35,16.59,3222.0,3422.0,3514.0,0.784
2021-02-09,Delaware,127523.0,162525.0,101383.0,2.61,13.1,25405.0,10.41,16.69,873.0,3393.0,3484.0,0.785
2021-02-10,Delaware,130116.0,183250.0,103319.0,2.68,13.36,26054.0,10.61,18.82,2593.0,3225.0,3312.0,0.71
2021-02-11,Delaware,133370.0,182225.0,105760.0,2.76,13.7,26864.0,10.86,18.71,3254.0,3227.0,3314.0,0.732
2021-02-12,Delaware,136591.0,188075.0,108096.0,2.85,14.03,27742.0,11.1,19.31,3221.0,3195.0,3281.0,0.726
2021-02-13,Delaware,142103.0,188075.0,111918.0,3.02,14.59,29423.0,11.49,19.31,5512.0,3375.0,3466.0,0.7559999999999999
2021-02-14,Delaware,146437.0,188075.0,114564.0,3.19,15.04,31095.0,11.77,19.31,4334.0,3287.0,3376.0,0.779
2021-02-15,Delaware,,,,,,,,,2975.0,3252.0,3340.0,
2021-02-16,Delaware,152387.0,189050.0,117600.0,3.49,15.65,34002.0,12.08,19.41,2975.0,3552.0,3648.0,0.8059999999999999
2021-02-17,Delaware,155111.0,189050.0,118666.0,3.66,15.93,35601.0,12.19,19.41,2724.0,3571.0,3667.0,0.82
2021-02-18,Delaware,159845.0,189050.0,121487.0,3.85,16.42,37499.0,12.48,19.41,4734.0,3782.0,3884.0,0.846
2021-02-19,Delaware,175305.0,204200.0,130818.0,4.48,18.0,43614.0,13.43,20.97,15460.0,5531.0,5680.0,0.858
2021-02-20,Delaware,180600.0,204200.0,133187.0,4.78,18.55,46527.0,13.68,20.97,5295.0,5500.0,5648.0,0.884
2021-02-21,Delaware,180940.0,204200.0,133251.0,4.81,18.58,46803.0,13.68,20.97,340.0,4929.0,5062.0,0.8859999999999999
2021-02-22,Delaware,183901.0,204200.0,134698.0,4.96,18.89,48311.0,13.83,20.97,2961.0,4927.0,5060.0,0.9009999999999999
2021-02-23,Delaware,186619.0,247115.0,135175.0,5.19,19.16,50546.0,13.88,25.38,2718.0,4890.0,5022.0,0.755
2021-02-24,Delaware,189836.0,274055.0,135908.0,5.44,19.5,53019.0,13.96,28.14,3217.0,4961.0,5095.0,0.693
2021-02-25,Delaware,195534.0,289515.0,137830.0,5.83,20.08,56790.0,14.15,29.73,5698.0,5098.0,5235.0,0.675
2021-02-26,Delaware,203745.0,291715.0,140833.0,6.37,20.92,61985.0,14.46,29.96,8211.0,4063.0,4172.0,0.698
2021-02-27,Delaware,212739.0,291815.0,143880.0,6.97,21.85,67915.0,14.78,29.97,8994.0,4591.0,4715.0,0.7290000000000001
2021-02-28,Delaware,219312.0,291815.0,146867.0,7.34,22.52,71482.0,15.08,29.97,6573.0,5482.0,5630.0,0.752
2021-03-01,Delaware,225374.0,291815.0,148491.0,7.8,23.14,75909.0,15.25,29.97,6062.0,5925.0,6085.0,0.772
2021-03-02,Delaware,225417.0,323935.0,148497.0,7.8,23.15,75946.0,15.25,33.27,43.0,5543.0,5692.0,0.696
2021-03-03,Delaware,237669.0,327635.0,152876.0,8.6,24.41,83782.0,15.7,33.65,12252.0,6833.0,7017.0,0.725
2021-03-04,Delaware,246194.0,347965.0,157521.0,8.98,25.28,87485.0,16.18,35.73,8525.0,7237.0,7432.0,0.708
2021-03-05,Delaware,255036.0,359165.0,161830.0,9.45,26.19,92003.0,16.62,36.88,8842.0,7327.0,7524.0,0.71
2021-03-06,Delaware,264601.0,361765.0,166987.0,9.9,27.17,96374.0,17.15,37.15,9565.0,7409.0,7609.0,0.731
2021-03-07,Delaware,275467.0,361765.0,173404.0,10.35,28.29,100801.0,17.81,37.15,10866.0,8022.0,8238.0,0.7609999999999999
2021-03-08,Delaware,280674.0,361765.0,172568.0,10.33,28.82,100543.0,17.72,37.15,5207.0,7900.0,8113.0,0.7759999999999999
2021-03-09,Delaware,285101.0,389215.0,174037.0,10.64,29.28,103622.0,17.87,39.97,4427.0,8526.0,8756.0,0.733
2021-03-10,Delaware,285262.0,397815.0,174501.0,10.66,29.29,103844.0,17.92,40.85,161.0,6799.0,6982.0,0.7170000000000001
