date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Dept of Defense,139439.0,376150.0,131056.0,,,8383.0,,,,,,0.371
2021-01-13,Dept of Defense,139993.0,415500.0,131610.0,,,8383.0,,,554.0,554.0,,0.337
2021-01-14,Dept of Defense,179724.0,464775.0,159851.0,,,,,,39731.0,20142.0,,0.387
2021-01-15,Dept of Defense,201485.0,507975.0,179004.0,,,17946.0,,,21761.0,20682.0,,0.397
2021-01-16,Dept of Defense,,,,,,,,,13323.25,18842.0,,
2021-01-17,Dept of Defense,,,,,,,,,13323.25,17738.0,,
2021-01-18,Dept of Defense,,,,,,,,,13323.25,17003.0,,
2021-01-19,Dept of Defense,254778.0,507975.0,227934.0,,,21753.0,,,13323.25,16477.0,,0.502
2021-01-20,Dept of Defense,256867.0,499400.0,229553.0,,,22157.0,,,2089.0,16696.0,,0.514
2021-01-21,Dept of Defense,274473.0,574900.0,243577.0,,,25429.0,,,17606.0,13536.0,,0.47700000000000004
2021-01-22,Dept of Defense,292490.0,614200.0,258285.0,,,28602.0,,,18017.0,13001.0,,0.47600000000000003
2021-01-23,Dept of Defense,311567.0,677025.0,274128.0,,,31730.0,,,19077.0,13823.0,,0.46
2021-01-24,Dept of Defense,336450.0,677025.0,296176.0,,,34204.0,,,24883.0,15474.0,,0.49700000000000005
2021-01-25,Dept of Defense,346180.0,677025.0,304294.0,,,35570.0,,,9730.0,14961.0,,0.511
2021-01-26,Dept of Defense,346180.0,689425.0,304294.0,,,35570.0,,,0.0,13057.0,,0.502
2021-01-27,Dept of Defense,366010.0,769450.0,318701.0,,,40396.0,,,19830.0,15592.0,,0.47600000000000003
2021-01-28,Dept of Defense,389927.0,794200.0,335627.0,,,46561.0,,,23917.0,16493.0,,0.491
2021-01-29,Dept of Defense,415720.0,808800.0,353482.0,,,53084.0,,,25793.0,17604.0,,0.514
2021-01-30,Dept of Defense,449958.0,816175.0,381304.0,,,59440.0,,,34238.0,19770.0,,0.551
2021-01-31,Dept of Defense,481172.0,816175.0,404643.0,,,67235.0,,,31214.0,20675.0,,0.59
2021-02-01,Dept of Defense,485125.0,816175.0,407915.0,,,67913.0,,,3953.0,19849.0,,0.594
2021-02-02,Dept of Defense,490377.0,807025.0,412800.0,,,68278.0,,,5252.0,20600.0,,0.608
2021-02-03,Dept of Defense,508965.0,872325.0,424284.0,,,75347.0,,,18588.0,20422.0,,0.583
2021-02-04,Dept of Defense,530849.0,921400.0,436270.0,,,85122.0,,,21884.0,20132.0,,0.5760000000000001
2021-02-05,Dept of Defense,559379.0,940100.0,452438.0,,,97352.0,,,28530.0,20523.0,,0.595
2021-02-06,Dept of Defense,588731.0,978500.0,468020.0,,,111028.0,,,29352.0,19825.0,,0.602
2021-02-07,Dept of Defense,621487.0,978500.0,486222.0,,,125455.0,,,32756.0,20045.0,,0.635
2021-02-08,Dept of Defense,632927.0,978500.0,495849.0,,,127265.0,,,11440.0,21115.0,,0.647
2021-02-09,Dept of Defense,637359.0,998525.0,498855.0,,,128690.0,,,4432.0,20997.0,,0.638
2021-02-10,Dept of Defense,657414.0,1012225.0,511923.0,,,135576.0,,,20055.0,21207.0,,0.649
2021-02-11,Dept of Defense,679431.0,1037725.0,525007.0,,,144383.0,,,22017.0,21226.0,,0.655
2021-02-12,Dept of Defense,701736.0,1062500.0,536578.0,,,154958.0,,,22305.0,20337.0,,0.66
2021-02-13,Dept of Defense,726338.0,1080050.0,548146.0,,,167889.0,,,24602.0,19658.0,,0.6729999999999999
2021-02-14,Dept of Defense,751746.0,1084925.0,561995.0,,,179425.0,,,25408.0,18608.0,,0.693
2021-02-15,Dept of Defense,,,,,,,,,1594.5,17202.0,,
2021-02-16,Dept of Defense,754935.0,1096375.0,563839.0,,,180770.0,,,1594.5,16797.0,,0.6890000000000001
2021-02-17,Dept of Defense,759117.0,1102225.0,566933.0,,,181856.0,,,4182.0,14529.0,,0.6890000000000001
2021-02-18,Dept of Defense,791494.0,1146200.0,580821.0,,,200272.0,,,32377.0,16009.0,,0.691
2021-02-19,Dept of Defense,810065.0,1165700.0,590070.0,,,209531.0,,,18571.0,15476.0,,0.695
2021-02-20,Dept of Defense,830843.0,1181300.0,601135.0,,,219173.0,,,20778.0,14929.0,,0.703
2021-02-21,Dept of Defense,854728.0,1181300.0,610523.0,,,233595.0,,,23885.0,14712.0,,0.7240000000000001
2021-02-22,Dept of Defense,865896.0,1181300.0,617656.0,,,237626.0,,,11168.0,16079.0,,0.733
2021-02-23,Dept of Defense,868322.0,1208685.0,618732.0,,,238976.0,,,2426.0,16198.0,,0.718
2021-02-24,Dept of Defense,887011.0,1296965.0,626701.0,,,249659.0,,,18689.0,18271.0,,0.684
2021-02-25,Dept of Defense,907189.0,1320065.0,635697.0,,,260819.0,,,20178.0,16528.0,,0.687
2021-02-26,Dept of Defense,928797.0,1414485.0,645656.0,,,272456.0,,,21608.0,16962.0,,0.657
2021-02-27,Dept of Defense,957910.0,1434935.0,661048.0,,,286109.0,,,29113.0,18152.0,,0.6679999999999999
2021-02-28,Dept of Defense,992748.0,1434935.0,678654.0,,,303314.0,,,34838.0,19717.0,,0.6920000000000001
2021-03-01,Dept of Defense,995054.0,1434935.0,680202.0,,,304072.0,,,2306.0,18451.0,,0.693
2021-03-02,Dept of Defense,996120.0,1456635.0,680682.0,,,304656.0,,,1066.0,18257.0,,0.684
2021-03-03,Dept of Defense,1017839.0,1556605.0,694151.0,,,312894.0,,,21719.0,18690.0,,0.654
2021-03-04,Dept of Defense,1039783.0,1628105.0,706316.0,,,322651.0,,,21944.0,18942.0,,0.639
2021-03-05,Dept of Defense,1065268.0,1676135.0,721060.0,,,333385.0,,,25485.0,19496.0,,0.636
2021-03-06,Dept of Defense,1094565.0,1711265.0,738100.0,,,345622.0,,,29297.0,19522.0,,0.64
2021-03-07,Dept of Defense,1130833.0,1711265.0,758512.0,,,361473.0,,,36268.0,19726.0,,0.6609999999999999
2021-03-08,Dept of Defense,1141841.0,1711265.0,765550.0,,,365443.0,,,11008.0,20970.0,,0.667
2021-03-09,Dept of Defense,1320734.0,1719605.0,868701.0,,,436245.0,,,178893.0,46373.0,,0.768
2021-03-10,Dept of Defense,1343861.0,1809345.0,885870.0,,,442127.0,,,23127.0,46575.0,,0.743
2021-03-11,Dept of Defense,1374234.0,1828270.0,907822.0,,,450436.0,,,30373.0,47779.0,,0.752
