date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,District of Columbia,29812.0,62725.0,,,4.22,,,8.89,,,,0.475
2021-01-13,District of Columbia,33049.0,68325.0,1957.0,0.18,4.68,1275.0,0.28,9.68,3237.0,3237.0,4587.0,0.484
2021-01-14,District of Columbia,36679.0,68325.0,29927.0,,5.2,,4.24,9.68,3630.0,3434.0,4866.0,0.537
2021-01-15,District of Columbia,39934.0,68325.0,31667.0,1.17,5.66,8250.0,4.49,9.68,3255.0,3374.0,4781.0,0.584
2021-01-16,District of Columbia,,,,,,,,,2513.5,3159.0,4476.0,
2021-01-17,District of Columbia,,,,,,,,,2513.5,3030.0,4293.0,
2021-01-18,District of Columbia,,,,,,,,,2513.5,2944.0,4171.0,
2021-01-19,District of Columbia,49988.0,68325.0,39747.0,1.44,7.08,10196.0,5.63,9.68,2513.5,2882.0,4084.0,0.732
2021-01-20,District of Columbia,51733.0,75175.0,41135.0,1.5,7.33,10553.0,5.83,10.65,1745.0,2669.0,3782.0,0.688
2021-01-21,District of Columbia,55108.0,75175.0,43377.0,1.66,7.81,11685.0,6.15,10.65,3375.0,2633.0,3731.0,0.733
2021-01-22,District of Columbia,56864.0,90225.0,44773.0,1.71,8.06,12045.0,6.34,12.78,1756.0,2419.0,3428.0,0.63
2021-01-23,District of Columbia,59793.0,91025.0,47088.0,1.79,8.47,12649.0,6.67,12.9,2929.0,2478.0,3511.0,0.657
2021-01-24,District of Columbia,62391.0,91025.0,49292.0,1.85,8.84,13043.0,6.98,12.9,2598.0,2490.0,3528.0,0.685
2021-01-25,District of Columbia,64194.0,91025.0,50902.0,1.88,9.1,13236.0,7.21,12.9,1803.0,2388.0,3384.0,0.705
2021-01-26,District of Columbia,64748.0,97600.0,51399.0,1.88,9.17,13293.0,7.28,13.83,554.0,2109.0,2988.0,0.6629999999999999
2021-01-27,District of Columbia,68086.0,107575.0,53590.0,2.05,9.65,14434.0,7.59,15.24,3338.0,2336.0,3310.0,0.633
2021-01-28,District of Columbia,70839.0,144425.0,55599.0,2.15,10.04,15177.0,7.88,20.46,2753.0,2247.0,3184.0,0.49
2021-01-29,District of Columbia,73328.0,148325.0,57152.0,2.28,10.39,16112.0,8.1,21.02,2489.0,2352.0,3333.0,0.494
2021-01-30,District of Columbia,76672.0,148525.0,59570.0,2.41,10.86,17029.0,8.44,21.05,3344.0,2411.0,3416.0,0.516
