date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Federated States of Micronesia,424.0,9800.0,414.0,,0.41,,0.4,9.46,,,,0.043
2021-01-13,Federated States of Micronesia,565.0,9800.0,555.0,,0.55,,0.54,9.46,141.0,141.0,1360.0,0.057999999999999996
2021-01-14,Federated States of Micronesia,605.0,9800.0,604.0,,0.58,,0.58,9.46,40.0,90.0,868.0,0.062
2021-01-15,Federated States of Micronesia,694.0,9800.0,692.0,0.0,0.67,2.0,0.67,9.46,89.0,90.0,868.0,0.071
2021-01-16,Federated States of Micronesia,,,,,,,,,185.5,114.0,1100.0,
2021-01-17,Federated States of Micronesia,,,,,,,,,185.5,128.0,1235.0,
2021-01-18,Federated States of Micronesia,,,,,,,,,185.5,138.0,1331.0,
2021-01-19,Federated States of Micronesia,1436.0,9800.0,1434.0,0.0,1.39,2.0,1.38,9.46,185.5,145.0,1399.0,0.147
2021-01-20,Federated States of Micronesia,1756.0,9800.0,1753.0,0.0,1.69,3.0,1.69,9.46,320.0,170.0,1640.0,0.179
2021-01-21,Federated States of Micronesia,2087.0,9800.0,2084.0,0.0,2.01,3.0,2.01,9.46,331.0,212.0,2045.0,0.213
2021-01-22,Federated States of Micronesia,2514.0,9800.0,2511.0,0.0,2.43,3.0,2.42,9.46,427.0,260.0,2509.0,0.257
2021-01-23,Federated States of Micronesia,2752.0,13600.0,2749.0,0.0,2.66,3.0,2.65,13.12,238.0,268.0,2586.0,0.20199999999999999
2021-01-24,Federated States of Micronesia,2752.0,13600.0,2749.0,0.0,2.66,3.0,2.65,13.12,0.0,241.0,2325.0,0.20199999999999999
2021-01-25,Federated States of Micronesia,2758.0,19400.0,2755.0,0.0,2.66,3.0,2.66,18.72,6.0,215.0,2074.0,0.142
2021-01-26,Federated States of Micronesia,2977.0,19400.0,2973.0,0.0,2.87,4.0,2.87,18.72,219.0,220.0,2123.0,0.153
2021-01-27,Federated States of Micronesia,3241.0,19400.0,3210.0,0.0,3.13,4.0,3.1,18.72,264.0,212.0,2045.0,0.16699999999999998
2021-01-28,Federated States of Micronesia,3502.0,19400.0,3471.0,0.0,3.38,4.0,3.35,18.72,261.0,202.0,1949.0,0.18100000000000002
2021-01-29,Federated States of Micronesia,3965.0,19400.0,3933.0,0.0,3.83,5.0,3.79,18.72,463.0,207.0,1997.0,0.204
2021-01-30,Federated States of Micronesia,3965.0,19400.0,3933.0,0.0,3.83,5.0,3.79,18.72,0.0,173.0,1669.0,0.204
2021-01-31,Federated States of Micronesia,3965.0,19400.0,3933.0,0.0,3.83,5.0,3.79,18.72,0.0,173.0,1669.0,0.204
2021-02-01,Federated States of Micronesia,5110.0,19400.0,5068.0,0.01,4.93,15.0,4.89,18.72,1145.0,336.0,3242.0,0.263
2021-02-02,Federated States of Micronesia,5726.0,19400.0,5683.0,0.02,5.52,16.0,5.48,18.72,616.0,393.0,3792.0,0.295
2021-02-03,Federated States of Micronesia,6254.0,19400.0,6210.0,0.02,6.03,17.0,5.99,18.72,528.0,430.0,4149.0,0.322
2021-02-04,Federated States of Micronesia,6699.0,21900.0,6646.0,0.03,6.46,26.0,6.41,21.13,445.0,457.0,4409.0,0.306
2021-02-05,Federated States of Micronesia,7005.0,21900.0,6943.0,0.03,6.76,35.0,6.7,21.13,306.0,434.0,4187.0,0.32
2021-02-06,Federated States of Micronesia,7335.0,21900.0,7230.0,0.08,7.08,78.0,6.98,21.13,330.0,481.0,4641.0,0.335
2021-02-07,Federated States of Micronesia,7415.0,21900.0,7309.0,0.08,7.15,79.0,7.05,21.13,80.0,493.0,4757.0,0.33899999999999997
2021-02-08,Federated States of Micronesia,7449.0,21900.0,7310.0,0.11,7.19,112.0,7.05,21.13,34.0,334.0,3223.0,0.34
