date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Florida,633440.0,1676300.0,586741.0,0.19,2.95,41725.0,2.73,7.8,,,,0.37799999999999995
2021-01-13,Florida,705398.0,1680200.0,647330.0,0.25,3.28,52969.0,3.01,7.82,71958.0,71958.0,3350.0,0.42
2021-01-14,Florida,774485.0,1970875.0,709002.0,,3.61,,3.3,9.18,69087.0,70522.0,3283.0,0.39299999999999996
2021-01-15,Florida,853081.0,2069175.0,776430.0,0.35,3.97,74776.0,3.62,9.63,78596.0,73214.0,3409.0,0.41200000000000003
2021-01-16,Florida,,,,,,,,,80401.0,75010.0,3492.0,
2021-01-17,Florida,,,,,,,,,80401.0,76089.0,3543.0,
2021-01-18,Florida,,,,,,,,,80401.0,76807.0,3576.0,
2021-01-19,Florida,1174685.0,2069175.0,1068787.0,0.48,5.47,103173.0,4.98,9.63,80401.0,77321.0,3600.0,0.568
2021-01-20,Florida,1239975.0,2545050.0,1125338.0,0.52,5.77,111763.0,5.24,11.85,65290.0,76368.0,3556.0,0.48700000000000004
2021-01-21,Florida,1239975.0,2546050.0,1125338.0,0.52,5.77,111763.0,5.24,11.85,0.0,66499.0,3096.0,0.48700000000000004
2021-01-22,Florida,1314377.0,2616250.0,1186719.0,0.58,6.12,124582.0,5.53,12.18,74402.0,65899.0,3068.0,0.502
2021-01-23,Florida,1489003.0,2908275.0,1333116.0,0.71,6.93,152209.0,6.21,13.54,174626.0,79360.0,3695.0,0.512
2021-01-24,Florida,1544794.0,2908275.0,1384479.0,0.73,7.19,156226.0,6.45,13.54,55791.0,75844.0,3531.0,0.531
2021-01-25,Florida,1544794.0,2908275.0,1384407.0,0.73,7.19,156298.0,6.45,13.54,0.0,64359.0,2997.0,0.531
2021-01-26,Florida,1575490.0,3095350.0,1412466.0,0.74,7.34,158886.0,6.58,14.41,30696.0,57258.0,2666.0,0.509
2021-01-27,Florida,1632491.0,3095850.0,1451507.0,0.82,7.6,176671.0,6.76,14.41,57001.0,56074.0,2611.0,0.527
2021-01-28,Florida,1707251.0,3095850.0,1497903.0,0.95,7.95,204623.0,6.97,14.41,74760.0,66754.0,3108.0,0.551
2021-01-29,Florida,1796246.0,3220350.0,1554179.0,1.1,8.36,236834.0,7.24,14.99,88995.0,68838.0,3205.0,0.5579999999999999
2021-01-30,Florida,1890198.0,3396350.0,1610425.0,1.28,8.8,274211.0,7.5,15.81,93952.0,57314.0,2669.0,0.557
2021-01-31,Florida,1959626.0,3396350.0,1656005.0,1.39,9.12,297584.0,7.71,15.81,69428.0,59262.0,2759.0,0.5770000000000001
2021-02-01,Florida,2005378.0,3396350.0,1683674.0,1.47,9.34,315392.0,7.84,15.81,45752.0,65798.0,3064.0,0.59
2021-02-02,Florida,2048143.0,3657775.0,1712327.0,1.53,9.54,329176.0,7.97,17.03,42765.0,67522.0,3144.0,0.56
2021-02-03,Florida,2133168.0,3658975.0,1752699.0,1.74,9.93,373238.0,8.16,17.04,85025.0,71525.0,3330.0,0.583
2021-02-04,Florida,2223754.0,3658975.0,1793625.0,1.97,10.35,422482.0,8.35,17.04,90586.0,73786.0,3435.0,0.608
2021-02-05,Florida,2260744.0,3791925.0,1812723.0,2.05,10.53,440172.0,8.44,17.66,36990.0,66357.0,3090.0,0.596
2021-02-06,Florida,2385839.0,3791925.0,1865090.0,2.38,11.11,512064.0,8.68,17.66,125095.0,70806.0,3297.0,0.629
2021-02-07,Florida,2607527.0,3791925.0,1965590.0,2.93,12.14,629556.0,9.15,17.66,221688.0,92557.0,4309.0,0.688
2021-02-08,Florida,2607527.0,3791925.0,1965590.0,2.93,12.14,629556.0,9.15,17.66,0.0,86021.0,4005.0,0.688
2021-02-09,Florida,2731300.0,4217275.0,2023419.0,3.23,12.72,694637.0,9.42,19.64,123773.0,97594.0,4544.0,0.648
2021-02-10,Florida,2835535.0,4258875.0,2064585.0,3.52,13.2,756678.0,9.61,19.83,104235.0,100338.0,4672.0,0.6659999999999999
2021-02-11,Florida,2957730.0,4318675.0,2118750.0,3.83,13.77,823514.0,9.86,20.11,122195.0,104854.0,4882.0,0.685
2021-02-12,Florida,3216044.0,4332100.0,2235645.0,4.48,14.97,962465.0,10.41,20.17,258314.0,136471.0,6354.0,0.742
2021-02-13,Florida,3351430.0,4441375.0,2304435.0,4.79,15.6,1028266.0,10.73,20.68,135386.0,137942.0,6423.0,0.755
2021-02-14,Florida,3467856.0,4514300.0,2366552.0,5.04,16.15,1082096.0,11.02,21.02,116426.0,122904.0,5722.0,0.768
2021-02-15,Florida,,,,,,,,,65570.0,132271.0,6159.0,
2021-02-16,Florida,3598996.0,4597575.0,2441429.0,5.28,16.76,1134793.0,11.37,21.41,65570.0,123957.0,5771.0,0.7829999999999999
2021-02-17,Florida,3702569.0,4699950.0,2498089.0,5.5,17.24,1180757.0,11.63,21.88,103573.0,123862.0,5767.0,0.7879999999999999
2021-02-18,Florida,3819224.0,4700950.0,2562863.0,5.73,17.78,1231696.0,11.93,21.89,116655.0,123071.0,5730.0,0.812
2021-02-19,Florida,4198451.0,4971575.0,2793123.0,6.42,19.55,1378573.0,13.0,23.15,379227.0,140344.0,6534.0,0.8440000000000001
2021-02-20,Florida,4205898.0,5120975.0,2796210.0,6.44,19.58,1382923.0,13.02,23.84,7447.0,122067.0,5683.0,0.821
2021-02-21,Florida,4387051.0,5120975.0,2877011.0,6.9,20.43,1481148.0,13.4,23.84,181153.0,131314.0,6114.0,0.857
2021-02-22,Florida,4390626.0,5120975.0,2879026.0,6.9,20.44,1482708.0,13.4,23.84,3575.0,122457.0,5702.0,0.857
2021-02-23,Florida,4406005.0,5483265.0,2884231.0,6.95,20.51,1492758.0,13.43,25.53,15379.0,115287.0,5368.0,0.804
2021-02-24,Florida,4502702.0,5997365.0,2936823.0,7.15,20.96,1535864.0,13.67,27.92,96697.0,114305.0,5322.0,0.7509999999999999
2021-02-25,Florida,4605201.0,6013185.0,2983316.0,7.41,21.44,1590721.0,13.89,28.0,102499.0,112282.0,5228.0,0.7659999999999999
2021-02-26,Florida,4704530.0,6083555.0,3032041.0,7.64,21.9,1640330.0,14.12,28.32,99329.0,72297.0,3366.0,0.773
2021-02-27,Florida,4822353.0,6313255.0,3095704.0,7.88,22.45,1693485.0,14.41,29.39,117823.0,88065.0,4100.0,0.764
2021-02-28,Florida,5044420.0,6313355.0,3222786.0,8.32,23.49,1787164.0,15.01,29.39,222067.0,93910.0,4372.0,0.799
2021-03-01,Florida,5047960.0,6313355.0,3225973.0,8.32,23.5,1787511.0,15.02,29.39,3540.0,93905.0,4372.0,0.8
2021-03-02,Florida,5077891.0,6744275.0,3243667.0,8.38,23.64,1799607.0,15.1,31.4,29931.0,95984.0,4469.0,0.753
2021-03-03,Florida,5167346.0,7112075.0,3297947.0,8.54,24.06,1833883.0,15.36,33.11,89455.0,94949.0,4421.0,0.727
2021-03-04,Florida,5314200.0,7200465.0,3391582.0,8.78,24.74,1886028.0,15.79,33.53,146854.0,101286.0,4716.0,0.738
2021-03-05,Florida,5448653.0,7524815.0,3480937.0,8.99,25.37,1929985.0,16.21,35.04,134453.0,106303.0,4949.0,0.7240000000000001
2021-03-06,Florida,5688357.0,7771315.0,3641725.0,9.34,26.48,2006907.0,16.96,36.18,239704.0,123715.0,5760.0,0.732
2021-03-07,Florida,5900450.0,7771315.0,3784364.0,9.66,27.47,2074589.0,17.62,36.18,212093.0,122290.0,5694.0,0.759
2021-03-08,Florida,5904827.0,7771315.0,3718074.0,9.57,27.49,2055838.0,17.31,36.18,4377.0,122410.0,5699.0,0.76
2021-03-09,Florida,5961421.0,8455205.0,3760044.0,9.66,27.76,2074763.0,17.51,39.37,56594.0,126219.0,5877.0,0.705
2021-03-10,Florida,6070173.0,8531035.0,3833243.0,9.83,28.26,2111915.0,17.85,39.72,108752.0,128975.0,6005.0,0.7120000000000001
2021-03-11,Florida,6332072.0,8595895.0,3963502.0,10.15,29.48,2179625.0,18.45,40.02,261899.0,145410.0,6770.0,0.737
