date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Georgia,170571.0,960975.0,85110.0,0.07,1.61,7746.0,0.8,9.05,,,,0.177
2021-01-13,Georgia,198756.0,1003975.0,86105.0,0.08,1.87,8937.0,0.81,9.46,28185.0,28185.0,2655.0,0.198
2021-01-14,Georgia,231305.0,1010900.0,204301.0,,2.18,,1.92,9.52,32549.0,30367.0,2860.0,0.22899999999999998
2021-01-15,Georgia,231305.0,1011200.0,204301.0,0.21,2.18,22324.0,1.92,9.52,0.0,20245.0,1907.0,0.22899999999999998
2021-01-16,Georgia,,,,,,,,,20257.75,20248.0,1907.0,
2021-01-17,Georgia,,,,,,,,,20257.75,20250.0,1907.0,
2021-01-18,Georgia,,,,,,,,,20257.75,20251.0,1907.0,
2021-01-19,Georgia,312336.0,1011200.0,278151.0,0.27,2.94,28907.0,2.62,9.52,20257.75,20252.0,1907.0,0.309
2021-01-20,Georgia,397048.0,1077375.0,356010.0,0.33,3.74,35029.0,3.35,10.15,84712.0,28327.0,2668.0,0.369
2021-01-21,Georgia,453862.0,1162275.0,407000.0,0.38,4.27,39972.0,3.83,10.95,56814.0,31794.0,2995.0,0.39
2021-01-22,Georgia,603486.0,1235375.0,533665.0,0.56,5.68,59925.0,5.03,11.64,149624.0,53169.0,5008.0,0.489
2021-01-23,Georgia,604067.0,1235775.0,534161.0,0.56,5.69,59965.0,5.03,11.64,581.0,50358.0,4743.0,0.489
2021-01-24,Georgia,604067.0,1235775.0,534161.0,0.56,5.69,59965.0,5.03,11.64,0.0,47464.0,4470.0,0.489
2021-01-25,Georgia,604067.0,1235775.0,534161.0,0.56,5.69,59965.0,5.03,11.64,0.0,44570.0,4198.0,0.489
2021-01-26,Georgia,668589.0,1309850.0,591385.0,0.61,6.3,64989.0,5.57,12.34,64522.0,50893.0,4793.0,0.51
2021-01-27,Georgia,712866.0,1412450.0,622905.0,0.71,6.71,75360.0,5.87,13.3,44277.0,45117.0,4249.0,0.505
2021-01-28,Georgia,764211.0,1441025.0,659212.0,0.84,7.2,89305.0,6.21,13.57,51345.0,44336.0,4176.0,0.53
2021-01-29,Georgia,810291.0,1448825.0,693085.0,0.94,7.63,99941.0,6.53,13.65,46080.0,29544.0,2783.0,0.5589999999999999
2021-01-30,Georgia,856746.0,1449800.0,729117.0,1.03,8.07,109311.0,6.87,13.65,46455.0,36097.0,3400.0,0.591
2021-01-31,Georgia,906186.0,1449800.0,766875.0,1.13,8.53,119878.0,7.22,13.65,49440.0,43160.0,4065.0,0.625
2021-02-01,Georgia,930517.0,1449800.0,785487.0,1.18,8.76,125548.0,7.4,13.65,24331.0,46636.0,4392.0,0.642
2021-02-02,Georgia,940066.0,1557175.0,790354.0,1.22,8.85,129885.0,7.44,14.67,9549.0,38782.0,3653.0,0.604
2021-02-03,Georgia,975038.0,1638700.0,813214.0,1.33,9.18,140900.0,7.66,15.43,34972.0,37453.0,3528.0,0.595
2021-02-04,Georgia,1008040.0,1686125.0,834091.0,1.44,9.49,152626.0,7.86,15.88,33002.0,34833.0,3281.0,0.598
2021-02-05,Georgia,1051622.0,1688075.0,860543.0,1.59,9.9,169163.0,8.11,15.9,43582.0,34476.0,3247.0,0.623
2021-02-06,Georgia,1098863.0,1688075.0,887597.0,1.78,10.35,188736.0,8.36,15.9,47241.0,34588.0,3258.0,0.6509999999999999
2021-02-07,Georgia,1146024.0,1688075.0,912189.0,1.98,10.79,210237.0,8.59,15.9,47161.0,34263.0,3227.0,0.679
2021-02-08,Georgia,1167738.0,1688075.0,923282.0,2.07,11.0,219840.0,8.7,15.9,21714.0,33889.0,3192.0,0.6920000000000001
2021-02-09,Georgia,1179950.0,1840775.0,927176.0,2.15,11.11,227997.0,8.73,17.34,12212.0,34269.0,3228.0,0.6409999999999999
2021-02-10,Georgia,1223850.0,1914800.0,946505.0,2.37,11.53,251946.0,8.91,18.03,43900.0,35545.0,3348.0,0.639
2021-02-11,Georgia,1273015.0,2017525.0,967179.0,2.63,11.99,279546.0,9.11,19.0,49165.0,37854.0,3565.0,0.631
2021-02-12,Georgia,1273015.0,2017525.0,967179.0,2.63,11.99,279546.0,9.11,19.0,0.0,31628.0,2979.0,0.631
2021-02-13,Georgia,1328795.0,2020275.0,987693.0,2.96,12.52,313961.0,9.3,19.03,55780.0,32847.0,3094.0,0.6579999999999999
2021-02-14,Georgia,1437718.0,2020275.0,1027629.0,3.58,13.54,380394.0,9.68,19.03,108923.0,41671.0,3925.0,0.7120000000000001
2021-02-15,Georgia,,,,,,,,,17861.0,41120.0,3873.0,
2021-02-16,Georgia,1473440.0,2130100.0,1040075.0,3.79,13.88,402578.0,9.8,20.06,17861.0,41927.0,3949.0,0.6920000000000001
2021-02-17,Georgia,1473440.0,2131775.0,1040075.0,3.79,13.88,402578.0,9.8,20.08,0.0,35656.0,3358.0,0.691
2021-02-18,Georgia,1569216.0,2145525.0,1073929.0,4.36,14.78,462570.0,10.11,20.21,95776.0,42314.0,3985.0,0.731
2021-02-19,Georgia,1720789.0,2286360.0,1158554.0,4.97,16.21,527556.0,10.91,21.53,151573.0,63968.0,6025.0,0.753
2021-02-20,Georgia,1786755.0,2292085.0,1181826.0,5.35,16.83,568299.0,11.13,21.59,65966.0,65423.0,6162.0,0.78
2021-02-21,Georgia,1850856.0,2292085.0,1202374.0,5.74,17.43,609520.0,11.32,21.59,64101.0,59020.0,5559.0,0.807
2021-02-22,Georgia,1873683.0,2292085.0,1210708.0,5.88,17.65,623795.0,11.4,21.59,22827.0,59729.0,5626.0,0.8170000000000001
2021-02-23,Georgia,1880429.0,2369305.0,1213224.0,5.91,17.71,627968.0,11.43,22.32,6746.0,58141.0,5476.0,0.794
2021-02-24,Georgia,1919262.0,2535925.0,1225659.0,6.15,18.08,653286.0,11.54,23.88,38833.0,63689.0,5999.0,0.757
