date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Guam,3791.0,26500.0,401.0,,2.29,,0.24,15.99,,,,0.14300000000000002
2021-01-13,Guam,3791.0,34300.0,401.0,,2.29,,0.24,20.69,0.0,0.0,0.0,0.111
2021-01-14,Guam,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
2021-01-15,Guam,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
2021-01-16,Guam,,,,,,,,,0.0,0.0,0.0,
2021-01-17,Guam,,,,,,,,,0.0,0.0,0.0,
2021-01-18,Guam,,,,,,,,,0.0,0.0,0.0,
2021-01-19,Guam,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
2021-01-20,Guam,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
2021-01-21,Guam,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
2021-01-22,Guam,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
2021-01-23,Guam,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
2021-01-24,Guam,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
2021-01-25,Guam,3791.0,34300.0,3785.0,,2.29,,2.28,20.69,0.0,0.0,0.0,0.111
2021-01-26,Guam,17306.0,34300.0,13378.0,2.29,10.44,3803.0,8.07,20.69,13515.0,1931.0,11649.0,0.505
2021-01-27,Guam,18263.0,34300.0,14269.0,2.33,11.02,3869.0,8.61,20.69,957.0,2067.0,12469.0,0.532
2021-01-28,Guam,19520.0,34300.0,15405.0,2.39,11.78,3969.0,9.29,20.69,1257.0,2247.0,13555.0,0.569
2021-01-29,Guam,21254.0,34300.0,16747.0,2.63,12.82,4358.0,10.1,20.69,1734.0,2495.0,15051.0,0.62
2021-01-30,Guam,22454.0,34300.0,17784.0,2.71,13.55,4499.0,10.73,20.69,1200.0,2666.0,16083.0,0.655
2021-01-31,Guam,22454.0,34300.0,17784.0,2.71,13.55,4499.0,10.73,20.69,0.0,2666.0,16083.0,0.655
2021-02-01,Guam,23445.0,34300.0,18538.0,2.86,14.14,4736.0,11.18,20.69,991.0,2808.0,16939.0,0.684
2021-02-02,Guam,24810.0,43500.0,19700.0,2.98,14.97,4936.0,11.88,26.24,1365.0,1072.0,6467.0,0.57
2021-02-03,Guam,26068.0,43500.0,20785.0,3.08,15.73,5108.0,12.54,26.24,1258.0,1115.0,6726.0,0.599
2021-02-04,Guam,26068.0,51300.0,20785.0,3.08,15.73,5108.0,12.54,30.95,0.0,935.0,5640.0,0.508
2021-02-05,Guam,27369.0,51300.0,21871.0,3.21,16.51,5321.0,13.19,30.95,1301.0,874.0,5272.0,0.534
2021-02-06,Guam,28959.0,51300.0,23195.0,3.37,17.47,5581.0,13.99,30.95,1590.0,929.0,5604.0,0.565
2021-02-07,Guam,29572.0,51300.0,23564.0,3.51,17.84,5820.0,14.22,30.95,613.0,1017.0,6135.0,0.5760000000000001
2021-02-08,Guam,29719.0,51300.0,23693.0,3.52,17.93,5838.0,14.29,30.95,147.0,896.0,5405.0,0.579
