date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Hawaii,33483.0,141750.0,,,2.36,,,10.01,,,,0.23600000000000002
2021-01-13,Hawaii,36605.0,154150.0,,,2.59,,,10.89,3122.0,3122.0,2205.0,0.237
2021-01-14,Hawaii,47985.0,154150.0,,,3.39,,,10.89,11380.0,7251.0,5121.0,0.311
2021-01-15,Hawaii,46958.0,154150.0,39690.0,0.51,3.32,7268.0,2.8,10.89,-1027.0,4492.0,3173.0,0.305
2021-01-16,Hawaii,,,,,,,,,4249.0,4431.0,3130.0,
2021-01-17,Hawaii,,,,,,,,,4249.0,4395.0,3104.0,
2021-01-18,Hawaii,,,,,,,,,4249.0,4370.0,3086.0,
2021-01-19,Hawaii,63954.0,154150.0,52635.0,0.8,4.52,11319.0,3.72,10.89,4249.0,4353.0,3074.0,0.415
2021-01-20,Hawaii,71944.0,154150.0,58111.0,0.98,5.08,13833.0,4.1,10.89,7990.0,5048.0,3565.0,0.467
2021-01-21,Hawaii,79414.0,189675.0,63282.0,1.14,5.61,16132.0,4.47,13.4,7470.0,4490.0,3171.0,0.419
2021-01-22,Hawaii,84793.0,191375.0,67991.0,1.19,5.99,16802.0,4.8,13.52,5379.0,5405.0,3817.0,0.44299999999999995
2021-01-23,Hawaii,84792.0,191575.0,67990.0,1.19,5.99,16802.0,4.8,13.53,-1.0,4798.0,3389.0,0.44299999999999995
2021-01-24,Hawaii,84792.0,191575.0,67990.0,1.19,5.99,16802.0,4.8,13.53,0.0,4191.0,2960.0,0.44299999999999995
2021-01-25,Hawaii,92092.0,191575.0,74296.0,1.26,6.5,17795.0,5.25,13.53,7300.0,4627.0,3268.0,0.48100000000000004
2021-01-26,Hawaii,93760.0,210425.0,75820.0,1.27,6.62,17939.0,5.36,14.86,1668.0,4258.0,3007.0,0.446
2021-01-27,Hawaii,97692.0,217425.0,79147.0,1.31,6.9,18544.0,5.59,15.36,3932.0,3678.0,2598.0,0.449
2021-01-28,Hawaii,103944.0,226700.0,84139.0,1.4,7.34,19804.0,5.94,16.01,6252.0,3504.0,2475.0,0.45899999999999996
2021-01-29,Hawaii,111165.0,226800.0,89428.0,1.54,7.85,21736.0,6.32,16.02,7221.0,3767.0,2661.0,0.49
