date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Idaho,35845.0,146750.0,31504.0,0.24,2.01,4308.0,1.76,8.21,,,,0.244
2021-01-13,Idaho,38872.0,158125.0,33176.0,0.32,2.18,5653.0,1.86,8.85,3027.0,3027.0,1694.0,0.24600000000000002
2021-01-14,Idaho,42586.0,160075.0,35179.0,,2.38,,1.97,8.96,3714.0,3370.0,1886.0,0.266
2021-01-15,Idaho,46636.0,160075.0,37646.0,0.49,2.61,8843.0,2.11,8.96,4050.0,3597.0,2013.0,0.29100000000000004
2021-01-16,Idaho,,,,,,,,,4334.75,3781.0,2116.0,
2021-01-17,Idaho,,,,,,,,,4334.75,3892.0,2178.0,
2021-01-18,Idaho,,,,,,,,,4334.75,3966.0,2219.0,
2021-01-19,Idaho,63975.0,160075.0,53609.0,0.57,3.58,10165.0,3.0,8.96,4334.75,4019.0,2249.0,0.4
2021-01-20,Idaho,69267.0,166850.0,58328.0,0.6,3.88,10738.0,3.26,9.34,5292.0,4342.0,2430.0,0.415
2021-01-21,Idaho,73372.0,178175.0,61118.0,0.66,4.11,11760.0,3.42,9.97,4105.0,4398.0,2461.0,0.41200000000000003
2021-01-22,Idaho,77988.0,181100.0,64295.0,0.73,4.36,13075.0,3.6,10.13,4616.0,4479.0,2506.0,0.431
2021-01-23,Idaho,82640.0,181100.0,68292.0,0.77,4.62,13711.0,3.82,10.13,4652.0,4524.0,2532.0,0.456
2021-01-24,Idaho,87128.0,181100.0,72424.0,0.79,4.88,14059.0,4.05,10.13,4488.0,4546.0,2544.0,0.48100000000000004
2021-01-25,Idaho,91271.0,181100.0,76199.0,0.81,5.11,14419.0,4.26,10.13,4143.0,4519.0,2529.0,0.504
2021-01-26,Idaho,93766.0,184025.0,78484.0,0.82,5.25,14627.0,4.39,10.3,2495.0,4256.0,2382.0,0.51
2021-01-27,Idaho,96991.0,203225.0,80857.0,0.86,5.43,15443.0,4.52,11.37,3225.0,3961.0,2216.0,0.47700000000000004
2021-01-28,Idaho,102800.0,210750.0,85373.0,0.94,5.75,16724.0,4.78,11.79,5809.0,4204.0,2352.0,0.488
2021-01-29,Idaho,108873.0,221550.0,88975.0,1.06,6.09,18970.0,4.98,12.4,6073.0,4412.0,2469.0,0.491
2021-01-30,Idaho,114729.0,221550.0,93632.0,1.13,6.42,20148.0,5.24,12.4,5856.0,4584.0,2565.0,0.518
2021-01-31,Idaho,120880.0,221550.0,98287.0,1.21,6.76,21636.0,5.5,12.4,6151.0,4822.0,2698.0,0.546
2021-02-01,Idaho,124377.0,221550.0,100946.0,1.26,6.96,22468.0,5.65,12.4,3497.0,4729.0,2646.0,0.561
2021-02-02,Idaho,126648.0,216975.0,102959.0,1.27,7.09,22725.0,5.76,12.14,2271.0,4697.0,2628.0,0.584
2021-02-03,Idaho,132384.0,245925.0,107234.0,1.35,7.41,24171.0,6.0,13.76,5736.0,5056.0,2829.0,0.5379999999999999
2021-02-04,Idaho,141897.0,262275.0,113110.0,1.47,7.94,26345.0,6.33,14.68,9513.0,5585.0,3125.0,0.541
2021-02-05,Idaho,159394.0,262275.0,120147.0,1.62,8.92,28970.0,6.72,14.68,17497.0,7217.0,4038.0,0.608
2021-02-06,Idaho,176220.0,266475.0,133810.0,1.79,9.86,32011.0,7.49,14.91,16826.0,8784.0,4915.0,0.6609999999999999
2021-02-07,Idaho,185681.0,266475.0,140916.0,1.92,10.39,34322.0,7.89,14.91,9461.0,9257.0,5180.0,0.6970000000000001
2021-02-08,Idaho,195591.0,266475.0,149231.0,2.01,10.94,35910.0,8.35,14.91,9910.0,10173.0,5693.0,0.7340000000000001
2021-02-09,Idaho,198826.0,282075.0,151372.0,2.07,11.13,37002.0,8.47,15.78,3235.0,10311.0,5770.0,0.705
2021-02-10,Idaho,205379.0,310025.0,155238.0,2.22,11.49,39608.0,8.69,17.35,6553.0,10428.0,5835.0,0.662
2021-02-11,Idaho,214063.0,319825.0,159796.0,2.42,11.98,43231.0,8.94,17.9,8684.0,10309.0,5769.0,0.669
2021-02-12,Idaho,214063.0,320800.0,159796.0,2.42,11.98,43231.0,8.94,17.95,0.0,7810.0,4370.0,0.667
2021-02-13,Idaho,221585.0,328600.0,163950.0,2.6,12.4,46516.0,9.17,18.39,7522.0,6481.0,3627.0,0.674
2021-02-14,Idaho,242295.0,329575.0,174495.0,3.17,13.56,56629.0,9.76,18.44,20710.0,8088.0,4526.0,0.735
2021-02-15,Idaho,,,,,,,,,10665.0,8196.0,4586.0,
2021-02-16,Idaho,263625.0,333575.0,187653.0,3.62,14.75,64687.0,10.5,18.67,10665.0,9257.0,5180.0,0.79
2021-02-17,Idaho,270169.0,334550.0,191063.0,3.79,15.12,67805.0,10.69,18.72,6544.0,9256.0,5179.0,0.8079999999999999
2021-02-18,Idaho,278474.0,336650.0,195596.0,4.0,15.58,71408.0,10.95,18.84,8305.0,9202.0,5149.0,0.8270000000000001
2021-02-19,Idaho,304647.0,357200.0,211625.0,4.56,17.05,81497.0,11.84,19.99,26173.0,12941.0,7241.0,0.853
2021-02-20,Idaho,313466.0,358200.0,216285.0,4.79,17.54,85566.0,12.1,20.04,8819.0,13126.0,7345.0,0.875
2021-02-21,Idaho,326336.0,358200.0,222381.0,5.16,18.26,92265.0,12.44,20.04,12870.0,12006.0,6718.0,0.9109999999999999
2021-02-22,Idaho,336243.0,358200.0,227171.0,5.45,18.82,97370.0,12.71,20.04,9907.0,11898.0,6658.0,0.9390000000000001
2021-02-23,Idaho,340444.0,388815.0,229220.0,5.57,19.05,99518.0,12.83,21.76,4201.0,10974.0,6141.0,0.8759999999999999
2021-02-24,Idaho,346534.0,422185.0,231667.0,5.77,19.39,103129.0,12.96,23.62,6090.0,10909.0,6104.0,0.821
2021-02-25,Idaho,356987.0,432185.0,235862.0,6.12,19.98,109348.0,13.2,24.18,10453.0,11216.0,6276.0,0.826
2021-02-26,Idaho,367113.0,459355.0,240499.0,6.42,20.54,114807.0,13.46,25.7,10126.0,8924.0,4994.0,0.799
2021-02-27,Idaho,378401.0,485195.0,246738.0,6.7,21.17,119776.0,13.81,27.15,11288.0,9276.0,5191.0,0.78
2021-02-28,Idaho,392370.0,485195.0,253640.0,7.06,21.96,126208.0,14.19,27.15,13969.0,9433.0,5278.0,0.809
2021-03-01,Idaho,404250.0,485195.0,260280.0,7.35,22.62,131312.0,14.56,27.15,11880.0,9715.0,5436.0,0.833
2021-03-02,Idaho,409641.0,517115.0,263060.0,7.49,22.92,133917.0,14.72,28.94,5391.0,9885.0,5531.0,0.792
2021-03-03,Idaho,418956.0,525115.0,267570.0,7.76,23.44,138642.0,14.97,29.38,9315.0,10346.0,5789.0,0.7979999999999999
2021-03-04,Idaho,428196.0,546405.0,271981.0,8.02,23.96,143369.0,15.22,30.58,9240.0,10173.0,5693.0,0.784
