date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Illinois,347005.0,903100.0,284035.0,0.5,2.74,62757.0,2.24,7.13,,,,0.384
2021-01-13,Illinois,365859.0,920225.0,291445.0,0.59,2.89,74186.0,2.3,7.26,18854.0,18854.0,1488.0,0.39799999999999996
2021-01-14,Illinois,403666.0,958125.0,316876.0,,3.19,,2.5,7.56,37807.0,28330.0,2236.0,0.42100000000000004
2021-01-15,Illinois,437765.0,1011225.0,341518.0,0.72,3.45,91248.0,2.7,7.98,34099.0,30253.0,2387.0,0.433
2021-01-16,Illinois,,,,,,,,,21874.0,28158.0,2222.0,
2021-01-17,Illinois,,,,,,,,,21874.0,26902.0,2123.0,
2021-01-18,Illinois,,,,,,,,,21874.0,26064.0,2057.0,
2021-01-19,Illinois,525261.0,1011225.0,414362.0,0.82,4.15,104533.0,3.27,7.98,21874.0,25465.0,2010.0,0.519
2021-01-20,Illinois,539926.0,1094000.0,425824.0,0.85,4.26,107651.0,3.36,8.63,14665.0,24867.0,1962.0,0.494
2021-01-21,Illinois,570527.0,1173325.0,452010.0,0.88,4.5,111933.0,3.57,9.26,30601.0,23837.0,1881.0,0.486
2021-01-22,Illinois,607502.0,1209300.0,479848.0,0.95,4.79,120754.0,3.79,9.54,36975.0,24248.0,1914.0,0.502
2021-01-23,Illinois,654752.0,1417250.0,518779.0,1.02,5.17,128907.0,4.09,11.18,47250.0,27873.0,2200.0,0.462
2021-01-24,Illinois,699072.0,1417250.0,556517.0,1.07,5.52,135330.0,4.39,11.18,44320.0,31080.0,2453.0,0.493
2021-01-25,Illinois,723203.0,1417250.0,578406.0,1.08,5.71,137465.0,4.56,11.18,24131.0,31402.0,2478.0,0.51
2021-01-26,Illinois,737989.0,1548950.0,590212.0,1.11,5.82,140394.0,4.66,12.22,14786.0,30390.0,2398.0,0.47600000000000003
2021-01-27,Illinois,766659.0,1591000.0,611024.0,1.17,6.05,147925.0,4.82,12.56,28670.0,32390.0,2556.0,0.48200000000000004
2021-01-28,Illinois,823325.0,1631775.0,643555.0,1.28,6.5,162086.0,5.08,12.88,56666.0,36114.0,2850.0,0.505
2021-01-29,Illinois,884502.0,1658725.0,685529.0,1.43,6.98,181063.0,5.41,13.09,61177.0,39571.0,3123.0,0.5329999999999999
2021-01-30,Illinois,948804.0,1696575.0,733006.0,1.56,7.49,197643.0,5.78,13.39,64302.0,42007.0,3315.0,0.5589999999999999
2021-01-31,Illinois,1011454.0,1696575.0,781536.0,1.67,7.98,211528.0,6.17,13.39,62650.0,44626.0,3522.0,0.596
2021-02-01,Illinois,1054814.0,1696575.0,817253.0,1.73,8.32,219095.0,6.45,13.39,43360.0,47373.0,3738.0,0.622
2021-02-02,Illinois,1073076.0,1859850.0,831556.0,1.76,8.47,223026.0,6.56,14.68,18262.0,47870.0,3778.0,0.5770000000000001
2021-02-03,Illinois,1108571.0,1986725.0,859076.0,1.82,8.75,230850.0,6.78,15.68,35495.0,48845.0,3855.0,0.5579999999999999
2021-02-04,Illinois,1178369.0,2053325.0,905981.0,1.96,9.3,247763.0,7.15,16.2,69798.0,50721.0,4003.0,0.574
2021-02-05,Illinois,1247521.0,2089050.0,962345.0,2.05,9.84,260248.0,7.59,16.49,69152.0,51860.0,4093.0,0.597
2021-02-06,Illinois,1329963.0,2089050.0,1028487.0,2.17,10.5,275276.0,8.12,16.49,82442.0,54451.0,4297.0,0.637
2021-02-07,Illinois,1401585.0,2089050.0,1086599.0,2.28,11.06,288458.0,8.57,16.49,71622.0,55733.0,4398.0,0.6709999999999999
2021-02-08,Illinois,1457693.0,2089050.0,1131846.0,2.36,11.5,299201.0,8.93,16.49,56108.0,57554.0,4542.0,0.698
2021-02-09,Illinois,1477780.0,2207200.0,1148175.0,2.39,11.66,302923.0,9.06,17.42,20087.0,57815.0,4562.0,0.67
2021-02-10,Illinois,1539781.0,2327100.0,1198096.0,2.48,12.15,314687.0,9.45,18.36,62001.0,61601.0,4861.0,0.662
2021-02-11,Illinois,1604830.0,2455500.0,1243706.0,2.61,12.66,330108.0,9.81,19.38,65049.0,60923.0,4808.0,0.654
2021-02-12,Illinois,1674988.0,2481075.0,1294565.0,2.75,13.22,348826.0,10.22,19.58,70158.0,61067.0,4819.0,0.675
2021-02-13,Illinois,1772568.0,2561800.0,1364527.0,2.97,13.99,375992.0,10.77,20.22,97580.0,63229.0,4990.0,0.6920000000000001
2021-02-14,Illinois,1854228.0,2566675.0,1421577.0,3.16,14.63,400340.0,11.22,20.25,81660.0,64663.0,5103.0,0.722
2021-02-15,Illinois,,,,,,,,,50077.0,63802.0,5035.0,
2021-02-16,Illinois,1954382.0,2661550.0,1498639.0,3.34,15.42,422981.0,11.83,21.0,50077.0,68086.0,5373.0,0.7340000000000001
2021-02-17,Illinois,1996099.0,2694700.0,1531557.0,3.4,15.75,431310.0,12.09,21.27,41717.0,65188.0,5144.0,0.741
