date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Indian Health Svc,68387.0,224425.0,16105.0,,,236.0,,,,,,0.305
2021-01-13,Indian Health Svc,74462.0,290900.0,17240.0,,,323.0,,,6075.0,6075.0,,0.256
2021-01-14,Indian Health Svc,81726.0,291800.0,69313.0,,,,,,7264.0,6670.0,,0.28
2021-01-15,Indian Health Svc,90245.0,292700.0,77309.0,,,12730.0,,,8519.0,7286.0,,0.308
2021-01-16,Indian Health Svc,,,,,,,,,3473.75,6333.0,,
2021-01-17,Indian Health Svc,,,,,,,,,3473.75,5761.0,,
2021-01-18,Indian Health Svc,,,,,,,,,3473.75,5380.0,,
2021-01-19,Indian Health Svc,104140.0,292700.0,90329.0,,,13348.0,,,3473.75,5108.0,,0.35600000000000004
2021-01-20,Indian Health Svc,108975.0,315325.0,93635.0,,,14874.0,,,4835.0,4930.0,,0.34600000000000003
2021-01-21,Indian Health Svc,117297.0,323600.0,99004.0,,,17778.0,,,8322.0,5082.0,,0.36200000000000004
2021-01-22,Indian Health Svc,123534.0,355475.0,103912.0,,,18985.0,,,6237.0,4756.0,,0.348
2021-01-23,Indian Health Svc,143678.0,357850.0,120761.0,,,21677.0,,,20144.0,7137.0,,0.402
2021-01-24,Indian Health Svc,153784.0,357850.0,128843.0,,,23643.0,,,10106.0,8084.0,,0.43
2021-01-25,Indian Health Svc,155529.0,357850.0,130085.0,,,24145.0,,,1745.0,7838.0,,0.435
2021-01-26,Indian Health Svc,158282.0,357950.0,131481.0,,,25502.0,,,2753.0,7735.0,,0.442
2021-01-27,Indian Health Svc,165764.0,386400.0,135456.0,,,28995.0,,,7482.0,8113.0,,0.429
2021-01-28,Indian Health Svc,180226.0,406525.0,144908.0,,,33645.0,,,14462.0,8990.0,,0.44299999999999995
2021-01-29,Indian Health Svc,191109.0,423400.0,152563.0,,,36548.0,,,10883.0,9654.0,,0.451
2021-01-30,Indian Health Svc,194962.0,423600.0,155066.0,,,37890.0,,,3853.0,7326.0,,0.46
2021-01-31,Indian Health Svc,209747.0,423600.0,165493.0,,,40602.0,,,14785.0,7995.0,,0.495
2021-02-01,Indian Health Svc,210664.0,423600.0,166090.0,,,40917.0,,,917.0,7876.0,,0.49700000000000005
2021-02-02,Indian Health Svc,214183.0,440900.0,168022.0,,,42503.0,,,3519.0,7986.0,,0.486
2021-02-03,Indian Health Svc,224095.0,461000.0,174664.0,,,45751.0,,,9912.0,8333.0,,0.486
