date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Indiana,191844.0,540475.0,114781.0,0.35,2.85,23546.0,1.7,8.03,,,,0.355
2021-01-13,Indiana,211334.0,579050.0,125763.0,0.48,3.14,32040.0,1.87,8.6,19490.0,19490.0,2895.0,0.365
2021-01-14,Indiana,233488.0,630025.0,203889.0,,3.47,,3.03,9.36,22154.0,20822.0,3093.0,0.371
2021-01-15,Indiana,260310.0,642425.0,222599.0,0.56,3.87,37683.0,3.31,9.54,26822.0,22822.0,3390.0,0.405
2021-01-16,Indiana,,,,,,,,,18594.0,21765.0,3233.0,
2021-01-17,Indiana,,,,,,,,,18594.0,21131.0,3139.0,
2021-01-18,Indiana,,,,,,,,,18594.0,20708.0,3076.0,
2021-01-19,Indiana,334686.0,642425.0,283779.0,0.76,4.97,50862.0,4.22,9.54,18594.0,20406.0,3031.0,0.521
2021-01-20,Indiana,356385.0,741025.0,297720.0,0.87,5.29,58616.0,4.42,11.01,21699.0,20722.0,3078.0,0.48100000000000004
2021-01-21,Indiana,387137.0,816025.0,320266.0,0.99,5.75,66801.0,4.76,12.12,30752.0,21950.0,3260.0,0.474
2021-01-22,Indiana,414127.0,839925.0,340055.0,1.1,6.15,73986.0,5.05,12.48,26990.0,21974.0,3264.0,0.493
2021-01-23,Indiana,446029.0,841725.0,367944.0,1.16,6.63,77985.0,5.47,12.5,31902.0,23875.0,3546.0,0.53
2021-01-24,Indiana,446029.0,841725.0,367944.0,1.16,6.63,77985.0,5.47,12.5,0.0,21219.0,3152.0,0.53
2021-01-25,Indiana,491856.0,841725.0,408181.0,1.24,7.31,83554.0,6.06,12.5,45827.0,25109.0,3730.0,0.584
2021-01-26,Indiana,498824.0,900175.0,413982.0,1.26,7.41,84719.0,6.15,13.37,6968.0,23448.0,3483.0,0.5539999999999999
2021-01-27,Indiana,524180.0,920975.0,432791.0,1.36,7.79,91255.0,6.43,13.68,25356.0,23971.0,3561.0,0.569
2021-01-28,Indiana,552144.0,925300.0,454380.0,1.45,8.2,97614.0,6.75,13.74,27964.0,23572.0,3501.0,0.597
2021-01-29,Indiana,581322.0,929900.0,475928.0,1.56,8.63,105208.0,7.07,13.81,29178.0,23885.0,3548.0,0.625
2021-01-30,Indiana,607185.0,931500.0,495746.0,1.65,9.02,111233.0,7.36,13.84,25863.0,23022.0,3420.0,0.652
2021-01-31,Indiana,607185.0,931500.0,495746.0,1.65,9.02,111233.0,7.36,13.84,0.0,23022.0,3420.0,0.652
2021-02-01,Indiana,607185.0,931500.0,495746.0,1.65,9.02,111233.0,7.36,13.84,0.0,16476.0,2447.0,0.652
2021-02-02,Indiana,612289.0,1091375.0,499215.0,1.68,9.09,112864.0,7.42,16.21,5104.0,16209.0,2408.0,0.561
2021-02-03,Indiana,637745.0,1106550.0,517147.0,1.79,9.47,120352.0,7.68,16.44,25456.0,16224.0,2410.0,0.5760000000000001
2021-02-04,Indiana,671191.0,1116375.0,541269.0,1.93,9.97,129626.0,8.04,16.58,33446.0,17007.0,2526.0,0.601
2021-02-05,Indiana,710888.0,1117350.0,568118.0,2.12,10.56,142405.0,8.44,16.6,39697.0,18509.0,2749.0,0.636
2021-02-06,Indiana,749771.0,1118350.0,593266.0,2.32,11.14,156083.0,8.81,16.61,38883.0,20369.0,3026.0,0.67
2021-02-07,Indiana,749771.0,1118350.0,593266.0,2.32,11.14,156083.0,8.81,16.61,0.0,20369.0,3026.0,0.67
2021-02-08,Indiana,749771.0,1118350.0,593266.0,2.32,11.14,156083.0,8.81,16.61,0.0,20369.0,3026.0,0.67
2021-02-09,Indiana,761070.0,1206125.0,598731.0,2.4,11.3,161879.0,8.89,17.92,11299.0,21254.0,3157.0,0.631
2021-02-10,Indiana,795702.0,1291675.0,617918.0,2.63,11.82,177231.0,9.18,19.19,34632.0,22565.0,3352.0,0.616
