date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Iowa,98691.0,208875.0,91969.0,0.19,3.13,6099.0,2.91,6.62,,,,0.47200000000000003
2021-01-13,Iowa,112093.0,264125.0,101859.0,0.3,3.55,9603.0,3.23,8.37,13402.0,13402.0,4248.0,0.424
2021-01-14,Iowa,112093.0,268025.0,100805.0,,3.55,,3.2,8.5,0.0,6701.0,2124.0,0.418
2021-01-15,Iowa,120983.0,269000.0,108056.0,0.34,3.83,10742.0,3.42,8.53,8890.0,7431.0,2355.0,0.45
2021-01-16,Iowa,,,,,,,,,5993.0,7071.0,2241.0,
2021-01-17,Iowa,,,,,,,,,5993.0,6856.0,2173.0,
2021-01-18,Iowa,,,,,,,,,5993.0,6712.0,2127.0,
2021-01-19,Iowa,144955.0,269000.0,130042.0,0.4,4.59,12629.0,4.12,8.53,5993.0,6609.0,2095.0,0.539
2021-01-20,Iowa,149850.0,291075.0,133528.0,0.44,4.75,13995.0,4.23,9.23,4895.0,5394.0,1710.0,0.515
2021-01-21,Iowa,158743.0,328600.0,139500.0,0.53,5.03,16860.0,4.42,10.41,8893.0,6664.0,2112.0,0.483
2021-01-22,Iowa,170607.0,338950.0,145642.0,0.71,5.41,22429.0,4.62,10.74,11864.0,7089.0,2247.0,0.503
2021-01-23,Iowa,180110.0,361475.0,151145.0,0.84,5.71,26426.0,4.79,11.46,9503.0,7591.0,2406.0,0.498
2021-01-24,Iowa,191183.0,361475.0,157635.0,0.98,6.06,30949.0,5.0,11.46,11073.0,8316.0,2636.0,0.529
2021-01-25,Iowa,196203.0,361475.0,161445.0,1.02,6.22,32149.0,5.12,11.46,5020.0,8177.0,2592.0,0.5429999999999999
2021-01-26,Iowa,197982.0,361575.0,162795.0,1.03,6.28,32547.0,5.16,11.46,1779.0,7575.0,2401.0,0.5479999999999999
2021-01-27,Iowa,204196.0,362875.0,165466.0,1.14,6.47,36067.0,5.24,11.5,6214.0,7764.0,2461.0,0.563
2021-01-28,Iowa,212497.0,391575.0,169341.0,1.28,6.74,40477.0,5.37,12.41,8301.0,7679.0,2434.0,0.5429999999999999
2021-01-29,Iowa,224347.0,398600.0,174655.0,1.48,7.11,46785.0,5.54,12.63,11850.0,7677.0,2433.0,0.563
2021-01-30,Iowa,237874.0,417900.0,182537.0,1.66,7.54,52324.0,5.79,13.25,13527.0,8252.0,2615.0,0.569
2021-01-31,Iowa,252202.0,417900.0,190689.0,1.85,7.99,58367.0,6.04,13.25,14328.0,8717.0,2763.0,0.603
2021-02-01,Iowa,257468.0,417900.0,194009.0,1.91,8.16,60259.0,6.15,13.25,5266.0,8752.0,2774.0,0.616
2021-02-02,Iowa,259522.0,415325.0,195234.0,1.94,8.23,61085.0,6.19,13.16,2054.0,8791.0,2786.0,0.625
2021-02-03,Iowa,266777.0,446825.0,199242.0,2.04,8.46,64234.0,6.31,14.16,7255.0,8940.0,2834.0,0.597
2021-02-04,Iowa,279252.0,471200.0,206516.0,2.2,8.85,69401.0,6.55,14.93,12475.0,9536.0,3022.0,0.593
2021-02-05,Iowa,293377.0,507850.0,215693.0,2.35,9.3,74252.0,6.84,16.1,14125.0,9861.0,3125.0,0.578
