date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Kansas,78268.0,193175.0,53988.0,0.33,2.69,9577.0,1.85,6.63,,,,0.405
2021-01-13,Kansas,85650.0,261175.0,58477.0,0.43,2.94,12470.0,2.01,8.96,7382.0,7382.0,2534.0,0.32799999999999996
2021-01-14,Kansas,91565.0,263175.0,77590.0,,3.14,,2.66,9.03,5915.0,6648.0,2282.0,0.348
2021-01-15,Kansas,97779.0,263175.0,83293.0,0.46,3.36,13496.0,2.86,9.03,6214.0,6504.0,2233.0,0.37200000000000005
2021-01-16,Kansas,,,,,,,,,5163.75,6169.0,2118.0,
2021-01-17,Kansas,,,,,,,,,5163.75,5968.0,2049.0,
2021-01-18,Kansas,,,,,,,,,5163.75,5834.0,2003.0,
2021-01-19,Kansas,118434.0,263175.0,101824.0,0.54,4.07,15602.0,3.5,9.03,5163.75,5738.0,1970.0,0.45
2021-01-20,Kansas,122705.0,265600.0,105679.0,0.55,4.21,16013.0,3.63,9.12,4271.0,5294.0,1817.0,0.462
2021-01-21,Kansas,130434.0,312000.0,111907.0,0.6,4.48,17430.0,3.84,10.71,7729.0,5553.0,1906.0,0.418
2021-01-22,Kansas,137094.0,336475.0,116569.0,0.66,4.71,19325.0,4.0,11.55,6660.0,5616.0,1928.0,0.40700000000000003
2021-01-23,Kansas,144909.0,348175.0,122813.0,0.72,4.97,20883.0,4.22,11.95,7815.0,5995.0,2058.0,0.41600000000000004
2021-01-24,Kansas,151249.0,348175.0,127417.0,0.78,5.19,22610.0,4.37,11.95,6340.0,6163.0,2115.0,0.434
2021-01-25,Kansas,154719.0,348175.0,129861.0,0.81,5.31,23635.0,4.46,11.95,3470.0,5921.0,2032.0,0.444
2021-01-26,Kansas,158743.0,348175.0,132153.0,0.87,5.45,25349.0,4.54,11.95,4024.0,5758.0,1976.0,0.456
2021-01-27,Kansas,168392.0,392875.0,140685.0,0.91,5.78,26457.0,4.83,13.49,9649.0,6527.0,2240.0,0.429
2021-01-28,Kansas,190301.0,405550.0,157536.0,1.08,6.53,31429.0,5.41,13.92,21909.0,8552.0,2935.0,0.469
2021-01-29,Kansas,190540.0,412375.0,157720.0,1.08,6.54,31482.0,5.41,14.15,239.0,7635.0,2621.0,0.462
2021-01-30,Kansas,206520.0,413350.0,168343.0,1.26,7.09,36738.0,5.78,14.19,15980.0,8802.0,3021.0,0.5
2021-01-31,Kansas,221469.0,413350.0,180156.0,1.36,7.6,39753.0,6.18,14.19,14949.0,10031.0,3443.0,0.536
2021-02-01,Kansas,226895.0,413350.0,183035.0,1.45,7.79,42297.0,6.28,14.19,5426.0,10311.0,3539.0,0.5489999999999999
2021-02-02,Kansas,231201.0,413350.0,185065.0,1.52,7.94,44420.0,6.35,14.19,4306.0,10351.0,3553.0,0.5589999999999999
2021-02-03,Kansas,241156.0,470800.0,192026.0,1.63,8.28,47394.0,6.59,16.16,9955.0,10395.0,3568.0,0.512
