date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Kentucky,132114.0,329450.0,102517.0,0.14,2.96,6335.0,2.29,7.37,,,,0.401
2021-01-13,Kentucky,142436.0,329450.0,111449.0,0.17,3.19,7725.0,2.49,7.37,10322.0,10322.0,2310.0,0.43200000000000005
2021-01-14,Kentucky,155613.0,332375.0,145320.0,,3.48,,3.25,7.44,13177.0,11750.0,2630.0,0.46799999999999997
2021-01-15,Kentucky,174748.0,337450.0,162733.0,0.24,3.91,10672.0,3.64,7.55,19135.0,14211.0,3181.0,0.518
2021-01-16,Kentucky,,,,,,,,,10322.75,13239.0,2963.0,
2021-01-17,Kentucky,,,,,,,,,10322.75,12656.0,2833.0,
2021-01-18,Kentucky,,,,,,,,,10322.75,12267.0,2746.0,
2021-01-19,Kentucky,216039.0,337450.0,201688.0,0.29,4.84,12911.0,4.51,7.55,10322.75,11989.0,2683.0,0.64
2021-01-20,Kentucky,223946.0,444325.0,208664.0,0.31,5.01,13829.0,4.67,9.95,7907.0,11644.0,2606.0,0.504
2021-01-21,Kentucky,235143.0,450175.0,217837.0,0.35,5.26,15699.0,4.88,10.08,11197.0,11361.0,2543.0,0.522
2021-01-22,Kentucky,254144.0,466700.0,229873.0,0.51,5.69,22568.0,5.15,10.45,19001.0,11342.0,2539.0,0.545
2021-01-23,Kentucky,270960.0,471000.0,243620.0,0.57,6.06,25566.0,5.45,10.54,16816.0,12270.0,2746.0,0.575
2021-01-24,Kentucky,299493.0,471000.0,268308.0,0.66,6.7,29346.0,6.01,10.54,28533.0,14871.0,3329.0,0.636
2021-01-25,Kentucky,307462.0,471000.0,275610.0,0.67,6.88,30010.0,6.17,10.54,7969.0,14535.0,3253.0,0.653
2021-01-26,Kentucky,312192.0,557975.0,279715.0,0.69,6.99,30633.0,6.26,12.49,4730.0,13736.0,3075.0,0.56
2021-01-27,Kentucky,323268.0,585500.0,285291.0,0.81,7.24,36054.0,6.39,13.11,11076.0,14189.0,3176.0,0.552
2021-01-28,Kentucky,342200.0,611050.0,297108.0,0.97,7.66,43142.0,6.65,13.68,18932.0,15294.0,3423.0,0.56
2021-01-29,Kentucky,366643.0,650050.0,312373.0,1.17,8.21,52251.0,6.99,14.55,24443.0,16071.0,3597.0,0.564
2021-01-30,Kentucky,386001.0,650150.0,324581.0,1.33,8.64,59367.0,7.27,14.55,19358.0,16434.0,3678.0,0.594
2021-01-31,Kentucky,404705.0,650150.0,337738.0,1.45,9.06,64890.0,7.56,14.55,18704.0,15030.0,3364.0,0.622
2021-02-01,Kentucky,415545.0,650150.0,347384.0,1.48,9.3,66077.0,7.78,14.55,10840.0,15440.0,3456.0,0.639
2021-02-02,Kentucky,419562.0,684700.0,350622.0,1.5,9.39,66852.0,7.85,15.33,4017.0,15339.0,3433.0,0.613
2021-02-03,Kentucky,435400.0,719200.0,360015.0,1.64,9.75,73264.0,8.06,16.1,15838.0,16019.0,3586.0,0.605
2021-02-04,Kentucky,455783.0,746500.0,372114.0,1.82,10.2,81502.0,8.33,16.71,20383.0,16226.0,3632.0,0.611
2021-02-05,Kentucky,483777.0,747000.0,387902.0,2.1,10.83,93651.0,8.68,16.72,27994.0,16733.0,3745.0,0.648
2021-02-06,Kentucky,517168.0,747000.0,406790.0,2.42,11.58,108050.0,9.11,16.72,33391.0,18738.0,4194.0,0.6920000000000001
