date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Long Term Care,951774.0,4385175.0,948869.0,,,2429.0,,,,,,0.217
2021-01-13,Long Term Care,1084177.0,4556575.0,1066689.0,,,16900.0,,,132403.0,132403.0,,0.23800000000000002
2021-01-14,Long Term Care,1225493.0,4715600.0,1195320.0,,,,,,141316.0,136860.0,,0.26
2021-01-15,Long Term Care,1384963.0,,,,,,,,159470.0,144396.0,,
2021-01-16,Long Term Care,,,,,,,,,90119.5,130827.0,,
2021-01-17,Long Term Care,,,,,,,,,90119.5,122686.0,,
2021-01-18,Long Term Care,,,,,,,,,90119.5,117258.0,,
2021-01-19,Long Term Care,1745441.0,,,,,,,,90119.5,113381.0,,
2021-01-20,Long Term Care,1908256.0,,,,,,,,162815.0,117726.0,,
2021-01-21,Long Term Care,2089181.0,,,,,,,,180925.0,123384.0,,
2021-01-22,Long Term Care,2289284.0,,,,,,,,200103.0,129189.0,,
2021-01-23,Long Term Care,2437670.0,,,,,,,,148386.0,137512.0,,
2021-01-24,Long Term Care,2567018.0,,,,,,,,129348.0,143117.0,,
2021-01-25,Long Term Care,2714487.0,,,,,,,,147469.0,151309.0,,
2021-01-26,Long Term Care,2725830.0,,,,,,,,11343.0,140056.0,,
2021-01-27,Long Term Care,2904840.0,,,,,,,,179010.0,142369.0,,
2021-01-28,Long Term Care,3102134.0,,,,,,,,197294.0,144708.0,,
2021-01-29,Long Term Care,3314266.0,,,,,,,,212132.0,146426.0,,
2021-01-30,Long Term Care,3505431.0,,,,,,,,191165.0,152537.0,,
2021-01-31,Long Term Care,3683718.0,,,,,,,,178287.0,159529.0,,
2021-02-01,Long Term Care,3748779.0,,,,,,,,65061.0,147756.0,,
2021-02-02,Long Term Care,3851460.0,,,,,,,,102681.0,160804.0,,
2021-02-03,Long Term Care,4022407.0,,,,,,,,170947.0,159652.0,,
2021-02-04,Long Term Care,4210027.0,,,,,,,,187620.0,158270.0,,
2021-02-05,Long Term Care,4419633.0,,,,,,,,209606.0,157910.0,,
2021-02-06,Long Term Care,4628962.0,,,,,,,,209329.0,160504.0,,
2021-02-07,Long Term Care,4839144.0,,,,,,,,210182.0,165061.0,,
2021-02-08,Long Term Care,4946483.0,,,,,,,,107339.0,171101.0,,
2021-02-09,Long Term Care,5015224.0,,,,,,,,68741.0,166252.0,,
2021-02-10,Long Term Care,5176499.0,,,,,,,,161275.0,164870.0,,
2021-02-11,Long Term Care,5348775.0,,,,,,,,172276.0,162678.0,,
2021-02-12,Long Term Care,5507785.0,,,,,,,,159010.0,155450.0,,
2021-02-13,Long Term Care,5667091.0,,,,,,,,159306.0,148304.0,,
2021-02-14,Long Term Care,5822871.0,,,,,,,,155780.0,140532.0,,
2021-02-15,Long Term Care,,,,,,,,,72835.5,135603.0,,
2021-02-16,Long Term Care,5968542.0,,,,,,,,72835.5,136188.0,,
2021-02-17,Long Term Care,6070341.0,,,,,,,,101799.0,127692.0,,
2021-02-18,Long Term Care,6181996.0,,,,,,,,111655.0,119032.0,,
2021-02-19,Long Term Care,6289188.0,,,,,,,,107192.0,111629.0,,
2021-02-20,Long Term Care,6399010.0,,,,,,,,109822.0,104560.0,,
2021-02-21,Long Term Care,6519848.0,,,,,,,,120838.0,99568.0,,
2021-02-22,Long Term Care,6579236.0,,,,,,,,59388.0,97647.0,,
2021-02-23,Long Term Care,6627820.0,,,,,,,,48584.0,94183.0,,
2021-02-24,Long Term Care,6724310.0,,,,,,,,96490.0,93424.0,,
2021-02-25,Long Term Care,6817460.0,,,,,,,,93150.0,90781.0,,
2021-02-26,Long Term Care,6933071.0,,,,,,,,115611.0,91983.0,,
2021-02-27,Long Term Care,7043540.0,,,,,,,,110469.0,92076.0,,
2021-02-28,Long Term Care,7112537.0,,,,,,,,68997.0,84670.0,,
2021-03-01,Long Term Care,7154531.0,,,,,,,,41994.0,82185.0,,
2021-03-02,Long Term Care,7178616.0,,,,,,,,24085.0,78685.0,,
2021-03-03,Long Term Care,7218655.0,,,,,,,,40039.0,70621.0,,
2021-03-04,Long Term Care,7262104.0,,,,,,,,43449.0,63521.0,,
2021-03-05,Long Term Care,7306425.0,,,,,,,,44321.0,53336.0,,
2021-03-06,Long Term Care,7349495.0,,,,,,,,43070.0,43708.0,,
2021-03-07,Long Term Care,7389102.0,,,,,,,,39607.0,39509.0,,
2021-03-08,Long Term Care,7405816.0,,,,,,,,16714.0,35898.0,,
2021-03-09,Long Term Care,7419240.0,,,,,,,,13424.0,34375.0,,
2021-03-10,Long Term Care,7445798.0,,,,,,,,26558.0,32449.0,,
2021-03-11,Long Term Care,7473597.0,,,,,,,,27799.0,30213.0,,
