date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Louisiana,142771.0,368300.0,117022.0,0.39,3.07,18314.0,2.52,7.92,,,,0.38799999999999996
2021-01-13,Louisiana,156186.0,369475.0,127078.0,0.47,3.36,21634.0,2.73,7.95,13415.0,13415.0,2886.0,0.423
2021-01-14,Louisiana,175811.0,370175.0,149064.0,,3.78,,3.21,7.96,19625.0,16520.0,3554.0,0.475
2021-01-15,Louisiana,197967.0,370175.0,167193.0,0.65,4.26,30416.0,3.6,7.96,22156.0,18399.0,3958.0,0.535
2021-01-16,Louisiana,,,,,,,,,14406.0,17400.0,3743.0,
2021-01-17,Louisiana,,,,,,,,,14406.0,16802.0,3614.0,
2021-01-18,Louisiana,,,,,,,,,14406.0,16402.0,3528.0,
2021-01-19,Louisiana,255591.0,370175.0,221109.0,0.73,5.5,33967.0,4.76,7.96,14406.0,16117.0,3467.0,0.69
2021-01-20,Louisiana,264400.0,485625.0,228831.0,0.75,5.69,35049.0,4.92,10.45,8809.0,15459.0,3325.0,0.544
2021-01-21,Louisiana,279398.0,492800.0,240762.0,0.82,6.01,38095.0,5.18,10.6,14998.0,14798.0,3183.0,0.5670000000000001
2021-01-22,Louisiana,297655.0,506200.0,256670.0,0.87,6.4,40385.0,5.52,10.89,18257.0,14241.0,3063.0,0.588
2021-01-23,Louisiana,315023.0,543700.0,272630.0,0.9,6.78,41788.0,5.86,11.7,17368.0,14664.0,3154.0,0.579
2021-01-24,Louisiana,334086.0,543700.0,290955.0,0.91,7.19,42520.0,6.26,11.7,19063.0,15330.0,3298.0,0.614
2021-01-25,Louisiana,341447.0,543700.0,297684.0,0.93,7.34,43151.0,6.4,11.7,7361.0,14323.0,3081.0,0.628
2021-01-26,Louisiana,345675.0,602025.0,301874.0,0.93,7.44,43189.0,6.49,12.95,4228.0,12869.0,2768.0,0.574
2021-01-27,Louisiana,358746.0,620325.0,311135.0,1.01,7.72,46954.0,6.69,13.34,13071.0,13478.0,2899.0,0.578
2021-01-28,Louisiana,375895.0,620425.0,323609.0,1.11,8.09,51583.0,6.96,13.35,17149.0,13785.0,2965.0,0.606
2021-01-29,Louisiana,398312.0,620425.0,339450.0,1.25,8.57,58132.0,7.3,13.35,22417.0,14380.0,3093.0,0.642
2021-01-30,Louisiana,420908.0,648925.0,355024.0,1.4,9.05,65136.0,7.64,13.96,22596.0,15126.0,3254.0,0.649
2021-01-31,Louisiana,443715.0,648925.0,369486.0,1.58,9.54,73436.0,7.95,13.96,22807.0,15661.0,3369.0,0.684
2021-02-01,Louisiana,463179.0,648925.0,376491.0,1.85,9.96,85872.0,8.1,13.96,19464.0,17390.0,3741.0,0.7140000000000001
2021-02-02,Louisiana,476014.0,736850.0,378574.0,2.08,10.24,96606.0,8.14,15.85,12835.0,18620.0,4005.0,0.6459999999999999
2021-02-03,Louisiana,488960.0,746550.0,384041.0,2.24,10.52,104070.0,8.26,16.06,12946.0,18602.0,4001.0,0.655
2021-02-04,Louisiana,509982.0,746550.0,393389.0,2.49,10.97,115629.0,8.46,16.06,21022.0,19155.0,4120.0,0.6829999999999999
2021-02-05,Louisiana,536404.0,746550.0,404021.0,2.83,11.54,131355.0,8.69,16.06,26422.0,19727.0,4243.0,0.7190000000000001
2021-02-06,Louisiana,570731.0,769750.0,419327.0,3.23,12.28,150219.0,9.02,16.56,34327.0,21403.0,4604.0,0.741
2021-02-07,Louisiana,599941.0,769750.0,431119.0,3.6,12.91,167576.0,9.27,16.56,29210.0,22318.0,4801.0,0.779
2021-02-08,Louisiana,614041.0,769750.0,436190.0,3.8,13.21,176580.0,9.38,16.56,14100.0,21552.0,4636.0,0.7979999999999999
2021-02-09,Louisiana,619729.0,880150.0,438336.0,3.87,13.33,180112.0,9.43,18.93,5688.0,20531.0,4416.0,0.7040000000000001
2021-02-10,Louisiana,639019.0,882350.0,448139.0,4.08,13.75,189574.0,9.64,18.98,19290.0,21437.0,4611.0,0.7240000000000001
2021-02-11,Louisiana,639019.0,894850.0,448139.0,4.08,13.75,189574.0,9.64,19.25,0.0,18434.0,3965.0,0.7140000000000001
2021-02-12,Louisiana,701110.0,894850.0,482025.0,4.68,15.08,217681.0,10.37,19.25,62091.0,23529.0,5061.0,0.7829999999999999
2021-02-13,Louisiana,735622.0,895150.0,501286.0,5.01,15.82,232766.0,10.78,19.26,34512.0,23556.0,5067.0,0.8220000000000001
2021-02-14,Louisiana,769155.0,895150.0,518682.0,5.35,16.55,248848.0,11.16,19.26,33533.0,24173.0,5200.0,0.8590000000000001
2021-02-15,Louisiana,,,,,,,,,7910.5,23289.0,5010.0,
2021-02-16,Louisiana,784976.0,895350.0,528052.0,5.49,16.89,255269.0,11.36,19.26,7910.5,23607.0,5078.0,0.877
2021-02-17,Louisiana,791574.0,900725.0,531448.0,5.56,17.03,258404.0,11.43,19.38,6598.0,21794.0,4688.0,0.879
2021-02-18,Louisiana,795511.0,928425.0,533933.0,5.59,17.11,259851.0,11.49,19.97,3937.0,22356.0,4809.0,0.857
2021-02-19,Louisiana,859565.0,987625.0,572666.0,6.13,18.49,285057.0,12.32,21.24,64054.0,22636.0,4869.0,0.87
2021-02-20,Louisiana,877683.0,1012000.0,582482.0,6.31,18.88,293295.0,12.53,21.77,18118.0,20294.0,4365.0,0.867
2021-02-21,Louisiana,894519.0,1042225.0,590652.0,6.49,19.24,301923.0,12.71,22.42,16836.0,17909.0,3852.0,0.858
2021-02-22,Louisiana,903226.0,1043200.0,594561.0,6.6,19.43,306685.0,12.79,22.44,8707.0,18023.0,3877.0,0.866
2021-02-23,Louisiana,907334.0,1127670.0,596165.0,6.65,19.52,309174.0,12.82,24.26,4108.0,17480.0,3760.0,0.805
2021-02-24,Louisiana,920794.0,1247910.0,601456.0,6.83,19.81,317284.0,12.94,26.84,13460.0,18460.0,3971.0,0.738
2021-02-25,Louisiana,943419.0,1264780.0,610568.0,7.11,20.29,330738.0,13.13,27.21,22625.0,21130.0,4545.0,0.746
2021-02-26,Louisiana,978234.0,1281480.0,627019.0,7.51,21.04,348969.0,13.49,27.57,34815.0,16953.0,3647.0,0.763
2021-02-27,Louisiana,1019381.0,1331680.0,649708.0,7.89,21.93,366968.0,13.98,28.65,41147.0,20243.0,4354.0,0.765
2021-02-28,Louisiana,1056975.0,1331680.0,673772.0,8.18,22.74,380420.0,14.49,28.65,37594.0,23208.0,4992.0,0.794
2021-03-01,Louisiana,1076576.0,1331680.0,688286.0,8.29,23.16,385486.0,14.81,28.65,19601.0,24764.0,5327.0,0.8079999999999999
2021-03-02,Louisiana,1084499.0,1479200.0,694173.0,8.34,23.33,387514.0,14.93,31.82,7923.0,25309.0,5444.0,0.733
2021-03-03,Louisiana,1107626.0,1482470.0,709457.0,8.5,23.83,395300.0,15.26,31.89,23127.0,26690.0,5741.0,0.747
2021-03-04,Louisiana,1139071.0,1515740.0,728267.0,8.77,24.5,407880.0,15.67,32.61,31445.0,27950.0,6012.0,0.7509999999999999
2021-03-05,Louisiana,1179138.0,1576670.0,751564.0,9.13,25.36,424563.0,16.17,33.92,40067.0,28701.0,6174.0,0.748
2021-03-06,Louisiana,1179915.0,1640860.0,751853.0,9.14,25.38,425050.0,16.17,35.3,777.0,22933.0,4933.0,0.7190000000000001
2021-03-07,Louisiana,1180945.0,1640860.0,752140.0,9.16,25.4,425793.0,16.18,35.3,1030.0,17710.0,3810.0,0.72
2021-03-08,Louisiana,1277889.0,1640860.0,805777.0,9.93,27.49,461597.0,17.33,35.3,96944.0,28759.0,6186.0,0.779
2021-03-09,Louisiana,1286353.0,1739230.0,811301.0,10.01,27.67,465217.0,17.45,37.41,8464.0,28836.0,6203.0,0.74
2021-03-10,Louisiana,1309279.0,1787330.0,825386.0,10.23,28.16,475726.0,17.75,38.45,22926.0,28808.0,6197.0,0.733
2021-03-11,Louisiana,1340630.0,1824270.0,846690.0,10.49,28.84,487828.0,18.21,39.24,31351.0,28794.0,6194.0,0.735
