date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Maine,54945.0,132975.0,38045.0,0.34,4.09,4518.0,2.83,9.89,,,,0.413
2021-01-13,Maine,57248.0,136875.0,39157.0,0.39,4.26,5182.0,2.91,10.18,2303.0,2303.0,1713.0,0.418
2021-01-14,Maine,61129.0,136875.0,51631.0,,4.55,,3.84,10.18,3881.0,3092.0,2300.0,0.447
2021-01-15,Maine,61129.0,136875.0,51631.0,0.62,4.55,8274.0,3.84,10.18,0.0,2061.0,1533.0,0.447
2021-01-16,Maine,,,,,,,,,3212.25,2349.0,1747.0,
2021-01-17,Maine,,,,,,,,,3212.25,2522.0,1876.0,
2021-01-18,Maine,,,,,,,,,3212.25,2637.0,1962.0,
2021-01-19,Maine,73978.0,136875.0,62716.0,0.75,5.5,10018.0,4.67,10.18,3212.25,2719.0,2023.0,0.54
2021-01-20,Maine,76167.0,155800.0,64260.0,0.79,5.67,10661.0,4.78,11.59,2189.0,2703.0,2011.0,0.489
2021-01-21,Maine,80502.0,165175.0,67133.0,0.9,5.99,12071.0,4.99,12.29,4335.0,2768.0,2059.0,0.48700000000000004
2021-01-22,Maine,86395.0,176400.0,70193.0,1.11,6.43,14893.0,5.22,13.12,5893.0,3609.0,2685.0,0.49
2021-01-23,Maine,93003.0,178450.0,74110.0,1.31,6.92,17562.0,5.51,13.28,6608.0,4095.0,3046.0,0.521
2021-01-24,Maine,99815.0,178450.0,79310.0,1.42,7.43,19151.0,5.9,13.28,6812.0,4609.0,3429.0,0.5589999999999999
2021-01-25,Maine,104069.0,178450.0,82837.0,1.48,7.74,19873.0,6.16,13.28,4254.0,4758.0,3540.0,0.583
2021-01-26,Maine,104924.0,195925.0,83464.0,1.5,7.81,20096.0,6.21,14.58,855.0,4421.0,3289.0,0.536
2021-01-27,Maine,109183.0,204325.0,86103.0,1.61,8.12,21707.0,6.41,15.2,4259.0,4717.0,3509.0,0.534
2021-01-28,Maine,115191.0,208225.0,88878.0,1.85,8.57,24925.0,6.61,15.49,6008.0,4956.0,3687.0,0.5529999999999999
2021-01-29,Maine,123207.0,211150.0,93513.0,2.1,9.17,28255.0,6.96,15.71,8016.0,5259.0,3912.0,0.584
2021-01-30,Maine,132067.0,212125.0,99468.0,2.31,9.82,31055.0,7.4,15.78,8860.0,5581.0,4152.0,0.623
2021-01-31,Maine,140353.0,212125.0,105665.0,2.46,10.44,33121.0,7.86,15.78,8286.0,5791.0,4308.0,0.662
2021-02-01,Maine,145786.0,212125.0,109917.0,2.55,10.85,34299.0,8.18,15.78,5433.0,5960.0,4434.0,0.687
2021-02-02,Maine,145786.0,221875.0,109917.0,2.55,10.85,34299.0,8.18,16.51,0.0,5837.0,4342.0,0.657
2021-02-03,Maine,145786.0,226275.0,109917.0,2.55,10.85,34299.0,8.18,16.83,0.0,5229.0,3890.0,0.644
2021-02-04,Maine,153439.0,254550.0,114962.0,2.74,11.41,36870.0,8.55,18.94,7653.0,5464.0,4065.0,0.603
2021-02-05,Maine,159236.0,254550.0,119024.0,2.87,11.85,38542.0,8.85,18.94,5797.0,5147.0,3829.0,0.626
2021-02-06,Maine,168626.0,254550.0,126127.0,3.04,12.54,40806.0,9.38,18.94,9390.0,5223.0,3886.0,0.662
2021-02-07,Maine,178449.0,254550.0,132273.0,3.31,13.28,44447.0,9.84,18.94,9823.0,5442.0,4048.0,0.701
2021-02-08,Maine,178449.0,254550.0,132273.0,3.31,13.28,44447.0,9.84,18.94,0.0,4666.0,3471.0,0.701
2021-02-09,Maine,187512.0,276600.0,138005.0,3.55,13.95,47770.0,10.27,20.58,9063.0,5961.0,4435.0,0.6779999999999999
2021-02-10,Maine,193246.0,285800.0,141778.0,3.7,14.38,49721.0,10.55,21.26,5734.0,6780.0,5044.0,0.6759999999999999
2021-02-11,Maine,193246.0,299375.0,141778.0,3.7,14.38,49721.0,10.55,22.27,0.0,5687.0,4231.0,0.645
2021-02-12,Maine,193246.0,299375.0,141778.0,3.7,14.38,49721.0,10.55,22.27,0.0,4859.0,3615.0,0.645
2021-02-13,Maine,193246.0,299375.0,141778.0,3.7,14.38,49721.0,10.55,22.27,0.0,3517.0,2616.0,0.645
2021-02-14,Maine,193246.0,299375.0,141778.0,3.7,14.38,49721.0,10.55,22.27,0.0,2114.0,1573.0,0.645
2021-02-15,Maine,,,,,,,,,22445.5,5320.0,3958.0,
2021-02-16,Maine,238137.0,317850.0,171975.0,4.78,17.72,64236.0,12.79,23.65,22445.5,7232.0,5380.0,0.7490000000000001
2021-02-17,Maine,242445.0,321850.0,174543.0,4.9,18.04,65928.0,12.98,23.94,4308.0,7028.0,5228.0,0.753
2021-02-18,Maine,242445.0,321850.0,174543.0,4.9,18.04,65928.0,12.98,23.94,0.0,7028.0,5228.0,0.753
2021-02-19,Maine,268162.0,335375.0,190220.0,5.64,19.95,75845.0,14.15,24.95,25717.0,10702.0,7962.0,0.8
2021-02-20,Maine,268322.0,335375.0,190336.0,5.65,19.96,75889.0,14.16,24.95,160.0,10725.0,7979.0,0.8
2021-02-21,Maine,268693.0,335375.0,190495.0,5.66,19.99,76101.0,14.17,24.95,371.0,10778.0,8018.0,0.8009999999999999
2021-02-22,Maine,297116.0,335375.0,204495.0,6.73,22.1,90423.0,15.21,24.95,28423.0,11632.0,8653.0,0.8859999999999999
2021-02-23,Maine,299427.0,355310.0,205886.0,6.79,22.28,91339.0,15.32,26.43,2311.0,8756.0,6514.0,0.843
2021-02-24,Maine,305362.0,387360.0,208682.0,7.03,22.72,94466.0,15.52,28.82,5935.0,8988.0,6686.0,0.7879999999999999
2021-02-25,Maine,305397.0,398190.0,208714.0,7.03,22.72,94469.0,15.53,29.62,35.0,8993.0,6690.0,0.767
2021-02-26,Maine,305477.0,411790.0,208767.0,7.03,22.73,94495.0,15.53,30.63,80.0,5331.0,3966.0,0.742
2021-02-27,Maine,332358.0,416090.0,223922.0,7.89,24.73,106125.0,16.66,30.95,26881.0,9148.0,6805.0,0.799
2021-02-28,Maine,332999.0,416090.0,224342.0,7.91,24.77,106345.0,16.69,30.95,641.0,9187.0,6834.0,0.8
2021-03-01,Maine,334009.0,416090.0,225253.0,7.92,24.85,106444.0,16.76,30.95,1010.0,5270.0,3921.0,0.8029999999999999
2021-03-02,Maine,334325.0,451450.0,225566.0,7.92,24.87,106447.0,16.78,33.58,316.0,4985.0,3708.0,0.741
2021-03-03,Maine,334449.0,465150.0,225674.0,7.92,24.88,106463.0,16.79,34.6,124.0,4155.0,3091.0,0.7190000000000001
2021-03-04,Maine,334528.0,487680.0,225751.0,7.92,24.89,106465.0,16.79,36.28,79.0,4162.0,3096.0,0.6859999999999999
2021-03-05,Maine,382117.0,503580.0,254027.0,9.34,28.43,125573.0,18.9,37.46,47589.0,10949.0,8145.0,0.759
2021-03-06,Maine,398509.0,503580.0,263652.0,9.84,29.65,132299.0,19.61,37.46,16392.0,9450.0,7030.0,0.7909999999999999
2021-03-07,Maine,399534.0,503580.0,264388.0,9.86,29.72,132588.0,19.67,37.46,1025.0,9505.0,7071.0,0.7929999999999999
2021-03-08,Maine,427445.0,503580.0,287695.0,11.06,31.8,148712.0,21.4,37.46,27911.0,13348.0,9930.0,0.8490000000000001
2021-03-09,Maine,432219.0,541780.0,290479.0,11.32,32.15,152152.0,21.61,40.3,4774.0,13985.0,10404.0,0.7979999999999999
2021-03-10,Maine,441443.0,557580.0,296707.0,11.64,32.84,156492.0,22.07,41.48,9224.0,15285.0,11371.0,0.792
2021-03-11,Maine,442593.0,581920.0,297824.0,11.71,32.93,157423.0,22.16,43.29,1150.0,15438.0,11485.0,0.7609999999999999
