date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Marshall Islands,639.0,13600.0,623.0,0.0,1.09,1.0,1.07,23.28,,,,0.047
2021-01-13,Marshall Islands,649.0,13600.0,633.0,0.0,1.11,1.0,1.08,23.28,10.0,10.0,171.0,0.048
2021-01-14,Marshall Islands,649.0,13600.0,623.0,,1.11,,1.07,23.28,0.0,5.0,86.0,0.048
2021-01-15,Marshall Islands,658.0,13600.0,632.0,0.0,1.13,2.0,1.08,23.28,9.0,6.0,103.0,0.048
2021-01-16,Marshall Islands,,,,,,,,,156.0,44.0,753.0,
2021-01-17,Marshall Islands,,,,,,,,,156.0,66.0,1130.0,
2021-01-18,Marshall Islands,,,,,,,,,156.0,81.0,1387.0,
2021-01-19,Marshall Islands,1282.0,13600.0,1250.0,0.0,2.19,2.0,2.14,23.28,156.0,92.0,1575.0,0.094
2021-01-20,Marshall Islands,1514.0,13600.0,1482.0,0.0,2.59,2.0,2.54,23.28,232.0,124.0,2123.0,0.111
2021-01-21,Marshall Islands,1991.0,13600.0,1959.0,0.0,3.41,2.0,3.35,23.28,477.0,192.0,3287.0,0.146
2021-01-22,Marshall Islands,2438.0,13600.0,2406.0,0.0,4.17,2.0,4.12,23.28,447.0,254.0,4348.0,0.179
2021-01-23,Marshall Islands,2873.0,13600.0,2840.0,0.01,4.92,3.0,4.86,23.28,435.0,294.0,5033.0,0.21100000000000002
2021-01-24,Marshall Islands,3098.0,13600.0,3065.0,0.01,5.3,3.0,5.25,23.28,225.0,304.0,5204.0,0.228
2021-01-25,Marshall Islands,3098.0,13600.0,3065.0,0.01,5.3,3.0,5.25,23.28,0.0,282.0,4828.0,0.228
2021-01-26,Marshall Islands,3284.0,13600.0,3250.0,0.01,5.62,3.0,5.56,23.28,186.0,286.0,4896.0,0.24100000000000002
2021-01-27,Marshall Islands,3538.0,13600.0,3487.0,0.03,6.06,20.0,5.97,23.28,254.0,289.0,4948.0,0.26
2021-01-28,Marshall Islands,3755.0,13600.0,3594.0,0.22,6.43,129.0,6.15,23.28,217.0,252.0,4314.0,0.276
