date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Maryland,146231.0,552800.0,136576.0,0.11,2.42,6663.0,2.26,9.14,,,,0.265
2021-01-13,Maryland,178056.0,561500.0,162350.0,0.21,2.95,12706.0,2.69,9.29,31825.0,31825.0,5264.0,0.317
2021-01-14,Maryland,178056.0,564625.0,165318.0,,2.95,,2.73,9.34,0.0,15912.0,2632.0,0.315
2021-01-15,Maryland,194705.0,565125.0,178831.0,0.26,3.22,15830.0,2.96,9.35,16649.0,16158.0,2673.0,0.345
2021-01-16,Maryland,,,,,,,,,13223.0,15424.0,2551.0,
2021-01-17,Maryland,,,,,,,,,13223.0,14984.0,2478.0,
2021-01-18,Maryland,,,,,,,,,13223.0,14690.0,2430.0,
2021-01-19,Maryland,247597.0,565125.0,225456.0,0.36,4.1,21794.0,3.73,9.35,13223.0,14481.0,2395.0,0.43799999999999994
2021-01-20,Maryland,258146.0,628800.0,233443.0,0.4,4.27,24355.0,3.86,10.4,10549.0,11441.0,1892.0,0.41100000000000003
2021-01-21,Maryland,271905.0,685325.0,243450.0,0.46,4.5,28106.0,4.03,11.34,13759.0,13407.0,2218.0,0.397
2021-01-22,Maryland,287512.0,722625.0,256221.0,0.51,4.76,30877.0,4.24,11.95,15607.0,13258.0,2193.0,0.39799999999999996
2021-01-23,Maryland,307411.0,742175.0,272901.0,0.56,5.08,34090.0,4.51,12.28,19899.0,14212.0,2351.0,0.414
2021-01-24,Maryland,338544.0,742175.0,300609.0,0.62,5.6,37507.0,4.97,12.28,31133.0,16770.0,2774.0,0.456
2021-01-25,Maryland,350835.0,742175.0,311148.0,0.65,5.8,39259.0,5.15,12.28,12291.0,16637.0,2752.0,0.473
2021-01-26,Maryland,365519.0,786300.0,322860.0,0.7,6.05,42228.0,5.34,13.01,14684.0,16846.0,2786.0,0.465
2021-01-27,Maryland,389253.0,820425.0,340191.0,0.8,6.44,48629.0,5.63,13.57,23734.0,18730.0,3098.0,0.474
2021-01-28,Maryland,412206.0,851250.0,355484.0,0.93,6.82,56274.0,5.88,14.08,22953.0,20043.0,3315.0,0.484
2021-01-29,Maryland,442565.0,881675.0,375525.0,1.1,7.32,66582.0,6.21,14.58,30359.0,22150.0,3664.0,0.502
2021-01-30,Maryland,475780.0,884650.0,398387.0,1.27,7.87,76905.0,6.59,14.63,33215.0,24053.0,3979.0,0.5379999999999999
2021-01-31,Maryland,505454.0,884650.0,422218.0,1.37,8.36,82743.0,6.98,14.63,29674.0,23844.0,3944.0,0.5710000000000001
2021-02-01,Maryland,528301.0,884650.0,440763.0,1.44,8.74,87039.0,7.29,14.63,22847.0,25352.0,4193.0,0.597
2021-02-02,Maryland,537037.0,899675.0,448177.0,1.46,8.88,88359.0,7.41,14.88,8736.0,24503.0,4053.0,0.597
2021-02-03,Maryland,546409.0,958575.0,454437.0,1.51,9.04,91468.0,7.52,15.86,9372.0,22451.0,3714.0,0.57
2021-02-04,Maryland,565821.0,972225.0,463885.0,1.68,9.36,101425.0,7.67,16.08,19412.0,21945.0,3630.0,0.5820000000000001
2021-02-05,Maryland,594647.0,1011875.0,478473.0,1.91,9.84,115640.0,7.91,16.74,28826.0,21726.0,3594.0,0.588
2021-02-06,Maryland,626838.0,1029725.0,496331.0,2.15,10.37,129951.0,8.21,17.03,32191.0,21580.0,3569.0,0.609
2021-02-07,Maryland,665025.0,1029725.0,518048.0,2.42,11.0,146335.0,8.57,17.03,38187.0,22796.0,3771.0,0.6459999999999999
2021-02-08,Maryland,683305.0,1029725.0,531771.0,2.5,11.3,150844.0,8.8,17.03,18280.0,22143.0,3663.0,0.664
2021-02-09,Maryland,692965.0,1098275.0,537805.0,2.56,11.46,154468.0,8.9,18.17,9660.0,22275.0,3684.0,0.631
2021-02-10,Maryland,721159.0,1101200.0,551581.0,2.79,11.93,168844.0,9.12,18.21,28194.0,24964.0,4129.0,0.655
2021-02-11,Maryland,745478.0,1188600.0,563324.0,3.0,12.33,181380.0,9.32,19.66,24319.0,25665.0,4245.0,0.627
2021-02-12,Maryland,778790.0,1188700.0,580112.0,3.27,12.88,197848.0,9.6,19.66,33312.0,26306.0,4351.0,0.655
2021-02-13,Maryland,812231.0,1192675.0,598423.0,3.52,13.43,212923.0,9.9,19.73,33441.0,26485.0,4381.0,0.6809999999999999
2021-02-14,Maryland,850994.0,1193075.0,618905.0,3.82,14.08,231127.0,10.24,19.73,38763.0,26567.0,4394.0,0.713
2021-02-15,Maryland,,,,,,,,,18474.5,26595.0,4399.0,
2021-02-16,Maryland,887943.0,1231825.0,642662.0,4.04,14.69,244272.0,10.63,20.38,18474.5,27854.0,4607.0,0.721
2021-02-17,Maryland,903172.0,1247775.0,648414.0,4.2,14.94,253696.0,10.73,20.64,15229.0,26002.0,4301.0,0.7240000000000001
2021-02-18,Maryland,930567.0,1249925.0,664228.0,4.39,15.39,265183.0,10.99,20.67,27395.0,26441.0,4374.0,0.7440000000000001
2021-02-19,Maryland,1011323.0,1435375.0,709862.0,4.96,16.73,300029.0,11.74,23.74,80756.0,33219.0,5495.0,0.705
2021-02-20,Maryland,1054467.0,1450000.0,732236.0,5.3,17.44,320657.0,12.11,23.98,43144.0,34605.0,5724.0,0.727
2021-02-21,Maryland,1087762.0,1450000.0,743806.0,5.66,17.99,342271.0,12.3,23.98,33295.0,33824.0,5595.0,0.75
2021-02-22,Maryland,1111529.0,1450000.0,754894.0,5.87,18.39,354904.0,12.49,23.98,23767.0,34580.0,5720.0,0.767
2021-02-23,Maryland,1132483.0,1634945.0,764026.0,6.07,18.73,366689.0,12.64,27.04,20954.0,34934.0,5778.0,0.693
