date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Michigan,227685.0,768150.0,207786.0,0.19,2.28,19472.0,2.08,7.69,,,,0.29600000000000004
2021-01-13,Michigan,291519.0,772150.0,259119.0,0.32,2.92,31937.0,2.59,7.73,63834.0,63834.0,6392.0,0.37799999999999995
2021-01-14,Michigan,327235.0,773650.0,286349.0,,3.28,,2.87,7.75,35716.0,49775.0,4984.0,0.423
2021-01-15,Michigan,364182.0,773750.0,312415.0,0.49,3.65,48536.0,3.13,7.75,36947.0,45499.0,4556.0,0.47100000000000003
2021-01-16,Michigan,,,,,,,,,29852.5,41587.0,4164.0,
2021-01-17,Michigan,,,,,,,,,29852.5,39240.0,3929.0,
2021-01-18,Michigan,,,,,,,,,29852.5,37676.0,3773.0,
2021-01-19,Michigan,483592.0,773750.0,417228.0,0.63,4.84,62780.0,4.18,7.75,29852.5,36558.0,3661.0,0.625
2021-01-20,Michigan,508607.0,1031100.0,434402.0,0.71,5.09,70535.0,4.35,10.32,25015.0,31013.0,3105.0,0.493
2021-01-21,Michigan,548844.0,1059275.0,463917.0,0.81,5.5,81014.0,4.65,10.61,40237.0,31658.0,3170.0,0.518
2021-01-22,Michigan,595454.0,1094275.0,497958.0,0.93,5.96,92473.0,4.99,10.96,46610.0,33039.0,3308.0,0.544
2021-01-23,Michigan,652661.0,1095675.0,536228.0,1.06,6.54,105890.0,5.37,10.97,57207.0,36947.0,3700.0,0.596
2021-01-24,Michigan,695273.0,1095675.0,573167.0,1.11,6.96,111243.0,5.74,10.97,42612.0,38769.0,3882.0,0.635
2021-01-25,Michigan,727437.0,1095675.0,599665.0,1.17,7.28,116840.0,6.0,10.97,32164.0,39100.0,3915.0,0.664
2021-01-26,Michigan,742270.0,1289025.0,611090.0,1.2,7.43,119962.0,6.12,12.91,14833.0,36954.0,3700.0,0.5760000000000001
2021-01-27,Michigan,772031.0,1352100.0,629437.0,1.31,7.73,131282.0,6.3,13.54,29761.0,37632.0,3768.0,0.5710000000000001
2021-01-28,Michigan,814416.0,1359700.0,659118.0,1.44,8.15,143757.0,6.6,13.61,42385.0,37939.0,3799.0,0.599
2021-01-29,Michigan,866663.0,1361500.0,695236.0,1.6,8.68,159723.0,6.96,13.63,52247.0,38744.0,3879.0,0.637
2021-01-30,Michigan,922423.0,1362600.0,734903.0,1.75,9.24,175117.0,7.36,13.64,55760.0,38537.0,3859.0,0.677
2021-01-31,Michigan,977030.0,1362600.0,772944.0,1.91,9.78,190777.0,7.74,13.64,54607.0,40251.0,4030.0,0.7170000000000001
2021-02-01,Michigan,1005544.0,1362600.0,794391.0,1.98,10.07,197770.0,7.95,13.64,28514.0,39730.0,3978.0,0.738
2021-02-02,Michigan,1015483.0,1608250.0,801811.0,2.01,10.17,200265.0,8.03,16.1,9939.0,39030.0,3908.0,0.631
2021-02-03,Michigan,1042268.0,1629000.0,814362.0,2.15,10.44,214234.0,8.15,16.31,26785.0,38605.0,3866.0,0.64
2021-02-04,Michigan,1078808.0,1634000.0,835524.0,2.3,10.8,229373.0,8.37,16.36,36540.0,37770.0,3782.0,0.66
2021-02-05,Michigan,1134175.0,1639575.0,866766.0,2.53,11.36,252963.0,8.68,16.42,55367.0,38216.0,3827.0,0.6920000000000001
2021-02-06,Michigan,1193181.0,1639575.0,896162.0,2.83,11.95,282345.0,8.97,16.42,59006.0,38680.0,3873.0,0.728
2021-02-07,Michigan,1251940.0,1639575.0,924494.0,3.13,12.54,312240.0,9.26,16.42,58759.0,39273.0,3932.0,0.764
2021-02-08,Michigan,1282375.0,1639575.0,938279.0,3.29,12.84,328801.0,9.4,16.42,30435.0,39547.0,3960.0,0.782
2021-02-09,Michigan,1309883.0,1846625.0,950705.0,3.44,13.12,343580.0,9.52,18.49,27508.0,42057.0,4211.0,0.7090000000000001
2021-02-10,Michigan,1358924.0,1865325.0,971480.0,3.72,13.61,371358.0,9.73,18.68,49041.0,45237.0,4530.0,0.7290000000000001
2021-02-11,Michigan,1412047.0,1895500.0,997466.0,3.99,14.14,398177.0,9.99,18.98,53123.0,47606.0,4767.0,0.745
2021-02-12,Michigan,1465627.0,1896800.0,1023114.0,4.26,14.68,425663.0,10.24,18.99,53580.0,47350.0,4741.0,0.773
2021-02-13,Michigan,1537856.0,1919675.0,1061320.0,4.6,15.4,459336.0,10.63,19.22,72229.0,49239.0,4930.0,0.8009999999999999
2021-02-14,Michigan,1604973.0,1919975.0,1096479.0,4.92,16.07,490997.0,10.98,19.23,67117.0,50433.0,5050.0,0.836
2021-02-15,Michigan,,,,,,,,,26017.0,49802.0,4987.0,
2021-02-16,Michigan,1657007.0,2134425.0,1124024.0,5.16,16.59,515237.0,11.26,21.37,26017.0,49589.0,4965.0,0.7759999999999999
2021-02-17,Michigan,1680901.0,2146125.0,1136393.0,5.27,16.83,526520.0,11.38,21.49,23894.0,45997.0,4606.0,0.7829999999999999
2021-02-18,Michigan,1718790.0,2174800.0,1155117.0,5.46,17.21,545553.0,11.57,21.78,37889.0,43820.0,4388.0,0.79
2021-02-19,Michigan,1833886.0,2270370.0,1223696.0,5.93,18.36,591771.0,12.25,22.73,115096.0,52608.0,5268.0,0.8079999999999999
2021-02-20,Michigan,1884038.0,2279240.0,1247602.0,6.19,18.87,617751.0,12.49,22.82,50152.0,49455.0,4952.0,0.8270000000000001
2021-02-21,Michigan,1933648.0,2279240.0,1267083.0,6.48,19.36,647617.0,12.69,22.82,49610.0,46954.0,4702.0,0.848
2021-02-22,Michigan,1972201.0,2279240.0,1282233.0,6.72,19.75,670899.0,12.84,22.82,38553.0,48744.0,4881.0,0.865
2021-02-23,Michigan,1985511.0,2448580.0,1288410.0,6.79,19.88,677980.0,12.9,24.52,13310.0,46929.0,4699.0,0.8109999999999999
2021-02-24,Michigan,2044496.0,2629540.0,1318237.0,7.06,20.47,705514.0,13.2,26.33,58985.0,51942.0,5201.0,0.778
2021-02-25,Michigan,2103114.0,2672490.0,1341024.0,7.41,21.06,740415.0,13.43,26.76,58618.0,54903.0,5498.0,0.787
2021-02-26,Michigan,2165950.0,2679290.0,1375347.0,7.69,21.69,768464.0,13.77,26.83,62836.0,47438.0,4750.0,0.8079999999999999
2021-02-27,Michigan,2245696.0,2704700.0,1419544.0,8.05,22.49,803702.0,14.21,27.08,79746.0,51665.0,5173.0,0.83
2021-02-28,Michigan,2318415.0,2704700.0,1465524.0,8.31,23.21,830176.0,14.67,27.08,72719.0,54967.0,5504.0,0.857
2021-03-01,Michigan,2357259.0,2704700.0,1487953.0,8.48,23.6,846505.0,14.9,27.08,38844.0,55008.0,5508.0,0.872
2021-03-02,Michigan,2389534.0,3103600.0,1509687.0,8.58,23.93,856892.0,15.12,31.08,32275.0,57718.0,5779.0,0.77
2021-03-03,Michigan,2423899.0,3148950.0,1534341.0,8.67,24.27,866351.0,15.36,31.53,34365.0,54200.0,5427.0,0.77
2021-03-04,Michigan,2476796.0,3179160.0,1562258.0,8.92,24.8,890515.0,15.64,31.83,52897.0,53383.0,5345.0,0.779
2021-03-05,Michigan,2555112.0,3290960.0,1614480.0,9.17,25.58,916288.0,16.17,32.95,78316.0,55595.0,5567.0,0.7759999999999999
2021-03-06,Michigan,2637353.0,3363430.0,1671541.0,9.42,26.41,940722.0,16.74,33.68,82241.0,55951.0,5602.0,0.784
2021-03-07,Michigan,2716893.0,3363430.0,1726299.0,9.66,27.2,964944.0,17.29,33.68,79540.0,56925.0,5700.0,0.8079999999999999
2021-03-08,Michigan,2765577.0,3363430.0,1789580.0,10.04,27.69,1002567.0,17.92,33.68,48684.0,58331.0,5841.0,0.8220000000000001
2021-03-09,Michigan,2787289.0,3758740.0,1805357.0,10.11,27.91,1009603.0,18.08,37.64,21712.0,56822.0,5690.0,0.742
2021-03-10,Michigan,2831319.0,3777560.0,1834706.0,10.27,28.35,1025697.0,18.37,37.83,44030.0,58203.0,5828.0,0.75
