date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Minnesota,162240.0,453200.0,152280.0,0.17,2.88,9798.0,2.7,8.04,,,,0.358
2021-01-13,Minnesota,165355.0,511200.0,154767.0,0.18,2.93,10426.0,2.74,9.06,3115.0,3115.0,552.0,0.32299999999999995
2021-01-14,Minnesota,179684.0,516800.0,161507.0,,3.19,,2.86,9.16,14329.0,8722.0,1547.0,0.348
2021-01-15,Minnesota,198253.0,519600.0,170273.0,0.49,3.52,27799.0,3.02,9.21,18569.0,12004.0,2129.0,0.382
2021-01-16,Minnesota,,,,,,,,,13320.5,12333.0,2187.0,
2021-01-17,Minnesota,,,,,,,,,13320.5,12531.0,2222.0,
2021-01-18,Minnesota,,,,,,,,,13320.5,12662.0,2245.0,
2021-01-19,Minnesota,251535.0,519600.0,209118.0,0.75,4.46,42116.0,3.71,9.21,13320.5,12756.0,2262.0,0.484
2021-01-20,Minnesota,252548.0,595775.0,209862.0,0.75,4.48,42384.0,3.72,10.56,1013.0,12456.0,2209.0,0.424
2021-01-21,Minnesota,259417.0,652350.0,213102.0,0.82,4.6,46008.0,3.78,11.57,6869.0,11390.0,2020.0,0.39799999999999996
2021-01-22,Minnesota,278234.0,677100.0,223957.0,0.96,4.93,53940.0,3.97,12.01,18817.0,11426.0,2026.0,0.41100000000000003
2021-01-23,Minnesota,305297.0,680700.0,240009.0,1.15,5.41,64768.0,4.26,12.07,27063.0,13389.0,2374.0,0.449
2021-01-24,Minnesota,321180.0,680700.0,252927.0,1.2,5.7,67716.0,4.48,12.07,15883.0,13755.0,2439.0,0.47200000000000003
2021-01-25,Minnesota,346864.0,680700.0,273973.0,1.28,6.15,72266.0,4.86,12.07,25684.0,15521.0,2752.0,0.51
2021-01-26,Minnesota,360442.0,689450.0,287195.0,1.29,6.39,72622.0,5.09,12.23,13578.0,15558.0,2759.0,0.523
2021-01-27,Minnesota,375395.0,787875.0,298902.0,1.34,6.66,75844.0,5.3,13.97,14953.0,17550.0,3112.0,0.47600000000000003
2021-01-28,Minnesota,403640.0,801775.0,315664.0,1.55,7.16,87269.0,5.6,14.22,28245.0,20603.0,3653.0,0.503
