date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Missouri,161784.0,485175.0,107939.0,0.36,2.64,22155.0,1.76,7.91,,,,0.33299999999999996
2021-01-13,Missouri,161784.0,526425.0,107939.0,0.36,2.64,22155.0,1.76,8.58,0.0,0.0,0.0,0.307
2021-01-14,Missouri,175314.0,528300.0,145521.0,,2.86,,2.37,8.61,13530.0,6765.0,1102.0,0.332
2021-01-15,Missouri,190447.0,528800.0,153664.0,0.6,3.1,36525.0,2.5,8.62,15133.0,9554.0,1557.0,0.36
2021-01-16,Missouri,,,,,,,,,11451.75,10029.0,1634.0,
2021-01-17,Missouri,,,,,,,,,11451.75,10313.0,1680.0,
2021-01-18,Missouri,,,,,,,,,11451.75,10503.0,1711.0,
2021-01-19,Missouri,236254.0,528800.0,189793.0,0.74,3.85,45368.0,3.09,8.62,11451.75,10639.0,1733.0,0.447
2021-01-20,Missouri,244476.0,572125.0,193867.0,0.8,3.98,49330.0,3.16,9.32,8222.0,11813.0,1925.0,0.42700000000000005
2021-01-21,Missouri,265382.0,621200.0,205217.0,0.96,4.32,58782.0,3.34,10.12,20906.0,12867.0,2096.0,0.42700000000000005
2021-01-22,Missouri,285697.0,657700.0,217597.0,1.09,4.65,66699.0,3.55,10.72,20315.0,13607.0,2217.0,0.434
2021-01-23,Missouri,291723.0,661400.0,221849.0,1.12,4.75,68466.0,3.61,10.78,6026.0,12832.0,2091.0,0.441
2021-01-24,Missouri,317737.0,661400.0,242937.0,1.19,5.18,73248.0,3.96,10.78,26014.0,14912.0,2430.0,0.48
2021-01-25,Missouri,335695.0,661400.0,258298.0,1.24,5.47,75823.0,4.21,10.78,17958.0,15842.0,2581.0,0.508
2021-01-26,Missouri,340273.0,665300.0,262230.0,1.25,5.54,76467.0,4.27,10.84,4578.0,14860.0,2421.0,0.511
2021-01-27,Missouri,358150.0,750175.0,276990.0,1.3,5.84,79526.0,4.51,12.22,17877.0,16239.0,2646.0,0.47700000000000004
2021-01-28,Missouri,382552.0,822850.0,294872.0,1.4,6.23,85827.0,4.8,13.41,24402.0,16739.0,2727.0,0.465
2021-01-29,Missouri,408441.0,834700.0,313161.0,1.51,6.65,92389.0,5.1,13.6,25889.0,17535.0,2857.0,0.489
2021-01-30,Missouri,408441.0,835400.0,313161.0,1.51,6.65,92389.0,5.1,13.61,0.0,16674.0,2717.0,0.489
2021-01-31,Missouri,444384.0,835400.0,340708.0,1.63,7.24,100237.0,5.55,13.61,35943.0,18092.0,2948.0,0.532
