date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Montana,42083.0,78350.0,30887.0,0.55,3.94,5843.0,2.89,7.33,,,,0.537
2021-01-13,Montana,44063.0,89550.0,31886.0,0.64,4.12,6823.0,2.98,8.38,1980.0,1980.0,1853.0,0.49200000000000005
2021-01-14,Montana,46620.0,98500.0,39103.0,,4.36,,3.66,9.22,2557.0,2268.0,2122.0,0.473
2021-01-15,Montana,49364.0,98500.0,41160.0,0.77,4.62,8193.0,3.85,9.22,2744.0,2427.0,2271.0,0.501
2021-01-16,Montana,,,,,,,,,1632.25,2228.0,2085.0,
2021-01-17,Montana,,,,,,,,,1632.25,2109.0,1973.0,
2021-01-18,Montana,,,,,,,,,1632.25,2030.0,1899.0,
2021-01-19,Montana,55893.0,98500.0,47209.0,0.81,5.23,8671.0,4.42,9.22,1632.25,1973.0,1846.0,0.5670000000000001
2021-01-20,Montana,57220.0,111625.0,48086.0,0.85,5.35,9121.0,4.5,10.44,1327.0,1880.0,1759.0,0.513
2021-01-21,Montana,60389.0,112125.0,50413.0,0.93,5.65,9962.0,4.72,10.49,3169.0,1967.0,1840.0,0.539
2021-01-22,Montana,66348.0,119500.0,54453.0,1.11,6.21,11878.0,5.09,11.18,5959.0,2426.0,2270.0,0.555
2021-01-23,Montana,72544.0,119500.0,59289.0,1.24,6.79,13235.0,5.55,11.18,6196.0,3078.0,2880.0,0.607
2021-01-24,Montana,76590.0,119500.0,62498.0,1.32,7.17,14071.0,5.85,11.18,4046.0,3423.0,3203.0,0.6409999999999999
2021-01-25,Montana,77356.0,119500.0,63224.0,1.32,7.24,14111.0,5.92,11.18,766.0,3299.0,3087.0,0.647
2021-01-26,Montana,77748.0,119500.0,63481.0,1.33,7.27,14245.0,5.94,11.18,392.0,3122.0,2921.0,0.6509999999999999
2021-01-27,Montana,81169.0,133025.0,65746.0,1.44,7.59,15397.0,6.15,12.45,3421.0,3421.0,3201.0,0.61
2021-01-28,Montana,86213.0,138725.0,68032.0,1.7,8.07,18149.0,6.37,12.98,5044.0,3689.0,3452.0,0.621
2021-01-29,Montana,92589.0,141650.0,71534.0,1.97,8.66,21007.0,6.69,13.25,6376.0,3749.0,3508.0,0.654
2021-01-30,Montana,99272.0,141650.0,75432.0,2.23,9.29,23785.0,7.06,13.25,6683.0,3818.0,3572.0,0.701
2021-01-31,Montana,104525.0,141650.0,79584.0,2.33,9.78,24885.0,7.45,13.25,5253.0,3991.0,3734.0,0.738
2021-02-01,Montana,106145.0,141650.0,80627.0,2.38,9.93,25438.0,7.54,13.25,1620.0,4113.0,3848.0,0.7490000000000001
2021-02-02,Montana,107324.0,141650.0,81420.0,2.42,10.04,25824.0,7.62,13.25,1179.0,4225.0,3953.0,0.758
2021-02-03,Montana,110374.0,157275.0,83875.0,2.46,10.33,26345.0,7.85,14.72,3050.0,4172.0,3904.0,0.7020000000000001
2021-02-04,Montana,116148.0,163675.0,87042.0,2.71,10.87,28942.0,8.14,15.31,5774.0,4276.0,4001.0,0.71
2021-02-05,Montana,122536.0,163675.0,91611.0,2.88,11.47,30749.0,8.57,15.31,6388.0,4278.0,4003.0,0.7490000000000001
2021-02-06,Montana,130883.0,163675.0,96394.0,3.2,12.25,34207.0,9.02,15.31,8347.0,4516.0,4225.0,0.8
2021-02-07,Montana,137765.0,163675.0,101262.0,3.39,12.89,36195.0,9.47,15.31,6882.0,4749.0,4443.0,0.8420000000000001
2021-02-08,Montana,139273.0,163675.0,102365.0,3.42,13.03,36596.0,9.58,15.31,1508.0,4733.0,4428.0,0.851
