date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Nebraska,74439.0,177375.0,65924.0,0.44,3.85,8459.0,3.41,9.17,,,,0.42
2021-01-13,Nebraska,79699.0,199800.0,69113.0,0.54,4.12,10529.0,3.57,10.33,5260.0,5260.0,2719.0,0.39899999999999997
2021-01-14,Nebraska,84920.0,199800.0,72079.0,,4.39,,3.73,10.33,5221.0,5240.0,2709.0,0.425
2021-01-15,Nebraska,91195.0,211500.0,77734.0,0.67,4.71,13050.0,4.02,10.93,6275.0,5585.0,2887.0,0.431
2021-01-16,Nebraska,,,,,,,,,3123.5,4970.0,2569.0,
2021-01-17,Nebraska,,,,,,,,,3123.5,4601.0,2379.0,
2021-01-18,Nebraska,,,,,,,,,3123.5,4354.0,2251.0,
2021-01-19,Nebraska,103689.0,211500.0,89054.0,0.72,5.36,13860.0,4.6,10.93,3123.5,4179.0,2160.0,0.49
2021-01-20,Nebraska,106283.0,237500.0,91040.0,0.75,5.49,14463.0,4.71,12.28,2594.0,3798.0,1963.0,0.44799999999999995
2021-01-21,Nebraska,111841.0,238000.0,94850.0,0.84,5.78,16206.0,4.9,12.3,5558.0,3846.0,1988.0,0.47
2021-01-22,Nebraska,118450.0,238100.0,99571.0,0.93,6.12,18086.0,5.15,12.31,6609.0,3894.0,2013.0,0.49700000000000005
2021-01-23,Nebraska,124069.0,238100.0,103620.0,1.02,6.41,19646.0,5.36,12.31,5619.0,4250.0,2197.0,0.521
2021-01-24,Nebraska,132846.0,238100.0,109860.0,1.15,6.87,22175.0,5.68,12.31,8777.0,5058.0,2615.0,0.5579999999999999
2021-01-25,Nebraska,134033.0,238100.0,110672.0,1.17,6.93,22547.0,5.72,12.31,1187.0,4781.0,2472.0,0.563
2021-01-26,Nebraska,135131.0,238100.0,111248.0,1.19,6.99,23065.0,5.75,12.31,1098.0,4492.0,2322.0,0.568
2021-01-27,Nebraska,139573.0,284275.0,114154.0,1.27,7.22,24598.0,5.9,14.7,4442.0,4756.0,2459.0,0.491
2021-01-28,Nebraska,150019.0,287400.0,116769.0,1.67,7.76,32380.0,6.04,14.86,10446.0,5454.0,2819.0,0.522
2021-01-29,Nebraska,158370.0,288375.0,120121.0,1.93,8.19,37350.0,6.21,14.91,8351.0,5703.0,2948.0,0.5489999999999999
2021-01-30,Nebraska,167276.0,288375.0,125263.0,2.12,8.65,41093.0,6.48,14.91,8906.0,6172.0,3191.0,0.58
2021-01-31,Nebraska,177711.0,288375.0,133002.0,2.26,9.19,43712.0,6.88,14.91,10435.0,6409.0,3313.0,0.616
2021-02-01,Nebraska,180917.0,288375.0,134193.0,2.36,9.35,45716.0,6.94,14.91,3206.0,6698.0,3463.0,0.627
2021-02-02,Nebraska,182412.0,297375.0,134877.0,2.41,9.43,46523.0,6.97,15.37,1495.0,6754.0,3492.0,0.613
2021-02-03,Nebraska,188285.0,332525.0,138354.0,2.53,9.73,48889.0,7.15,17.19,5873.0,6959.0,3597.0,0.5660000000000001
2021-02-04,Nebraska,195126.0,344225.0,141657.0,2.71,10.09,52390.0,7.32,17.79,6841.0,6444.0,3331.0,0.5670000000000001
2021-02-05,Nebraska,204136.0,346175.0,147583.0,2.86,10.55,55313.0,7.63,17.9,9010.0,6538.0,3380.0,0.59
2021-02-06,Nebraska,218405.0,346375.0,157139.0,3.1,11.29,59985.0,8.12,17.91,14269.0,7304.0,3776.0,0.631
2021-02-07,Nebraska,230874.0,346375.0,163479.0,3.41,11.94,66018.0,8.45,17.91,12469.0,7595.0,3926.0,0.667
2021-02-08,Nebraska,234061.0,346375.0,165037.0,3.5,12.1,67636.0,8.53,17.91,3187.0,7592.0,3925.0,0.6759999999999999
2021-02-09,Nebraska,235298.0,386775.0,165853.0,3.52,12.16,68056.0,8.57,19.99,1237.0,7555.0,3906.0,0.608
2021-02-10,Nebraska,241067.0,398575.0,169053.0,3.65,12.46,70566.0,8.74,20.6,5769.0,7540.0,3898.0,0.605
2021-02-11,Nebraska,247879.0,405600.0,172690.0,3.81,12.81,73704.0,8.93,20.97,6812.0,7536.0,3896.0,0.611
2021-02-12,Nebraska,259906.0,407500.0,179502.0,4.08,13.44,78835.0,9.28,21.07,12027.0,7967.0,4119.0,0.638
2021-02-13,Nebraska,273950.0,407500.0,188607.0,4.33,14.16,83670.0,9.75,21.07,14044.0,7935.0,4102.0,0.672
2021-02-14,Nebraska,285708.0,407500.0,195639.0,4.57,14.77,88356.0,10.11,21.07,11758.0,7833.0,4049.0,0.701
2021-02-15,Nebraska,,,,,,,,,2459.0,7729.0,3996.0,
2021-02-16,Nebraska,290626.0,407500.0,198660.0,4.66,15.02,90231.0,10.27,21.07,2459.0,7904.0,4086.0,0.713
2021-02-17,Nebraska,294904.0,427000.0,201138.0,4.76,15.25,91998.0,10.4,22.07,4278.0,7691.0,3976.0,0.691
2021-02-18,Nebraska,305057.0,427000.0,206790.0,4.99,15.77,96439.0,10.69,22.07,10153.0,8168.0,4222.0,0.7140000000000001
2021-02-19,Nebraska,347754.0,472325.0,235260.0,5.72,17.98,110603.0,12.16,24.42,42697.0,12550.0,6488.0,0.736
2021-02-20,Nebraska,360582.0,482975.0,244045.0,5.92,18.64,114580.0,12.62,24.97,12828.0,12376.0,6398.0,0.747
2021-02-21,Nebraska,372655.0,482975.0,252022.0,6.12,19.26,118472.0,13.03,24.97,12073.0,12421.0,6421.0,0.772
2021-02-22,Nebraska,380648.0,482975.0,258588.0,6.2,19.68,119890.0,13.37,24.97,7993.0,13212.0,6830.0,0.7879999999999999
2021-02-23,Nebraska,392756.0,514970.0,266231.0,6.42,20.3,124196.0,13.76,26.62,12108.0,14590.0,7542.0,0.763
2021-02-24,Nebraska,405896.0,539590.0,271978.0,6.8,20.98,131472.0,14.06,27.89,13140.0,15856.0,8197.0,0.752
2021-02-25,Nebraska,422419.0,559930.0,281672.0,7.14,21.84,138194.0,14.56,28.95,16523.0,16766.0,8667.0,0.754
2021-02-26,Nebraska,442310.0,582930.0,293945.0,7.53,22.87,145699.0,15.2,30.13,19891.0,13508.0,6983.0,0.759
2021-02-27,Nebraska,443974.0,603210.0,294713.0,7.58,22.95,146594.0,15.24,31.18,1664.0,11913.0,6158.0,0.736
2021-02-28,Nebraska,474439.0,603210.0,310582.0,8.32,24.53,161017.0,16.06,31.18,30465.0,14541.0,7517.0,0.787
2021-03-01,Nebraska,476315.0,603210.0,311629.0,8.37,24.62,161830.0,16.11,31.18,1876.0,13667.0,7065.0,0.79
2021-03-02,Nebraska,484888.0,604380.0,317353.0,8.51,25.07,164570.0,16.41,31.24,8573.0,13162.0,6804.0,0.802
2021-03-03,Nebraska,497106.0,654800.0,323898.0,8.8,25.7,170153.0,16.74,33.85,12218.0,13030.0,6736.0,0.759
2021-03-04,Nebraska,513497.0,665870.0,332695.0,9.18,26.55,177640.0,17.2,34.42,16391.0,13011.0,6726.0,0.7709999999999999
2021-03-05,Nebraska,535213.0,709110.0,344684.0,9.68,27.67,187246.0,17.82,36.66,21716.0,13272.0,6861.0,0.755
2021-03-06,Nebraska,536126.0,712720.0,344991.0,9.71,27.72,187852.0,17.83,36.84,913.0,13165.0,6806.0,0.752
2021-03-07,Nebraska,556061.0,712720.0,356330.0,10.15,28.75,196265.0,18.42,36.84,19935.0,11660.0,6028.0,0.78
2021-03-08,Nebraska,573413.0,712720.0,371498.0,10.55,29.64,203997.0,19.2,36.84,17352.0,13871.0,7171.0,0.805
