date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Nevada,61653.0,207150.0,31320.0,0.28,2.0,8761.0,1.02,6.73,,,,0.298
2021-01-13,Nevada,61653.0,207150.0,31320.0,0.28,2.0,8761.0,1.02,6.73,0.0,0.0,0.0,0.298
2021-01-14,Nevada,76844.0,210075.0,62370.0,,2.49,,2.02,6.82,15191.0,7596.0,2466.0,0.366
2021-01-15,Nevada,83674.0,211750.0,67679.0,0.5,2.72,15308.0,2.2,6.87,6830.0,7340.0,2383.0,0.395
2021-01-16,Nevada,,,,,,,,,4791.5,6703.0,2176.0,
2021-01-17,Nevada,,,,,,,,,4791.5,6321.0,2052.0,
2021-01-18,Nevada,,,,,,,,,4791.5,6066.0,1969.0,
2021-01-19,Nevada,102840.0,211750.0,85391.0,0.54,3.34,16665.0,2.77,6.87,4791.5,5884.0,1910.0,0.486
2021-01-20,Nevada,107133.0,276775.0,89110.0,0.56,3.48,17209.0,2.89,8.99,4293.0,6497.0,2109.0,0.387
2021-01-21,Nevada,115991.0,278175.0,95837.0,0.63,3.77,19296.0,3.11,9.03,8858.0,5592.0,1815.0,0.41700000000000004
2021-01-22,Nevada,126458.0,281100.0,105222.0,0.66,4.11,20345.0,3.42,9.13,10467.0,6112.0,1984.0,0.45
2021-01-23,Nevada,137031.0,286950.0,115160.0,0.68,4.45,20972.0,3.74,9.32,10573.0,6938.0,2252.0,0.478
2021-01-24,Nevada,152203.0,286950.0,129223.0,0.72,4.94,22068.0,4.2,9.32,15172.0,8421.0,2734.0,0.53
2021-01-25,Nevada,159869.0,286950.0,136670.0,0.72,5.19,22279.0,4.44,9.32,7666.0,8832.0,2867.0,0.557
2021-01-26,Nevada,164362.0,338025.0,140934.0,0.73,5.34,22508.0,4.58,10.97,4493.0,8789.0,2853.0,0.486
2021-01-27,Nevada,174367.0,338525.0,149464.0,0.77,5.66,23852.0,4.85,10.99,10005.0,9605.0,3118.0,0.515
2021-01-28,Nevada,194942.0,339500.0,167481.0,0.85,6.33,26327.0,5.44,11.02,20575.0,11279.0,3662.0,0.574
2021-01-29,Nevada,210185.0,339900.0,179805.0,0.95,6.82,29163.0,5.84,11.04,15243.0,11961.0,3883.0,0.618
2021-01-30,Nevada,224192.0,368800.0,191175.0,1.03,7.28,31783.0,6.21,11.97,14007.0,12452.0,4043.0,0.608
2021-01-31,Nevada,241078.0,368800.0,205892.0,1.1,7.83,33923.0,6.68,11.97,16886.0,12696.0,4122.0,0.654
2021-02-01,Nevada,248754.0,368800.0,211931.0,1.15,8.08,35559.0,6.88,11.97,7676.0,12698.0,4123.0,0.674
2021-02-02,Nevada,253174.0,417175.0,214342.0,1.22,8.22,37568.0,6.96,13.54,4420.0,12687.0,4119.0,0.607
2021-02-03,Nevada,279471.0,417875.0,236799.0,1.34,9.07,41227.0,7.69,13.57,26297.0,15015.0,4875.0,0.669
2021-02-04,Nevada,291601.0,424800.0,244381.0,1.48,9.47,45735.0,7.93,13.79,12130.0,13808.0,4483.0,0.6859999999999999
2021-02-05,Nevada,304323.0,425300.0,252886.0,1.62,9.88,49925.0,8.21,13.81,12722.0,13448.0,4366.0,0.716
2021-02-06,Nevada,322252.0,427800.0,264060.0,1.83,10.46,56456.0,8.57,13.89,17929.0,14009.0,4548.0,0.753
2021-02-07,Nevada,334073.0,427800.0,269657.0,2.03,10.85,62654.0,8.75,13.89,11821.0,13285.0,4313.0,0.7809999999999999
