date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,New Hampshire,50613.0,122350.0,11615.0,0.0,3.72,5.0,0.85,9.0,,,,0.414
2021-01-13,New Hampshire,55218.0,124300.0,12722.0,0.0,4.06,9.0,0.94,9.14,4605.0,4605.0,3387.0,0.444
2021-01-14,New Hampshire,58711.0,127225.0,53780.0,,4.32,,3.96,9.36,3493.0,4049.0,2978.0,0.461
2021-01-15,New Hampshire,62517.0,127225.0,56797.0,0.42,4.6,5700.0,4.18,9.36,3806.0,3968.0,2918.0,0.491
2021-01-16,New Hampshire,,,,,,,,,2259.75,3541.0,2604.0,
2021-01-17,New Hampshire,,,,,,,,,2259.75,3285.0,2416.0,
2021-01-18,New Hampshire,,,,,,,,,2259.75,3114.0,2290.0,
2021-01-19,New Hampshire,71556.0,127225.0,64402.0,0.52,5.26,7120.0,4.74,9.36,2259.75,2992.0,2200.0,0.562
2021-01-20,New Hampshire,75418.0,145400.0,67366.0,0.59,5.55,8013.0,4.95,10.69,3862.0,2886.0,2123.0,0.519
2021-01-21,New Hampshire,80639.0,155150.0,70281.0,0.76,5.93,10319.0,5.17,11.41,5221.0,3133.0,2304.0,0.52
2021-01-22,New Hampshire,85595.0,162950.0,72979.0,0.92,6.3,12575.0,5.37,11.98,4956.0,3297.0,2425.0,0.525
2021-01-23,New Hampshire,89816.0,162950.0,76609.0,0.97,6.61,13166.0,5.63,11.98,4221.0,3577.0,2631.0,0.551
2021-01-24,New Hampshire,93338.0,162950.0,79942.0,0.98,6.86,13355.0,5.88,11.98,3522.0,3757.0,2763.0,0.573
2021-01-25,New Hampshire,94623.0,162950.0,80674.0,1.02,6.96,13907.0,5.93,11.98,1285.0,3618.0,2661.0,0.581
2021-01-26,New Hampshire,97002.0,180525.0,81417.0,1.14,7.13,15542.0,5.99,13.28,2379.0,3635.0,2673.0,0.537
