date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,New Jersey,221045.0,654900.0,206737.0,0.16,2.49,14306.0,2.33,7.37,,,,0.33799999999999997
2021-01-13,New Jersey,262982.0,654900.0,236053.0,0.3,2.96,26926.0,2.66,7.37,41937.0,41937.0,4721.0,0.402
2021-01-14,New Jersey,263422.0,658800.0,235152.0,,2.97,,2.65,7.42,440.0,21188.0,2385.0,0.4
2021-01-15,New Jersey,317070.0,658800.0,278956.0,0.41,3.57,36741.0,3.14,7.42,53648.0,32008.0,3604.0,0.48100000000000004
2021-01-16,New Jersey,,,,,,,,,20769.5,29199.0,3287.0,
2021-01-17,New Jersey,,,,,,,,,20769.5,27513.0,3098.0,
2021-01-18,New Jersey,,,,,,,,,20769.5,26389.0,2971.0,
2021-01-19,New Jersey,400148.0,658800.0,354653.0,0.49,4.51,43879.0,3.99,7.42,20769.5,25586.0,2881.0,0.607
2021-01-20,New Jersey,432220.0,898550.0,381159.0,0.56,4.87,49420.0,4.29,10.12,32072.0,24177.0,2722.0,0.48100000000000004
2021-01-21,New Jersey,432220.0,923300.0,381159.0,0.56,4.87,49420.0,4.29,10.39,0.0,24114.0,2715.0,0.46799999999999997
2021-01-22,New Jersey,464363.0,951875.0,406494.0,0.63,5.23,56213.0,4.58,10.72,32143.0,21042.0,2369.0,0.488
2021-01-23,New Jersey,500889.0,989900.0,437711.0,0.69,5.64,61506.0,4.93,11.14,36526.0,23293.0,2622.0,0.506
2021-01-24,New Jersey,535625.0,989900.0,468760.0,0.73,6.03,65164.0,5.28,11.14,34736.0,25288.0,2847.0,0.541
2021-01-25,New Jersey,563141.0,989900.0,492061.0,0.78,6.34,69374.0,5.54,11.14,27516.0,26252.0,2956.0,0.569
2021-01-26,New Jersey,575733.0,1091400.0,501812.0,0.81,6.48,72212.0,5.65,12.29,12592.0,25084.0,2824.0,0.528
2021-01-27,New Jersey,611862.0,1207100.0,530412.0,0.9,6.89,79648.0,5.97,13.59,36129.0,25663.0,2889.0,0.507
2021-01-28,New Jersey,648215.0,1230550.0,558156.0,0.99,7.3,88198.0,6.28,13.85,36353.0,30856.0,3474.0,0.527
2021-01-29,New Jersey,727426.0,1231525.0,616618.0,1.22,8.19,108740.0,6.94,13.87,79211.0,37580.0,4231.0,0.591
2021-01-30,New Jersey,768944.0,1232525.0,649035.0,1.33,8.66,117791.0,7.31,13.88,41518.0,38294.0,4311.0,0.624
2021-01-31,New Jersey,795440.0,1232525.0,670153.0,1.39,8.96,123147.0,7.54,13.88,26496.0,37116.0,4179.0,0.645
2021-02-01,New Jersey,810293.0,1232525.0,680591.0,1.44,9.12,127552.0,7.66,13.88,14853.0,35307.0,3975.0,0.657
2021-02-02,New Jersey,836584.0,1235350.0,697318.0,1.54,9.42,137096.0,7.85,13.91,26291.0,37264.0,4195.0,0.677
2021-02-03,New Jersey,851721.0,1252250.0,703957.0,1.64,9.59,145570.0,7.93,14.1,15137.0,34266.0,3858.0,0.68
2021-02-04,New Jersey,851721.0,1433750.0,703957.0,1.64,9.59,145570.0,7.93,16.14,0.0,29072.0,3273.0,0.594
2021-02-05,New Jersey,884736.0,1435750.0,724879.0,1.77,9.96,157642.0,8.16,16.16,33015.0,22473.0,2530.0,0.616
2021-02-06,New Jersey,1041289.0,1480825.0,791011.0,2.24,11.72,199040.0,8.91,16.67,156553.0,38906.0,4380.0,0.703
2021-02-07,New Jersey,1074805.0,1480825.0,812914.0,2.37,12.1,210601.0,9.15,16.67,33516.0,39909.0,4493.0,0.726
2021-02-08,New Jersey,1094886.0,1480825.0,822080.0,2.49,12.33,221465.0,9.26,16.67,20081.0,40656.0,4577.0,0.7390000000000001
2021-02-09,New Jersey,1096789.0,1480825.0,851190.0,2.71,12.35,240470.0,9.58,16.67,1903.0,37172.0,4185.0,0.741
2021-02-10,New Jersey,1148733.0,1688975.0,883576.0,2.93,12.93,259944.0,9.95,19.02,51944.0,42430.0,4777.0,0.68
2021-02-11,New Jersey,1196677.0,1770250.0,911345.0,3.15,13.47,280021.0,10.26,19.93,47944.0,49279.0,5548.0,0.6759999999999999
2021-02-12,New Jersey,1252742.0,1773525.0,941794.0,3.44,14.1,305518.0,10.6,19.97,56065.0,52572.0,5919.0,0.706
2021-02-13,New Jersey,1309703.0,1775575.0,971241.0,3.75,14.75,332888.0,10.93,19.99,56961.0,38345.0,4317.0,0.738
2021-02-14,New Jersey,1349327.0,1776775.0,992728.0,3.95,15.19,350955.0,11.18,20.0,39624.0,39217.0,4415.0,0.759
