date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,New York State,579532.0,1622100.0,543014.0,0.19,2.98,36422.0,2.79,8.34,,,,0.35700000000000004
2021-01-13,New York State,632473.0,1796850.0,587865.0,0.23,3.25,44512.0,3.02,9.24,52941.0,52941.0,2721.0,0.35200000000000004
2021-01-14,New York State,688576.0,1872625.0,617596.0,,3.54,,3.17,9.63,56103.0,54522.0,2803.0,0.368
2021-01-15,New York State,757466.0,1884325.0,671311.0,0.38,3.89,73523.0,3.45,9.69,68890.0,59311.0,3049.0,0.402
2021-01-16,New York State,,,,,,,,,60713.25,59662.0,3067.0,
2021-01-17,New York State,,,,,,,,,60713.25,59872.0,3078.0,
2021-01-18,New York State,,,,,,,,,60713.25,60012.0,3085.0,
2021-01-19,New York State,1000319.0,1884325.0,884908.0,0.53,5.14,102187.0,4.55,9.69,60713.25,60112.0,3090.0,0.531
2021-01-20,New York State,1046490.0,2057875.0,926339.0,0.55,5.38,106821.0,4.76,10.58,46171.0,59145.0,3040.0,0.509
2021-01-21,New York State,1116441.0,2213975.0,982183.0,0.62,5.74,120801.0,5.05,11.38,69951.0,61124.0,3142.0,0.504
2021-01-22,New York State,1203994.0,2367075.0,1048453.0,0.73,6.19,142005.0,5.39,12.17,87553.0,63790.0,3279.0,0.509
2021-01-23,New York State,1282515.0,2395950.0,1105935.0,0.84,6.59,162685.0,5.69,12.32,78521.0,66334.0,3410.0,0.535
2021-01-24,New York State,1365404.0,2395950.0,1172921.0,0.91,7.02,176659.0,6.03,12.32,82889.0,69502.0,3573.0,0.57
2021-01-25,New York State,1418313.0,2395950.0,1215450.0,0.95,7.29,183915.0,6.25,12.32,52909.0,68387.0,3515.0,0.5920000000000001
2021-01-26,New York State,1453972.0,2401900.0,1245215.0,0.98,7.47,189791.0,6.4,12.35,35659.0,64808.0,3331.0,0.605
2021-01-27,New York State,1518697.0,2744450.0,1286705.0,1.09,7.81,212802.0,6.61,14.11,64725.0,67458.0,3468.0,0.5529999999999999
2021-01-28,New York State,1630504.0,2812625.0,1320572.0,1.23,8.38,238722.0,6.79,14.46,111807.0,73438.0,3775.0,0.58
2021-01-29,New York State,1703218.0,2823575.0,1359970.0,1.4,8.76,271874.0,6.99,14.51,72714.0,71318.0,3666.0,0.603
2021-01-30,New York State,1791935.0,2932775.0,1417373.0,1.56,9.21,303102.0,7.29,15.08,88717.0,72774.0,3741.0,0.611
2021-01-31,New York State,1875462.0,2932775.0,1473614.0,1.7,9.64,329795.0,7.58,15.08,83527.0,72865.0,3746.0,0.639
2021-02-01,New York State,1927665.0,2932775.0,1511266.0,1.77,9.91,344325.0,7.77,15.08,52203.0,72765.0,3740.0,0.657
