date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,North Carolina,211610.0,836450.0,189213.0,0.18,2.02,19293.0,1.8,7.98,,,,0.253
2021-01-13,North Carolina,266938.0,852000.0,228686.0,0.34,2.55,35148.0,2.18,8.12,55328.0,55328.0,5275.0,0.313
2021-01-14,North Carolina,268212.0,969700.0,233038.0,,2.56,,2.22,9.25,1274.0,28301.0,2698.0,0.27699999999999997
2021-01-15,North Carolina,302824.0,999650.0,259859.0,0.41,2.89,42790.0,2.48,9.53,34612.0,30405.0,2899.0,0.303
2021-01-16,North Carolina,,,,,,,,,24488.75,28926.0,2758.0,
2021-01-17,North Carolina,,,,,,,,,24488.75,28038.0,2673.0,
2021-01-18,North Carolina,,,,,,,,,24488.75,27447.0,2617.0,
2021-01-19,North Carolina,400779.0,999650.0,346533.0,0.51,3.82,54012.0,3.3,9.53,24488.75,27024.0,2577.0,0.401
2021-01-20,North Carolina,427480.0,1118250.0,368818.0,0.56,4.08,58407.0,3.52,10.66,26701.0,22935.0,2187.0,0.382
2021-01-21,North Carolina,473282.0,1157100.0,406257.0,0.64,4.51,66736.0,3.87,11.03,45802.0,29296.0,2793.0,0.409
2021-01-22,North Carolina,524914.0,1192375.0,450144.0,0.71,5.0,74427.0,4.29,11.37,51632.0,31727.0,3025.0,0.44
2021-01-23,North Carolina,577007.0,1246600.0,497387.0,0.76,5.5,79197.0,4.74,11.89,52093.0,35671.0,3401.0,0.46299999999999997
2021-01-24,North Carolina,636439.0,1246600.0,552194.0,0.8,6.07,83752.0,5.26,11.89,59432.0,40662.0,3877.0,0.511
2021-01-25,North Carolina,676037.0,1246600.0,589436.0,0.82,6.45,86064.0,5.62,11.89,39598.0,42821.0,4083.0,0.542
2021-01-26,North Carolina,699722.0,1250900.0,611853.0,0.83,6.67,87292.0,5.83,11.93,23685.0,42706.0,4072.0,0.5589999999999999
2021-01-27,North Carolina,716748.0,1397275.0,627980.0,0.84,6.83,88145.0,5.99,13.32,17026.0,41324.0,3940.0,0.513
2021-01-28,North Carolina,849801.0,1399775.0,728551.0,1.15,8.1,120480.0,6.95,13.35,133053.0,53788.0,5128.0,0.607
2021-01-29,North Carolina,851223.0,1400375.0,729507.0,1.15,8.12,120946.0,6.96,13.35,1422.0,46616.0,4445.0,0.608
2021-01-30,North Carolina,898736.0,1423475.0,762635.0,1.29,8.57,135263.0,7.27,13.57,47513.0,45961.0,4382.0,0.631
2021-01-31,North Carolina,951657.0,1423475.0,800782.0,1.43,9.07,149906.0,7.64,13.57,52921.0,45031.0,4294.0,0.669
2021-02-01,North Carolina,975743.0,1423475.0,818858.0,1.49,9.3,155824.0,7.81,13.57,24086.0,42815.0,4082.0,0.685
2021-02-02,North Carolina,976153.0,1490350.0,819119.0,1.49,9.31,155973.0,7.81,14.21,410.0,39490.0,3765.0,0.655
2021-02-03,North Carolina,1026683.0,1643800.0,855450.0,1.62,9.79,170087.0,8.16,15.67,50530.0,44276.0,4222.0,0.625
2021-02-04,North Carolina,1063474.0,1715675.0,875375.0,1.78,10.14,186914.0,8.35,16.36,36791.0,30525.0,2910.0,0.62
2021-02-05,North Carolina,1110074.0,1718275.0,902198.0,1.97,10.58,206642.0,8.6,16.38,46600.0,36979.0,3526.0,0.6459999999999999
2021-02-06,North Carolina,1171240.0,1718275.0,939554.0,2.2,11.17,230372.0,8.96,16.38,61166.0,38929.0,3712.0,0.682
2021-02-07,North Carolina,1242541.0,1718275.0,979112.0,2.5,11.85,262031.0,9.34,16.38,71301.0,41555.0,3962.0,0.723
2021-02-08,North Carolina,1274361.0,1718275.0,999151.0,2.61,12.15,273763.0,9.53,16.38,31820.0,42660.0,4067.0,0.742
2021-02-09,North Carolina,1287493.0,1722275.0,1005714.0,2.67,12.28,280303.0,9.59,16.42,13132.0,44477.0,4241.0,0.748
2021-02-10,North Carolina,1336079.0,1831875.0,1033527.0,2.87,12.74,300991.0,9.85,17.47,48586.0,44199.0,4214.0,0.7290000000000001
2021-02-11,North Carolina,1382652.0,1938075.0,1050246.0,3.15,13.18,330758.0,10.01,18.48,46573.0,45597.0,4348.0,0.713
2021-02-12,North Carolina,1447413.0,1985050.0,1075646.0,3.53,13.8,370032.0,10.26,18.93,64761.0,48191.0,4595.0,0.7290000000000001
2021-02-13,North Carolina,1523425.0,2047050.0,1114685.0,3.88,14.53,406851.0,10.63,19.52,76012.0,50312.0,4797.0,0.7440000000000001
2021-02-14,North Carolina,1617435.0,2067725.0,1166560.0,4.28,15.42,448878.0,11.12,19.71,94010.0,53556.0,5106.0,0.782
2021-02-15,North Carolina,,,,,,,,,33705.0,53826.0,5132.0,
2021-02-16,North Carolina,1684845.0,2074400.0,1198710.0,4.61,16.06,483989.0,11.43,19.78,33705.0,56765.0,5412.0,0.812
2021-02-17,North Carolina,1734825.0,2075375.0,1223476.0,4.85,16.54,509113.0,11.67,19.79,49980.0,56964.0,5431.0,0.836
2021-02-18,North Carolina,1782267.0,2119250.0,1238992.0,5.16,16.99,540933.0,11.81,20.21,47442.0,57088.0,5443.0,0.841
2021-02-19,North Carolina,1959215.0,2293000.0,1339762.0,5.88,18.68,616620.0,12.77,21.86,176948.0,73115.0,6971.0,0.8540000000000001
2021-02-20,North Carolina,2008811.0,2363200.0,1353909.0,6.22,19.15,651958.0,12.91,22.53,49596.0,69341.0,6611.0,0.85
2021-02-21,North Carolina,2068505.0,2363200.0,1373952.0,6.59,19.72,691447.0,13.1,22.53,59694.0,64439.0,6144.0,0.875
2021-02-22,North Carolina,2105120.0,2363200.0,1385902.0,6.83,20.07,716027.0,13.21,22.53,36615.0,64854.0,6184.0,0.8909999999999999
2021-02-23,North Carolina,2118218.0,2591415.0,1389913.0,6.91,20.2,724993.0,13.25,24.71,13098.0,61910.0,5903.0,0.8170000000000001
2021-02-24,North Carolina,2164489.0,2770825.0,1406859.0,7.19,20.64,754213.0,13.41,26.42,46271.0,61381.0,5852.0,0.7809999999999999
2021-02-25,North Carolina,2210412.0,2809745.0,1424748.0,7.46,21.08,782138.0,13.58,26.79,45923.0,61164.0,5832.0,0.787
2021-02-26,North Carolina,2284698.0,2906485.0,1469070.0,7.74,21.78,812003.0,14.01,27.71,74286.0,46498.0,4433.0,0.7859999999999999
2021-02-27,North Carolina,2366027.0,2985475.0,1522457.0,8.01,22.56,839827.0,14.52,28.47,81329.0,51031.0,4866.0,0.7929999999999999
2021-02-28,North Carolina,2467755.0,2985475.0,1593807.0,8.3,23.53,870088.0,15.2,28.47,101728.0,57036.0,5438.0,0.8270000000000001
2021-03-01,North Carolina,2525579.0,2985475.0,1634790.0,8.46,24.08,886852.0,15.59,28.47,57824.0,60066.0,5727.0,0.846
2021-03-02,North Carolina,2545103.0,3028055.0,1646450.0,8.53,24.27,894708.0,15.7,28.87,19524.0,60984.0,5815.0,0.841
2021-03-03,North Carolina,2606912.0,3278075.0,1686160.0,8.74,24.86,916706.0,16.08,31.26,61809.0,63203.0,6026.0,0.795
2021-03-04,North Carolina,2661523.0,3301865.0,1713861.0,9.0,25.38,943505.0,16.34,31.48,54611.0,64444.0,6144.0,0.8059999999999999
2021-03-05,North Carolina,2680413.0,3529525.0,1726621.0,9.05,25.56,949615.0,16.46,33.65,18890.0,56531.0,5390.0,0.759
2021-03-06,North Carolina,2760801.0,3624905.0,1779796.0,9.31,26.32,976589.0,16.97,34.56,80388.0,56396.0,5377.0,0.762
2021-03-07,North Carolina,2830672.0,3624905.0,1826058.0,9.54,26.99,1000175.0,17.41,34.56,69871.0,51845.0,4943.0,0.7809999999999999
2021-03-08,North Carolina,2881950.0,3624905.0,1838635.0,9.61,27.48,1007844.0,17.53,34.56,51278.0,50910.0,4854.0,0.795
2021-03-09,North Carolina,2909142.0,3719845.0,1858432.0,9.69,27.74,1015937.0,17.72,35.47,27192.0,52006.0,4959.0,0.782
2021-03-10,North Carolina,2979031.0,3960335.0,1906434.0,9.92,28.4,1040603.0,18.18,37.76,69889.0,53160.0,5069.0,0.752
2021-03-11,North Carolina,3048105.0,4121260.0,1950352.0,10.22,29.06,1071902.0,18.6,39.29,69074.0,55226.0,5266.0,0.74
