date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,North Dakota,39479.0,53525.0,33648.0,0.76,5.18,5815.0,4.42,7.02,,,,0.738
2021-01-13,North Dakota,40728.0,66725.0,34317.0,0.84,5.34,6395.0,4.5,8.76,1249.0,1249.0,1639.0,0.61
2021-01-14,North Dakota,42774.0,68675.0,35293.0,,5.61,,4.63,9.01,2046.0,1648.0,2163.0,0.623
2021-01-15,North Dakota,46410.0,68675.0,38506.0,0.99,6.09,7555.0,5.05,9.01,3636.0,2310.0,3031.0,0.6759999999999999
2021-01-16,North Dakota,,,,,,,,,2549.5,2370.0,3110.0,
2021-01-17,North Dakota,,,,,,,,,2549.5,2406.0,3157.0,
2021-01-18,North Dakota,,,,,,,,,2549.5,2430.0,3189.0,
2021-01-19,North Dakota,56608.0,68675.0,47616.0,1.13,7.43,8641.0,6.25,9.01,2549.5,2447.0,3211.0,0.8240000000000001
2021-01-20,North Dakota,57657.0,78150.0,48350.0,1.17,7.57,8954.0,6.34,10.26,1049.0,2418.0,3173.0,0.738
2021-01-21,North Dakota,59245.0,82850.0,48986.0,1.3,7.77,9881.0,6.43,10.87,1588.0,2353.0,3088.0,0.715
2021-01-22,North Dakota,64105.0,86750.0,51018.0,1.63,8.41,12428.0,6.69,11.38,4860.0,2528.0,3317.0,0.7390000000000001
2021-01-23,North Dakota,68999.0,86750.0,53491.0,1.89,9.05,14412.0,7.02,11.38,4894.0,2863.0,3757.0,0.795
2021-01-24,North Dakota,73175.0,86750.0,56158.0,2.05,9.6,15589.0,7.37,11.38,4176.0,3095.0,4061.0,0.8440000000000001
2021-01-25,North Dakota,75242.0,86750.0,57996.0,2.06,9.87,15680.0,7.61,11.38,2067.0,3026.0,3971.0,0.867
2021-01-26,North Dakota,75457.0,86750.0,58131.0,2.07,9.9,15742.0,7.63,11.38,215.0,2693.0,3534.0,0.87
2021-01-27,North Dakota,77230.0,96425.0,58673.0,2.22,10.13,16952.0,7.7,12.65,1773.0,2796.0,3669.0,0.8009999999999999
2021-01-28,North Dakota,80051.0,105900.0,60164.0,2.39,10.5,18244.0,7.89,13.9,2821.0,2972.0,3900.0,0.7559999999999999
2021-01-29,North Dakota,86175.0,106875.0,63773.0,2.72,11.31,20700.0,8.37,14.02,6124.0,3153.0,4137.0,0.8059999999999999
2021-01-30,North Dakota,91585.0,108050.0,66885.0,3.01,12.02,22968.0,8.78,14.18,5410.0,3227.0,4235.0,0.848
2021-01-31,North Dakota,97915.0,108050.0,70822.0,3.33,12.85,25359.0,9.29,14.18,6330.0,3534.0,4637.0,0.9059999999999999
2021-02-01,North Dakota,99481.0,108050.0,71587.0,3.43,13.05,26136.0,9.39,14.18,1566.0,3463.0,4544.0,0.9209999999999999
2021-02-02,North Dakota,99990.0,122050.0,71735.0,3.48,13.12,26493.0,9.41,16.02,509.0,3505.0,4599.0,0.8190000000000001
2021-02-03,North Dakota,103572.0,122150.0,72589.0,3.6,13.59,27418.0,9.53,16.03,3582.0,3763.0,4938.0,0.848
2021-02-04,North Dakota,106900.0,131625.0,74387.0,3.79,14.03,28847.0,9.76,17.27,3328.0,3836.0,5034.0,0.812
2021-02-05,North Dakota,112827.0,131625.0,78325.0,4.05,14.81,30829.0,10.28,17.27,5927.0,3807.0,4996.0,0.857
2021-02-06,North Dakota,120742.0,131625.0,81935.0,4.61,15.84,35123.0,10.75,17.27,7915.0,4165.0,5465.0,0.917
