date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Northern Mariana Islands,3722.0,18650.0,1094.0,0.58,6.54,331.0,1.92,32.79,,,,0.2
2021-01-13,Northern Mariana Islands,4141.0,18650.0,1141.0,1.24,7.28,703.0,2.01,32.79,419.0,419.0,7366.0,0.222
2021-01-14,Northern Mariana Islands,4598.0,18650.0,3455.0,,8.08,,6.07,32.79,457.0,438.0,7700.0,0.247
2021-01-15,Northern Mariana Islands,4909.0,18650.0,3760.0,2.01,8.63,1146.0,6.61,32.79,311.0,396.0,6962.0,0.263
2021-01-16,Northern Mariana Islands,,,,,,,,,365.75,388.0,6821.0,
2021-01-17,Northern Mariana Islands,,,,,,,,,365.75,384.0,6751.0,
2021-01-18,Northern Mariana Islands,,,,,,,,,365.75,381.0,6698.0,
2021-01-19,Northern Mariana Islands,6372.0,18650.0,4453.0,3.37,11.2,1916.0,7.83,32.79,365.75,379.0,6663.0,0.342
2021-01-20,Northern Mariana Islands,6791.0,18650.0,4569.0,3.9,11.94,2219.0,8.03,32.79,419.0,379.0,6663.0,0.364
2021-01-21,Northern Mariana Islands,7309.0,18650.0,4606.0,4.75,12.85,2700.0,8.1,32.79,518.0,387.0,6804.0,0.392
2021-01-22,Northern Mariana Islands,7720.0,18650.0,4700.0,5.3,13.57,3016.0,8.26,32.79,411.0,402.0,7067.0,0.414
2021-01-23,Northern Mariana Islands,8039.0,18650.0,5019.0,5.3,14.13,3016.0,8.82,32.79,319.0,395.0,6944.0,0.431
2021-01-24,Northern Mariana Islands,8390.0,18650.0,5369.0,5.3,14.75,3017.0,9.44,32.79,351.0,393.0,6909.0,0.45
2021-01-25,Northern Mariana Islands,8495.0,18650.0,5474.0,5.3,14.93,3017.0,9.62,32.79,105.0,356.0,6259.0,0.455
2021-01-26,Northern Mariana Islands,8738.0,18650.0,5679.0,5.37,15.36,3055.0,9.98,32.79,243.0,338.0,5942.0,0.469
2021-01-27,Northern Mariana Islands,9026.0,18650.0,5966.0,5.37,15.87,3056.0,10.49,32.79,288.0,319.0,5608.0,0.484
2021-01-28,Northern Mariana Islands,9251.0,18650.0,6189.0,5.38,16.26,3058.0,10.88,32.79,225.0,277.0,4870.0,0.496
2021-01-29,Northern Mariana Islands,9548.0,18650.0,6486.0,5.38,16.79,3058.0,11.4,32.79,297.0,261.0,4588.0,0.512
2021-01-30,Northern Mariana Islands,9733.0,18650.0,6671.0,5.38,17.11,3058.0,11.73,32.79,185.0,242.0,4254.0,0.522
2021-01-31,Northern Mariana Islands,10050.0,18650.0,6896.0,5.54,17.67,3150.0,12.12,32.79,317.0,237.0,4167.0,0.539
2021-02-01,Northern Mariana Islands,10148.0,21850.0,6897.0,5.71,17.84,3247.0,12.13,38.41,98.0,236.0,4149.0,0.46399999999999997
2021-02-02,Northern Mariana Islands,10407.0,29650.0,7062.0,5.87,18.3,3341.0,12.42,52.13,259.0,238.0,4184.0,0.35100000000000003
2021-02-03,Northern Mariana Islands,10655.0,29650.0,7271.0,5.94,18.73,3378.0,12.78,52.13,248.0,233.0,4096.0,0.359
2021-02-04,Northern Mariana Islands,10966.0,29650.0,7561.0,5.98,19.28,3399.0,13.29,52.13,311.0,245.0,4307.0,0.37
2021-02-05,Northern Mariana Islands,11332.0,29650.0,7633.0,6.49,19.92,3692.0,13.42,52.13,366.0,255.0,4483.0,0.382
2021-02-06,Northern Mariana Islands,11697.0,29650.0,7770.0,6.89,20.56,3920.0,13.66,52.13,365.0,281.0,4940.0,0.395
2021-02-07,Northern Mariana Islands,11889.0,29650.0,7847.0,7.09,20.9,4035.0,13.8,52.13,192.0,263.0,4624.0,0.401
2021-02-08,Northern Mariana Islands,11915.0,29650.0,7860.0,7.12,20.95,4048.0,13.82,52.13,26.0,252.0,4430.0,0.402
2021-02-09,Northern Mariana Islands,12264.0,29650.0,8023.0,7.44,21.56,4233.0,14.1,52.13,349.0,265.0,4659.0,0.414
2021-02-10,Northern Mariana Islands,12530.0,29650.0,8174.0,7.64,22.03,4348.0,14.37,52.13,266.0,268.0,4712.0,0.423
2021-02-11,Northern Mariana Islands,12728.0,29650.0,8344.0,7.69,22.38,4376.0,14.67,52.13,198.0,252.0,4430.0,0.429
2021-02-12,Northern Mariana Islands,12971.0,29650.0,8497.0,7.85,22.8,4465.0,14.94,52.13,243.0,234.0,4114.0,0.43700000000000006
2021-02-13,Northern Mariana Islands,13394.0,29650.0,8596.0,8.42,23.55,4789.0,15.11,52.13,423.0,242.0,4254.0,0.452
2021-02-14,Northern Mariana Islands,13754.0,29650.0,8604.0,9.04,24.18,5141.0,15.13,52.13,360.0,266.0,4676.0,0.46399999999999997
2021-02-15,Northern Mariana Islands,,,,,,,,,332.5,310.0,5450.0,
2021-02-16,Northern Mariana Islands,14419.0,29650.0,8945.0,9.61,25.35,5465.0,15.73,52.13,332.5,308.0,5415.0,0.486
2021-02-17,Northern Mariana Islands,14743.0,29650.0,9043.0,10.0,25.92,5691.0,15.9,52.13,324.0,316.0,5555.0,0.49700000000000005
