date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Ohio,311890.0,866050.0,311867.0,,2.67,,2.67,7.41,,,,0.36
2021-01-13,Ohio,329318.0,957700.0,329295.0,,2.82,,2.82,8.19,17428.0,17428.0,1491.0,0.344
2021-01-14,Ohio,348424.0,967450.0,338961.0,,2.98,,2.9,8.28,19106.0,18267.0,1563.0,0.36
2021-01-15,Ohio,375428.0,968250.0,361818.0,0.12,3.21,13552.0,3.1,8.28,27004.0,21179.0,1812.0,0.38799999999999996
2021-01-16,Ohio,,,,,,,,,24164.0,21926.0,1876.0,
2021-01-17,Ohio,,,,,,,,,24164.0,22373.0,1914.0,
2021-01-18,Ohio,,,,,,,,,24164.0,22672.0,1940.0,
2021-01-19,Ohio,472084.0,968250.0,444812.0,0.23,4.04,27139.0,3.81,8.28,24164.0,22885.0,1958.0,0.488
2021-01-20,Ohio,487481.0,1119175.0,456424.0,0.26,4.17,30910.0,3.9,9.57,15397.0,22595.0,1933.0,0.436
2021-01-21,Ohio,487481.0,1122300.0,456424.0,0.26,4.17,30910.0,3.9,9.6,0.0,19865.0,1699.0,0.434
2021-01-22,Ohio,545499.0,1222225.0,500557.0,0.38,4.67,44761.0,4.28,10.46,58018.0,24296.0,2079.0,0.446
2021-01-23,Ohio,594924.0,1233075.0,535544.0,0.51,5.09,59153.0,4.58,10.55,49425.0,27905.0,2387.0,0.48200000000000004
2021-01-24,Ohio,647104.0,1233075.0,575488.0,0.61,5.54,71344.0,4.92,10.55,52180.0,31907.0,2730.0,0.525
2021-01-25,Ohio,685622.0,1233075.0,608379.0,0.66,5.87,76949.0,5.2,10.55,38518.0,33957.0,2905.0,0.556
2021-01-26,Ohio,708026.0,1406950.0,627390.0,0.69,6.06,80329.0,5.37,12.04,22404.0,33706.0,2884.0,0.503
2021-01-27,Ohio,746249.0,1507000.0,657075.0,0.76,6.38,88834.0,5.62,12.89,38223.0,36967.0,3163.0,0.495
2021-01-28,Ohio,789869.0,1532450.0,683323.0,0.91,6.76,106035.0,5.85,13.11,43620.0,43198.0,3696.0,0.515
2021-01-29,Ohio,843099.0,1553900.0,716677.0,1.08,7.21,125794.0,6.13,13.29,53230.0,42514.0,3637.0,0.5429999999999999
2021-01-30,Ohio,911004.0,1553900.0,759337.0,1.29,7.79,150948.0,6.5,13.29,67905.0,45154.0,3863.0,0.586
2021-01-31,Ohio,954013.0,1553900.0,789605.0,1.4,8.16,163622.0,6.76,13.29,43009.0,43844.0,3751.0,0.614
2021-02-01,Ohio,1004624.0,1553900.0,824597.0,1.53,8.59,179168.0,7.05,13.29,50611.0,45572.0,3899.0,0.647
2021-02-02,Ohio,1045139.0,1717875.0,854741.0,1.62,8.94,189502.0,7.31,14.7,40515.0,48159.0,4120.0,0.608
2021-02-03,Ohio,1085391.0,1812025.0,883630.0,1.72,9.29,200784.0,7.56,15.5,40252.0,48449.0,4145.0,0.599
2021-02-04,Ohio,1128082.0,1899800.0,908994.0,1.86,9.65,217948.0,7.78,16.25,42691.0,48316.0,4133.0,0.594
2021-02-05,Ohio,1177237.0,1901750.0,936321.0,2.05,10.07,239651.0,8.01,16.27,49155.0,47734.0,4084.0,0.619
2021-02-06,Ohio,1242487.0,1901750.0,975620.0,2.27,10.63,265445.0,8.35,16.27,65250.0,47355.0,4051.0,0.653
2021-02-07,Ohio,1293965.0,1901750.0,1006750.0,2.44,11.07,285694.0,8.61,16.27,51478.0,48565.0,4155.0,0.68
2021-02-08,Ohio,1346320.0,1901750.0,1038595.0,2.62,11.52,306072.0,8.89,16.27,52355.0,48814.0,4176.0,0.708
2021-02-09,Ohio,1373728.0,2070625.0,1059251.0,2.68,11.75,312725.0,9.06,17.71,27408.0,46941.0,4016.0,0.6629999999999999
2021-02-10,Ohio,1406437.0,2151175.0,1077597.0,2.8,12.03,326984.0,9.22,18.4,32709.0,45864.0,3924.0,0.654
2021-02-11,Ohio,1459174.0,2293650.0,1107677.0,2.99,12.48,349390.0,9.48,19.62,52737.0,47299.0,4046.0,0.636
2021-02-12,Ohio,1540491.0,2293650.0,1162381.0,3.21,13.18,375675.0,9.94,19.62,81317.0,51893.0,4439.0,0.672
2021-02-13,Ohio,1613153.0,2315100.0,1200949.0,3.5,13.8,409487.0,10.27,19.81,72662.0,52952.0,4530.0,0.6970000000000001
2021-02-14,Ohio,1691925.0,2315100.0,1241257.0,3.83,14.47,447697.0,10.62,19.81,78772.0,56851.0,4864.0,0.731
2021-02-15,Ohio,,,,,,,,,51528.5,56733.0,4853.0,
2021-02-16,Ohio,1794982.0,2350375.0,1308980.0,4.13,15.36,482839.0,11.2,20.11,51528.5,60179.0,5148.0,0.764
2021-02-17,Ohio,1825178.0,2373775.0,1325650.0,4.25,15.61,496235.0,11.34,20.31,30196.0,59820.0,5118.0,0.769
2021-02-18,Ohio,1861434.0,2402050.0,1343458.0,4.4,15.92,514513.0,11.49,20.55,36256.0,57466.0,4916.0,0.775
2021-02-19,Ohio,1999736.0,2504150.0,1432292.0,4.82,17.11,563650.0,12.25,21.42,138302.0,65606.0,5613.0,0.799
2021-02-20,Ohio,2066995.0,2504150.0,1460227.0,5.16,17.68,602623.0,12.49,21.42,67259.0,64835.0,5547.0,0.825
2021-02-21,Ohio,2140688.0,2518775.0,1486509.0,5.56,18.31,649412.0,12.72,21.55,73693.0,64109.0,5485.0,0.85
2021-02-22,Ohio,2196607.0,2518775.0,1503346.0,5.89,18.79,688163.0,12.86,21.55,55919.0,64736.0,5538.0,0.872
2021-02-23,Ohio,2228732.0,2963035.0,1515448.0,6.06,19.07,708070.0,12.96,25.35,32125.0,61964.0,5301.0,0.752
2021-02-24,Ohio,2288128.0,3030705.0,1540690.0,6.35,19.57,741704.0,13.18,25.93,59396.0,66136.0,5658.0,0.755
2021-02-25,Ohio,2351582.0,3238385.0,1567124.0,6.66,20.12,778235.0,13.41,27.7,63454.0,70021.0,5990.0,0.726
2021-02-26,Ohio,2413164.0,3282255.0,1598364.0,6.91,20.64,808069.0,13.67,28.08,61582.0,59061.0,5053.0,0.735
2021-02-27,Ohio,2501854.0,3301865.0,1643306.0,7.28,21.4,851065.0,14.06,28.25,88690.0,62123.0,5315.0,0.758
2021-02-28,Ohio,2599806.0,3301865.0,1691901.0,7.7,22.24,899625.0,14.47,28.25,97952.0,65588.0,5611.0,0.787
2021-03-01,Ohio,2660844.0,3301865.0,1728576.0,7.9,22.76,923721.0,14.79,28.25,61038.0,66320.0,5674.0,0.8059999999999999
2021-03-02,Ohio,2723208.0,3573485.0,1762491.0,8.14,23.3,951847.0,15.08,30.57,62364.0,70639.0,6043.0,0.762
2021-03-03,Ohio,2790056.0,3686255.0,1801523.0,8.37,23.87,978945.0,15.41,31.54,66848.0,71704.0,6134.0,0.757
2021-03-04,Ohio,2850454.0,3817675.0,1836564.0,8.58,24.39,1003486.0,15.71,32.66,60398.0,71267.0,6097.0,0.747
2021-03-05,Ohio,2918114.0,3972035.0,1881959.0,8.77,24.96,1025158.0,16.1,33.98,67660.0,72136.0,6171.0,0.735
2021-03-06,Ohio,3027215.0,4057505.0,1952141.0,9.1,25.9,1063390.0,16.7,34.71,109101.0,75052.0,6421.0,0.746
2021-03-07,Ohio,3131288.0,4057505.0,2010947.0,9.48,26.79,1108033.0,17.2,34.71,104073.0,75926.0,6495.0,0.772
2021-03-08,Ohio,3203772.0,4057505.0,2042646.0,9.85,27.41,1151455.0,17.47,34.71,72484.0,77561.0,6635.0,0.79
2021-03-09,Ohio,3255735.0,4331405.0,2070097.0,10.08,27.85,1178428.0,17.71,37.06,51963.0,76075.0,6508.0,0.752
2021-03-10,Ohio,3316480.0,4444875.0,2109012.0,10.35,28.37,1209855.0,18.04,38.03,60745.0,75203.0,6434.0,0.746
2021-03-11,Ohio,3391091.0,4589515.0,2161650.0,10.63,29.01,1242387.0,18.49,39.26,74611.0,77234.0,6607.0,0.7390000000000001
