date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Oklahoma,157843.0,381375.0,109045.0,0.44,3.99,17463.0,2.76,9.64,,,,0.414
2021-01-13,Oklahoma,172403.0,396975.0,118786.0,0.56,4.36,22278.0,3.0,10.03,14560.0,14560.0,3680.0,0.434
2021-01-14,Oklahoma,187266.0,399900.0,160035.0,,4.73,,4.04,10.11,14863.0,14712.0,3718.0,0.46799999999999997
2021-01-15,Oklahoma,203410.0,424000.0,173162.0,0.73,5.14,28917.0,4.38,10.72,16144.0,15189.0,3839.0,0.48
2021-01-16,Oklahoma,,,,,,,,,9670.75,13809.0,3490.0,
2021-01-17,Oklahoma,,,,,,,,,9670.75,12982.0,3281.0,
2021-01-18,Oklahoma,,,,,,,,,9670.75,12430.0,3141.0,
2021-01-19,Oklahoma,242093.0,424000.0,209687.0,0.78,6.12,30919.0,5.3,10.72,9670.75,12036.0,3042.0,0.5710000000000001
2021-01-20,Oklahoma,251684.0,455275.0,217690.0,0.82,6.36,32308.0,5.5,11.51,9591.0,11326.0,2862.0,0.5529999999999999
2021-01-21,Oklahoma,267434.0,490500.0,230902.0,0.88,6.76,34706.0,5.84,12.4,15750.0,11453.0,2894.0,0.545
2021-01-22,Oklahoma,287502.0,496350.0,247954.0,0.95,7.27,37435.0,6.27,12.54,20068.0,12013.0,3036.0,0.579
2021-01-23,Oklahoma,304806.0,496350.0,263315.0,0.99,7.7,39290.0,6.65,12.54,17304.0,13104.0,3312.0,0.614
2021-01-24,Oklahoma,322810.0,496350.0,279283.0,1.04,8.16,41289.0,7.06,12.54,18004.0,14294.0,3612.0,0.65
2021-01-25,Oklahoma,326546.0,496350.0,282679.0,1.05,8.25,41634.0,7.14,12.54,3736.0,13446.0,3398.0,0.6579999999999999
2021-01-26,Oklahoma,328874.0,530675.0,284799.0,1.06,8.31,41814.0,7.2,13.41,2328.0,12397.0,3133.0,0.62
2021-01-27,Oklahoma,345144.0,569575.0,296308.0,1.18,8.72,46596.0,7.49,14.39,16270.0,13351.0,3374.0,0.606
2021-01-28,Oklahoma,363253.0,592975.0,308458.0,1.33,9.18,52465.0,7.8,14.99,18109.0,13688.0,3459.0,0.613
2021-01-29,Oklahoma,386688.0,594925.0,323625.0,1.53,9.77,60680.0,8.18,15.03,23435.0,14169.0,3581.0,0.65
2021-01-30,Oklahoma,410305.0,594925.0,339382.0,1.73,10.37,68510.0,8.58,15.03,23617.0,15071.0,3809.0,0.69
2021-01-31,Oklahoma,437985.0,594925.0,356891.0,1.98,11.07,78459.0,9.02,15.03,27680.0,16454.0,4158.0,0.736
2021-02-01,Oklahoma,443581.0,594925.0,360670.0,2.03,11.21,80231.0,9.11,15.03,5596.0,16719.0,4225.0,0.746
2021-02-02,Oklahoma,445675.0,616775.0,362529.0,2.03,11.26,80465.0,9.16,15.59,2094.0,16686.0,4217.0,0.723
2021-02-03,Oklahoma,462440.0,675850.0,372020.0,2.21,11.69,87596.0,9.4,17.08,16765.0,16757.0,4235.0,0.684
2021-02-04,Oklahoma,484384.0,700225.0,382044.0,2.51,12.24,99354.0,9.65,17.7,21944.0,17304.0,4373.0,0.6920000000000001
2021-02-05,Oklahoma,510693.0,700225.0,393313.0,2.89,12.91,114208.0,9.94,17.7,26309.0,17715.0,4477.0,0.7290000000000001
2021-02-06,Oklahoma,541252.0,734625.0,406359.0,3.32,13.68,131556.0,10.27,18.57,30559.0,18707.0,4728.0,0.737
2021-02-07,Oklahoma,573746.0,734625.0,424612.0,3.68,14.5,145610.0,10.73,18.57,32494.0,19394.0,4901.0,0.7809999999999999
2021-02-08,Oklahoma,586054.0,734625.0,431499.0,3.82,14.81,151019.0,10.9,18.57,12308.0,20353.0,5144.0,0.7979999999999999
2021-02-09,Oklahoma,588207.0,750525.0,432422.0,3.85,14.87,152243.0,10.93,18.97,2153.0,20362.0,5146.0,0.784
2021-02-10,Oklahoma,606406.0,779400.0,440614.0,4.1,15.33,162188.0,11.14,19.7,18199.0,20567.0,5198.0,0.778
2021-02-11,Oklahoma,628361.0,815475.0,452166.0,4.36,15.88,172509.0,11.43,20.61,21955.0,20568.0,5198.0,0.7709999999999999
2021-02-12,Oklahoma,640353.0,815675.0,458056.0,4.51,16.18,178566.0,11.58,20.61,11992.0,18523.0,4681.0,0.785
2021-02-13,Oklahoma,660835.0,815675.0,468199.0,4.77,16.7,188852.0,11.83,20.61,20482.0,17083.0,4317.0,0.81
2021-02-14,Oklahoma,682354.0,816650.0,477378.0,5.08,17.24,201044.0,12.06,20.64,21519.0,15515.0,3921.0,0.836
2021-02-15,Oklahoma,,,,,,,,,6131.0,14633.0,3698.0,
2021-02-16,Oklahoma,694616.0,816650.0,484478.0,5.21,17.55,206173.0,12.24,20.64,6131.0,15201.0,3842.0,0.851
2021-02-17,Oklahoma,696437.0,816650.0,485563.0,5.23,17.6,206905.0,12.27,20.64,1821.0,12862.0,3250.0,0.853
2021-02-18,Oklahoma,700440.0,816650.0,487252.0,5.29,17.7,209203.0,12.31,20.64,4003.0,10297.0,2602.0,0.858
2021-02-19,Oklahoma,813518.0,1061775.0,565691.0,6.09,20.56,240890.0,14.3,26.83,113078.0,24738.0,6252.0,0.7659999999999999
2021-02-20,Oklahoma,830903.0,1061775.0,572876.0,6.34,21.0,251032.0,14.48,26.83,17385.0,24295.0,6140.0,0.7829999999999999
2021-02-21,Oklahoma,865961.0,1061775.0,584493.0,6.93,21.88,274345.0,14.77,26.83,35058.0,26230.0,6629.0,0.816
2021-02-22,Oklahoma,891227.0,1061775.0,594361.0,7.32,22.52,289719.0,15.02,26.83,25266.0,28963.0,7319.0,0.8390000000000001
2021-02-23,Oklahoma,906583.0,1173350.0,600293.0,7.56,22.91,299132.0,15.17,29.65,15356.0,30281.0,7653.0,0.773
2021-02-24,Oklahoma,935457.0,1271050.0,617842.0,7.84,23.64,310347.0,15.61,32.12,28874.0,34146.0,8629.0,0.736
2021-02-25,Oklahoma,967522.0,1334690.0,634889.0,8.22,24.45,325335.0,16.04,33.73,32065.0,38155.0,9642.0,0.725
2021-02-26,Oklahoma,1006064.0,1385540.0,651825.0,8.76,25.43,346826.0,16.47,35.02,38542.0,27507.0,6952.0,0.726
2021-02-27,Oklahoma,1046995.0,1399890.0,670674.0,9.32,26.46,368852.0,16.95,35.38,40931.0,30870.0,7801.0,0.748
2021-02-28,Oklahoma,1095362.0,1399890.0,693310.0,9.97,27.68,394484.0,17.52,35.38,48367.0,32772.0,8282.0,0.782
2021-03-01,Oklahoma,1119049.0,1399890.0,709513.0,10.16,28.28,401951.0,17.93,35.38,23687.0,32546.0,8225.0,0.799
2021-03-02,Oklahoma,1124662.0,1408880.0,713785.0,10.19,28.42,403289.0,18.04,35.61,5613.0,31154.0,7873.0,0.7979999999999999
2021-03-03,Oklahoma,1147833.0,1551080.0,726784.0,10.45,29.01,413355.0,18.37,39.2,23171.0,30339.0,7667.0,0.74
2021-03-04,Oklahoma,1181414.0,1635550.0,745587.0,10.82,29.86,427987.0,18.84,41.33,33581.0,30556.0,7722.0,0.722
2021-03-05,Oklahoma,1213040.0,1731720.0,767445.0,11.06,30.66,437663.0,19.39,43.76,31626.0,29568.0,7472.0,0.7
2021-03-06,Oklahoma,1246152.0,1741270.0,788330.0,11.37,31.49,449798.0,19.92,44.01,33112.0,28451.0,7190.0,0.716
2021-03-07,Oklahoma,1278427.0,1741270.0,809717.0,11.64,32.31,460618.0,20.46,44.01,32275.0,26152.0,6609.0,0.7340000000000001
2021-03-08,Oklahoma,1300639.0,1741270.0,818496.0,11.76,32.87,465461.0,20.68,44.01,22212.0,25941.0,6556.0,0.747
2021-03-09,Oklahoma,1307274.0,1744610.0,822520.0,11.83,33.04,468285.0,20.79,44.09,6635.0,26087.0,6593.0,0.7490000000000001
2021-03-10,Oklahoma,1334818.0,1889040.0,839508.0,12.11,33.73,479038.0,21.22,47.74,27544.0,26712.0,6751.0,0.7070000000000001
2021-03-11,Oklahoma,1364914.0,1915285.0,863480.0,12.29,34.49,486421.0,21.82,48.4,30096.0,26214.0,6625.0,0.713
