date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Oregon,104610.0,321425.0,99594.0,0.11,2.48,4813.0,2.36,7.62,,,,0.325
2021-01-13,Oregon,115075.0,325325.0,107843.0,0.17,2.73,7014.0,2.56,7.71,10465.0,10465.0,2481.0,0.354
2021-01-14,Oregon,129796.0,335075.0,119980.0,,3.08,,2.84,7.94,14721.0,12593.0,2986.0,0.387
2021-01-15,Oregon,146153.0,335075.0,133091.0,0.3,3.47,12795.0,3.16,7.94,16357.0,13848.0,3283.0,0.436
2021-01-16,Oregon,,,,,,,,,17693.75,14809.0,3511.0,
2021-01-17,Oregon,,,,,,,,,17693.75,15386.0,3648.0,
2021-01-18,Oregon,,,,,,,,,17693.75,15771.0,3739.0,
2021-01-19,Oregon,216928.0,335075.0,192550.0,0.57,5.14,23866.0,4.57,7.94,17693.75,16045.0,3804.0,0.647
2021-01-20,Oregon,216928.0,431450.0,192550.0,0.57,5.14,23866.0,4.57,10.23,0.0,14550.0,3450.0,0.503
2021-01-21,Oregon,216928.0,479325.0,192550.0,0.57,5.14,23866.0,4.57,11.36,0.0,12447.0,2951.0,0.45299999999999996
2021-01-22,Oregon,253705.0,487700.0,218413.0,0.82,6.02,34536.0,5.18,11.56,36777.0,15365.0,3643.0,0.52
2021-01-23,Oregon,270463.0,492450.0,231606.0,0.9,6.41,37983.0,5.49,11.68,16758.0,15231.0,3611.0,0.5489999999999999
2021-01-24,Oregon,285922.0,492450.0,244669.0,0.96,6.78,40348.0,5.8,11.68,15459.0,14912.0,3536.0,0.581
2021-01-25,Oregon,300676.0,492450.0,257296.0,1.01,7.13,42426.0,6.1,11.68,14754.0,14492.0,3436.0,0.611
2021-01-26,Oregon,308066.0,589200.0,263167.0,1.04,7.3,43942.0,6.24,13.97,7390.0,13020.0,3087.0,0.523
2021-01-27,Oregon,325488.0,599900.0,276200.0,1.14,7.72,48261.0,6.55,14.22,17422.0,15509.0,3677.0,0.5429999999999999
2021-01-28,Oregon,340383.0,606725.0,285528.0,1.27,8.07,53662.0,6.77,14.39,14895.0,17636.0,4181.0,0.561
2021-01-29,Oregon,359391.0,614525.0,299508.0,1.39,8.52,58664.0,7.1,14.57,19008.0,15098.0,3580.0,0.585
2021-01-30,Oregon,382392.0,665325.0,314964.0,1.57,9.07,66188.0,7.47,15.77,23001.0,15990.0,3791.0,0.575
2021-01-31,Oregon,407890.0,665325.0,331692.0,1.78,9.67,74927.0,7.86,15.77,25498.0,17424.0,4131.0,0.613
2021-02-01,Oregon,423627.0,665325.0,342827.0,1.89,10.04,79522.0,8.13,15.77,15737.0,17564.0,4164.0,0.637
2021-02-02,Oregon,438302.0,684000.0,353035.0,1.99,10.39,83898.0,8.37,16.22,14675.0,18605.0,4411.0,0.6409999999999999
2021-02-03,Oregon,454269.0,706575.0,361249.0,2.16,10.77,91240.0,8.56,16.75,15967.0,18397.0,4362.0,0.643
2021-02-04,Oregon,471983.0,706575.0,369704.0,2.38,11.19,100414.0,8.77,16.75,17714.0,18800.0,4457.0,0.6679999999999999
2021-02-05,Oregon,487153.0,733875.0,378078.0,2.54,11.55,107146.0,8.96,17.4,15170.0,18252.0,4327.0,0.664
2021-02-06,Oregon,509875.0,734950.0,389513.0,2.81,12.09,118378.0,9.24,17.43,22722.0,18212.0,4318.0,0.6940000000000001
2021-02-07,Oregon,532746.0,734950.0,400019.0,3.1,12.63,130687.0,9.48,17.43,22871.0,17837.0,4229.0,0.725
2021-02-08,Oregon,554440.0,734950.0,412660.0,3.31,13.15,139700.0,9.78,17.43,21694.0,18688.0,4431.0,0.754
2021-02-09,Oregon,572695.0,801125.0,425086.0,3.45,13.58,145517.0,10.08,18.99,18255.0,19199.0,4552.0,0.715
2021-02-10,Oregon,589035.0,831350.0,434561.0,3.61,13.97,152361.0,10.3,19.71,16340.0,19252.0,4565.0,0.7090000000000001
2021-02-11,Oregon,589035.0,840475.0,434561.0,3.61,13.97,152361.0,10.3,19.93,0.0,16722.0,3965.0,0.701
2021-02-12,Oregon,589035.0,840575.0,434561.0,3.61,13.97,152361.0,10.3,19.93,0.0,14555.0,3451.0,0.701
2021-02-13,Oregon,650929.0,841550.0,466801.0,4.31,15.43,181841.0,11.07,19.95,61894.0,20151.0,4778.0,0.773
2021-02-14,Oregon,671315.0,841550.0,475841.0,4.58,15.92,193105.0,11.28,19.95,20386.0,19796.0,4694.0,0.7979999999999999
2021-02-15,Oregon,,,,,,,,,6949.5,17689.0,4194.0,
2021-02-16,Oregon,685214.0,862025.0,483103.0,4.73,16.25,199679.0,11.45,20.44,6949.5,16074.0,3811.0,0.795
2021-02-17,Oregon,692781.0,878600.0,487286.0,4.81,16.43,202959.0,11.55,20.83,7567.0,14821.0,3514.0,0.789
2021-02-18,Oregon,708570.0,878600.0,496092.0,4.98,16.8,209930.0,11.76,20.83,15789.0,17076.0,4049.0,0.8059999999999999
2021-02-19,Oregon,767637.0,922300.0,529837.0,5.55,18.2,234021.0,12.56,21.87,59067.0,25515.0,6049.0,0.8320000000000001
2021-02-20,Oregon,794779.0,924575.0,541691.0,5.91,18.84,249241.0,12.84,21.92,27142.0,20550.0,4872.0,0.86
2021-02-21,Oregon,821720.0,924575.0,552058.0,6.3,19.48,265789.0,13.09,21.92,26941.0,21486.0,5094.0,0.889
2021-02-22,Oregon,844210.0,924575.0,560544.0,6.63,20.02,279756.0,13.29,21.92,22490.0,23706.0,5621.0,0.9129999999999999
2021-02-23,Oregon,864960.0,1092385.0,568729.0,6.93,20.51,292195.0,13.48,25.9,20750.0,25678.0,6088.0,0.792
2021-02-24,Oregon,865750.0,1133695.0,569406.0,6.93,20.53,292308.0,13.5,26.88,790.0,24710.0,5859.0,0.764
2021-02-25,Oregon,889531.0,1170595.0,580233.0,7.24,21.09,305172.0,13.76,27.75,23781.0,25852.0,6129.0,0.76
2021-02-26,Oregon,927860.0,1177945.0,597818.0,7.72,22.0,325641.0,14.17,27.93,38329.0,22889.0,5427.0,0.7879999999999999
2021-02-27,Oregon,960674.0,1241415.0,617927.0,8.02,22.78,338259.0,14.65,29.43,32814.0,23699.0,5619.0,0.774
2021-02-28,Oregon,994403.0,1241415.0,633952.0,8.44,23.58,355818.0,15.03,29.43,33729.0,24669.0,5849.0,0.8009999999999999
2021-03-01,Oregon,1024055.0,1241415.0,652299.0,8.7,24.28,367112.0,15.47,29.43,29652.0,25692.0,6091.0,0.825
2021-03-02,Oregon,1038342.0,1293095.0,660735.0,8.84,24.62,372950.0,15.67,30.66,14287.0,24769.0,5873.0,0.8029999999999999
2021-03-03,Oregon,1050060.0,1335165.0,667785.0,8.95,24.9,377528.0,15.83,31.66,11718.0,26330.0,6243.0,0.7859999999999999
2021-03-04,Oregon,1073041.0,1363665.0,679526.0,9.21,25.44,388626.0,16.11,32.33,22981.0,26216.0,6216.0,0.787
2021-03-05,Oregon,1097974.0,1405845.0,692137.0,9.5,26.03,400819.0,16.41,33.33,24933.0,24302.0,5762.0,0.7809999999999999
2021-03-06,Oregon,1137864.0,1420125.0,719910.0,9.78,26.98,412573.0,17.07,33.67,39890.0,25313.0,6002.0,0.8009999999999999
2021-03-07,Oregon,1172840.0,1420125.0,743899.0,10.03,27.81,423219.0,17.64,33.67,34976.0,25491.0,6044.0,0.826
2021-03-08,Oregon,1199682.0,1420125.0,760168.0,10.24,28.44,431930.0,18.02,33.67,26842.0,25090.0,5949.0,0.845
2021-03-09,Oregon,1221981.0,1480885.0,773967.0,10.45,28.97,440717.0,18.35,35.11,22299.0,26234.0,6220.0,0.825
2021-03-10,Oregon,1238835.0,1608165.0,784943.0,10.6,29.37,447042.0,18.61,38.13,16854.0,26968.0,6394.0,0.77
2021-03-11,Oregon,1239800.0,1629635.0,785467.0,10.62,29.39,448006.0,18.62,38.64,965.0,23823.0,5648.0,0.7609999999999999
