date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Pennsylvania,341948.0,974725.0,266288.0,0.08,2.67,10591.0,2.08,7.61,,,,0.35100000000000003
2021-01-13,Pennsylvania,379944.0,1017475.0,285938.0,0.14,2.97,18051.0,2.23,7.95,37996.0,37996.0,2968.0,0.373
2021-01-14,Pennsylvania,410414.0,1065300.0,353821.0,,3.21,,2.76,8.32,30470.0,34233.0,2674.0,0.385
2021-01-15,Pennsylvania,448151.0,1075350.0,380727.0,0.52,3.5,66941.0,2.97,8.4,37737.0,35401.0,2765.0,0.41700000000000004
2021-01-16,Pennsylvania,,,,,,,,,24066.25,32567.0,2544.0,
2021-01-17,Pennsylvania,,,,,,,,,24066.25,30867.0,2411.0,
2021-01-18,Pennsylvania,,,,,,,,,24066.25,29734.0,2323.0,
2021-01-19,Pennsylvania,544416.0,1075350.0,464339.0,0.62,4.25,79526.0,3.63,8.4,24066.25,28924.0,2259.0,0.506
2021-01-20,Pennsylvania,568660.0,1223250.0,482791.0,0.67,4.44,85290.0,3.77,9.56,24244.0,26959.0,2106.0,0.465
2021-01-21,Pennsylvania,605428.0,1344375.0,508391.0,0.75,4.73,96395.0,3.97,10.5,36768.0,27859.0,2176.0,0.45
2021-01-22,Pennsylvania,652886.0,1465850.0,539431.0,0.88,5.1,112692.0,4.21,11.45,47458.0,29248.0,2285.0,0.445
2021-01-23,Pennsylvania,695870.0,1564125.0,572228.0,0.96,5.44,122849.0,4.47,12.22,42984.0,31950.0,2496.0,0.445
2021-01-24,Pennsylvania,744591.0,1564125.0,611359.0,1.03,5.82,131908.0,4.78,12.22,48721.0,35472.0,2771.0,0.47600000000000003
2021-01-25,Pennsylvania,776799.0,1564125.0,639526.0,1.06,6.07,135939.0,5.0,12.22,32208.0,36636.0,2862.0,0.49700000000000005
2021-01-26,Pennsylvania,800354.0,1636675.0,657711.0,1.1,6.25,141304.0,5.14,12.78,23555.0,36563.0,2856.0,0.489
2021-01-27,Pennsylvania,851980.0,1817925.0,693731.0,1.22,6.66,156798.0,5.42,14.2,51626.0,40474.0,3162.0,0.469
2021-01-28,Pennsylvania,856371.0,1915350.0,695656.0,1.24,6.69,159259.0,5.43,14.96,4391.0,35849.0,2800.0,0.447
2021-01-29,Pennsylvania,972742.0,1973775.0,777260.0,1.51,7.6,193432.0,6.07,15.42,116371.0,45694.0,3569.0,0.493
2021-01-30,Pennsylvania,1032426.0,1976925.0,819889.0,1.64,8.06,209964.0,6.4,15.44,59684.0,48079.0,3756.0,0.522
2021-01-31,Pennsylvania,1088172.0,1976925.0,862021.0,1.75,8.5,223489.0,6.73,15.44,55746.0,49083.0,3834.0,0.55
2021-02-01,Pennsylvania,1134185.0,1976925.0,900237.0,1.81,8.86,231261.0,7.03,15.44,46013.0,51055.0,3988.0,0.574
2021-02-02,Pennsylvania,1155945.0,1987200.0,916235.0,1.85,9.03,236995.0,7.16,15.52,21760.0,50799.0,3968.0,0.5820000000000001
2021-02-03,Pennsylvania,1158091.0,2143150.0,917497.0,1.86,9.05,237876.0,7.17,16.74,2146.0,43730.0,3416.0,0.54
2021-02-04,Pennsylvania,1218735.0,2203850.0,958587.0,2.01,9.52,257255.0,7.49,17.21,60644.0,51766.0,4044.0,0.5529999999999999
2021-02-05,Pennsylvania,1271529.0,2292500.0,993076.0,2.15,9.93,275444.0,7.76,17.91,52794.0,42684.0,3334.0,0.555
2021-02-06,Pennsylvania,1338491.0,2292500.0,1036395.0,2.33,10.46,298741.0,8.1,17.91,66962.0,43724.0,3415.0,0.584
2021-02-07,Pennsylvania,1407839.0,2292500.0,1082700.0,2.51,11.0,321336.0,8.46,17.91,69348.0,45667.0,3567.0,0.614
2021-02-08,Pennsylvania,1441358.0,2292500.0,1108626.0,2.57,11.26,328907.0,8.66,17.91,33519.0,43882.0,3428.0,0.629
2021-02-09,Pennsylvania,1478180.0,2322875.0,1134099.0,2.66,11.55,340234.0,8.86,18.14,36822.0,46034.0,3596.0,0.636
2021-02-10,Pennsylvania,1538058.0,2437975.0,1176825.0,2.79,12.01,356869.0,9.19,19.04,59878.0,54281.0,4240.0,0.631
2021-02-11,Pennsylvania,1594474.0,2540475.0,1215755.0,2.92,12.45,373882.0,9.5,19.84,56416.0,53677.0,4193.0,0.628
2021-02-12,Pennsylvania,1668862.0,2592850.0,1264215.0,3.12,13.04,399610.0,9.88,20.25,74388.0,56762.0,4434.0,0.644
2021-02-13,Pennsylvania,1678229.0,2682600.0,1269266.0,3.15,13.11,403898.0,9.91,20.95,9367.0,48534.0,3791.0,0.626
2021-02-14,Pennsylvania,1822327.0,2689425.0,1363250.0,3.54,14.23,453485.0,10.65,21.01,144098.0,59213.0,4625.0,0.6779999999999999
2021-02-15,Pennsylvania,,,,,,,,,5151.0,55160.0,4309.0,
2021-02-16,Pennsylvania,1832629.0,2711550.0,1369992.0,3.57,14.32,457037.0,10.7,21.18,5151.0,50636.0,3955.0,0.6759999999999999
2021-02-17,Pennsylvania,1950185.0,2717400.0,1445138.0,3.9,15.23,498866.0,11.29,21.23,117556.0,58875.0,4599.0,0.718
2021-02-18,Pennsylvania,2002786.0,2731050.0,1478146.0,4.05,15.64,518285.0,11.55,21.33,52601.0,58330.0,4556.0,0.733
2021-02-19,Pennsylvania,2184973.0,2989725.0,1601176.0,4.51,17.07,577183.0,12.51,23.35,182187.0,73730.0,5759.0,0.731
2021-02-20,Pennsylvania,2231800.0,2989725.0,1628681.0,4.66,17.43,596337.0,12.72,23.35,46827.0,79082.0,6177.0,0.746
2021-02-21,Pennsylvania,2306828.0,2989725.0,1667727.0,4.94,18.02,631998.0,13.03,23.35,75028.0,69214.0,5407.0,0.772
2021-02-22,Pennsylvania,2358058.0,2989725.0,1699219.0,5.09,18.42,651588.0,13.27,23.35,51230.0,75797.0,5921.0,0.789
2021-02-23,Pennsylvania,2381079.0,3268605.0,1709641.0,5.19,18.6,664130.0,13.35,25.53,23021.0,78350.0,6120.0,0.728
2021-02-24,Pennsylvania,2425429.0,3493465.0,1731438.0,5.36,18.95,686525.0,13.52,27.29,44350.0,67892.0,5303.0,0.6940000000000001
2021-02-25,Pennsylvania,2489919.0,3647105.0,1765921.0,5.59,19.45,716193.0,13.79,28.49,64490.0,69590.0,5436.0,0.6829999999999999
2021-02-26,Pennsylvania,2562627.0,3806965.0,1804835.0,5.86,20.02,749659.0,14.1,29.74,72708.0,53951.0,4214.0,0.6729999999999999
2021-02-27,Pennsylvania,2676006.0,3915545.0,1869895.0,6.23,20.9,797495.0,14.61,30.59,113379.0,63458.0,4957.0,0.6829999999999999
2021-02-28,Pennsylvania,2751844.0,3915545.0,1912757.0,6.49,21.5,830262.0,14.94,30.59,75838.0,63574.0,4966.0,0.703
2021-03-01,Pennsylvania,2835338.0,3915545.0,1957354.0,6.79,22.15,868979.0,15.29,30.59,83494.0,68183.0,5326.0,0.7240000000000001
2021-03-02,Pennsylvania,2886451.0,4025115.0,1991483.0,6.92,22.55,885866.0,15.56,31.44,51113.0,72196.0,5639.0,0.7170000000000001
2021-03-03,Pennsylvania,2948581.0,4280055.0,2027556.0,7.12,23.03,911602.0,15.84,33.43,62130.0,74736.0,5838.0,0.6890000000000001
2021-03-04,Pennsylvania,3036398.0,4332465.0,2079821.0,7.4,23.72,946761.0,16.25,33.84,87817.0,78068.0,6098.0,0.701
2021-03-05,Pennsylvania,3169691.0,4439935.0,2174656.0,7.69,24.76,984830.0,16.99,34.68,133293.0,86723.0,6774.0,0.7140000000000001
2021-03-06,Pennsylvania,3298800.0,4641045.0,2257370.0,8.05,25.77,1030772.0,17.63,36.25,129109.0,88971.0,6950.0,0.711
2021-03-07,Pennsylvania,3319263.0,4641045.0,2272818.0,8.09,25.93,1035741.0,17.75,36.25,20463.0,81060.0,6332.0,0.715
2021-03-08,Pennsylvania,3335592.0,4641045.0,2289199.0,8.15,26.06,1043146.0,17.88,36.25,16329.0,71465.0,5582.0,0.7190000000000001
2021-03-09,Pennsylvania,3524263.0,4808285.0,2401448.0,8.73,27.53,1117905.0,18.76,37.56,188671.0,91116.0,7117.0,0.733
2021-03-10,Pennsylvania,3638014.0,4968885.0,2470284.0,9.08,28.42,1161950.0,19.3,38.81,113751.0,98490.0,7693.0,0.732
2021-03-11,Pennsylvania,3737143.0,5157695.0,2530355.0,9.4,29.19,1203908.0,19.77,40.29,99129.0,100106.0,7820.0,0.725
