date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Puerto Rico,74559.0,277200.0,61486.0,0.24,2.33,7666.0,1.93,8.68,,,,0.26899999999999996
2021-01-13,Puerto Rico,84432.0,305475.0,67475.0,0.36,2.64,11550.0,2.11,9.56,9873.0,9873.0,3091.0,0.276
2021-01-14,Puerto Rico,94880.0,305475.0,80310.0,,2.97,,2.51,9.56,10448.0,10160.0,3181.0,0.311
2021-01-15,Puerto Rico,104137.0,311325.0,87512.0,0.51,3.26,16360.0,2.74,9.75,9257.0,9859.0,3087.0,0.33399999999999996
2021-01-16,Puerto Rico,,,,,,,,,6348.25,8982.0,2812.0,
2021-01-17,Puerto Rico,,,,,,,,,6348.25,8455.0,2647.0,
2021-01-18,Puerto Rico,,,,,,,,,6348.25,8104.0,2538.0,
2021-01-19,Puerto Rico,129530.0,311325.0,107661.0,0.67,4.06,21368.0,3.37,9.75,6348.25,7853.0,2459.0,0.41600000000000004
2021-01-20,Puerto Rico,136630.0,312450.0,112524.0,0.73,4.28,23428.0,3.52,9.78,7100.0,7457.0,2335.0,0.43700000000000006
2021-01-21,Puerto Rico,147795.0,327950.0,120250.0,0.83,4.63,26627.0,3.77,10.27,11165.0,7559.0,2367.0,0.451
2021-01-22,Puerto Rico,161528.0,337350.0,128284.0,1.01,5.06,32181.0,4.02,10.56,13733.0,8199.0,2567.0,0.479
2021-01-23,Puerto Rico,173242.0,371550.0,136400.0,1.12,5.42,35705.0,4.27,11.63,11714.0,8965.0,2807.0,0.466
2021-01-24,Puerto Rico,184173.0,371550.0,143910.0,1.22,5.77,39016.0,4.51,11.63,10931.0,9620.0,3012.0,0.496
2021-01-25,Puerto Rico,187617.0,371550.0,146984.0,1.23,5.87,39384.0,4.6,11.63,3444.0,9205.0,2882.0,0.505
2021-01-26,Puerto Rico,188681.0,416900.0,147910.0,1.24,5.91,39522.0,4.63,13.05,1064.0,8450.0,2646.0,0.45299999999999996
2021-01-27,Puerto Rico,199762.0,506425.0,156071.0,1.33,6.25,42437.0,4.89,15.86,11081.0,9019.0,2824.0,0.39399999999999996
2021-01-28,Puerto Rico,212179.0,525000.0,165862.0,1.41,6.64,45057.0,5.19,16.44,12417.0,9198.0,2880.0,0.40399999999999997
2021-01-29,Puerto Rico,224303.0,530850.0,174840.0,1.51,7.02,48196.0,5.47,16.62,12124.0,8968.0,2808.0,0.423
2021-01-30,Puerto Rico,236060.0,530950.0,183630.0,1.6,7.39,51159.0,5.75,16.62,11757.0,8974.0,2810.0,0.445
2021-01-31,Puerto Rico,249394.0,530950.0,193842.0,1.7,7.81,54276.0,6.07,16.62,13334.0,9317.0,2917.0,0.47
2021-02-01,Puerto Rico,253439.0,530950.0,197187.0,1.72,7.94,54972.0,6.17,16.62,4045.0,9403.0,2944.0,0.47700000000000004
2021-02-02,Puerto Rico,253439.0,535525.0,197187.0,1.72,7.94,54972.0,6.17,16.77,0.0,9251.0,2897.0,0.473
2021-02-03,Puerto Rico,266671.0,605425.0,206430.0,1.85,8.35,58951.0,6.46,18.96,13232.0,9558.0,2993.0,0.44
2021-02-04,Puerto Rico,278321.0,621025.0,214661.0,1.95,8.71,62336.0,6.72,19.45,11650.0,9449.0,2959.0,0.44799999999999995
2021-02-05,Puerto Rico,288024.0,623325.0,221431.0,2.04,9.02,65261.0,6.93,19.52,9703.0,9103.0,2850.0,0.462
