date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Republic of Palau,416.0,6000.0,416.0,,2.32,,2.32,33.51,,,,0.069
2021-01-13,Republic of Palau,725.0,6000.0,725.0,,4.05,,4.05,33.51,309.0,309.0,17256.0,0.121
2021-01-14,Republic of Palau,766.0,6000.0,765.0,,4.28,,4.27,33.51,41.0,175.0,9773.0,0.128
2021-01-15,Republic of Palau,1119.0,6000.0,1118.0,0.01,6.25,1.0,6.24,33.51,353.0,234.0,13068.0,0.18600000000000003
2021-01-16,Republic of Palau,,,,,,,,,198.75,225.0,12565.0,
2021-01-17,Republic of Palau,,,,,,,,,198.75,220.0,12286.0,
2021-01-18,Republic of Palau,,,,,,,,,198.75,217.0,12118.0,
2021-01-19,Republic of Palau,1914.0,6000.0,1913.0,0.01,10.69,1.0,10.68,33.51,198.75,214.0,11951.0,0.319
2021-01-20,Republic of Palau,1981.0,6000.0,1980.0,0.01,11.06,1.0,11.06,33.51,67.0,179.0,9996.0,0.33
2021-01-21,Republic of Palau,2405.0,6000.0,2403.0,0.01,13.43,2.0,13.42,33.51,424.0,234.0,13068.0,0.401
2021-01-22,Republic of Palau,2405.0,6000.0,2403.0,0.01,13.43,2.0,13.42,33.51,0.0,184.0,10275.0,0.401
2021-01-23,Republic of Palau,2685.0,6000.0,2683.0,0.01,14.99,2.0,14.98,33.51,280.0,195.0,10890.0,0.44799999999999995
2021-01-24,Republic of Palau,3046.0,6000.0,3044.0,0.01,17.01,2.0,17.0,33.51,361.0,218.0,12174.0,0.508
2021-01-25,Republic of Palau,3046.0,6000.0,3044.0,0.01,17.01,2.0,17.0,33.51,0.0,190.0,10610.0,0.508
