date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Rhode Island,39568.0,80225.0,35385.0,0.39,3.74,4141.0,3.34,7.57,,,,0.493
2021-01-13,Rhode Island,42028.0,82175.0,36489.0,0.52,3.97,5490.0,3.44,7.76,2460.0,2460.0,2322.0,0.511
2021-01-14,Rhode Island,44871.0,84125.0,38000.0,,4.24,,3.59,7.94,2843.0,2652.0,2503.0,0.5329999999999999
2021-01-15,Rhode Island,47548.0,108425.0,39381.0,0.77,4.49,8156.0,3.72,10.23,2677.0,2660.0,2511.0,0.439
2021-01-16,Rhode Island,,,,,,,,,1633.25,2403.0,2268.0,
2021-01-17,Rhode Island,,,,,,,,,1633.25,2249.0,2123.0,
2021-01-18,Rhode Island,,,,,,,,,1633.25,2147.0,2027.0,
2021-01-19,Rhode Island,54081.0,108425.0,44164.0,0.93,5.11,9902.0,4.17,10.23,1633.25,2073.0,1957.0,0.499
2021-01-20,Rhode Island,56617.0,122575.0,45904.0,1.01,5.34,10696.0,4.33,11.57,2536.0,2084.0,1967.0,0.462
2021-01-21,Rhode Island,59014.0,127450.0,47859.0,1.05,5.57,11136.0,4.52,12.03,2397.0,2020.0,1907.0,0.46299999999999997
2021-01-22,Rhode Island,61974.0,136225.0,49932.0,1.13,5.85,12023.0,4.71,12.86,2960.0,2061.0,1946.0,0.455
2021-01-23,Rhode Island,63249.0,149225.0,50650.0,1.19,5.97,12580.0,4.78,14.09,1275.0,2010.0,1897.0,0.424
2021-01-24,Rhode Island,67566.0,149225.0,54287.0,1.25,6.38,13260.0,5.12,14.09,4317.0,2393.0,2259.0,0.45299999999999996
2021-01-25,Rhode Island,70419.0,149225.0,56751.0,1.29,6.65,13649.0,5.36,14.09,2853.0,2567.0,2423.0,0.47200000000000003
2021-01-26,Rhode Island,72264.0,151675.0,58097.0,1.34,6.82,14148.0,5.48,14.32,1845.0,2598.0,2452.0,0.47600000000000003
2021-01-27,Rhode Island,76284.0,151675.0,59853.0,1.55,7.2,16410.0,5.65,14.32,4020.0,2810.0,2653.0,0.503
2021-01-28,Rhode Island,80138.0,153625.0,61554.0,1.75,7.56,18562.0,5.81,14.5,3854.0,3018.0,2849.0,0.522
2021-01-29,Rhode Island,83607.0,157525.0,63263.0,1.92,7.89,20321.0,5.97,14.87,3469.0,3090.0,2917.0,0.531
2021-01-30,Rhode Island,88094.0,173225.0,65668.0,2.11,8.32,22401.0,6.2,16.35,4487.0,3549.0,3350.0,0.509
2021-01-31,Rhode Island,91177.0,173225.0,67744.0,2.21,8.61,23408.0,6.39,16.35,3083.0,3373.0,3184.0,0.526
2021-02-01,Rhode Island,94240.0,173225.0,68779.0,2.4,8.9,25435.0,6.49,16.35,3063.0,3403.0,3212.0,0.544
2021-02-02,Rhode Island,99541.0,176150.0,73486.0,2.46,9.4,26027.0,6.94,16.63,5301.0,3897.0,3679.0,0.565
2021-02-03,Rhode Island,101474.0,176650.0,74473.0,2.55,9.58,26973.0,7.03,16.68,1933.0,3599.0,3397.0,0.574
2021-02-04,Rhode Island,103876.0,178600.0,75963.0,2.63,9.81,27884.0,7.17,16.86,2402.0,3391.0,3201.0,0.5820000000000001
2021-02-05,Rhode Island,106949.0,178600.0,77940.0,2.74,10.1,28979.0,7.36,16.86,3073.0,3335.0,3148.0,0.599
2021-02-06,Rhode Island,111830.0,192300.0,81085.0,2.9,10.56,30711.0,7.65,18.15,4881.0,3391.0,3201.0,0.5820000000000001
2021-02-07,Rhode Island,117067.0,192300.0,83326.0,3.18,11.05,33699.0,7.87,18.15,5237.0,3699.0,3492.0,0.609
