date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,South Carolina,81075.0,315950.0,77042.0,0.08,1.57,3954.0,1.5,6.14,,,,0.257
2021-01-13,South Carolina,99887.0,317450.0,87584.0,0.24,1.94,12213.0,1.7,6.17,18812.0,18812.0,3654.0,0.315
2021-01-14,South Carolina,115855.0,346150.0,96231.0,,2.25,,1.87,6.72,15968.0,17390.0,3378.0,0.335
2021-01-15,South Carolina,121836.0,350550.0,101722.0,0.38,2.37,19477.0,1.98,6.81,5981.0,13587.0,2639.0,0.348
2021-01-16,South Carolina,,,,,,,,,16334.75,14274.0,2772.0,
2021-01-17,South Carolina,,,,,,,,,16334.75,14686.0,2852.0,
2021-01-18,South Carolina,,,,,,,,,16334.75,14961.0,2906.0,
2021-01-19,South Carolina,187175.0,350550.0,155548.0,0.59,3.64,30243.0,3.02,6.81,16334.75,15157.0,2944.0,0.534
2021-01-20,South Carolina,192608.0,437675.0,160518.0,0.6,3.74,30679.0,3.12,8.5,5433.0,13246.0,2573.0,0.44
2021-01-21,South Carolina,209631.0,443375.0,173906.0,0.67,4.07,34277.0,3.38,8.61,17023.0,13397.0,2602.0,0.473
2021-01-22,South Carolina,229002.0,453150.0,189170.0,0.74,4.45,38183.0,3.67,8.8,19371.0,15309.0,2973.0,0.505
2021-01-23,South Carolina,249155.0,453250.0,206663.0,0.79,4.84,40812.0,4.01,8.8,20153.0,15855.0,3079.0,0.55
2021-01-24,South Carolina,278795.0,453250.0,233257.0,0.85,5.41,43810.0,4.53,8.8,29640.0,17756.0,3449.0,0.615
2021-01-25,South Carolina,307348.0,453250.0,258015.0,0.92,5.97,47563.0,5.01,8.8,28553.0,19501.0,3788.0,0.6779999999999999
2021-01-26,South Carolina,317211.0,519600.0,267262.0,0.94,6.16,48157.0,5.19,10.09,9863.0,18577.0,3608.0,0.61
2021-01-27,South Carolina,326985.0,548250.0,275291.0,0.97,6.35,49869.0,5.35,10.65,9774.0,19197.0,3729.0,0.596
2021-01-28,South Carolina,359949.0,548750.0,302890.0,1.07,6.99,55183.0,5.88,10.66,32964.0,21474.0,4171.0,0.6559999999999999
2021-01-29,South Carolina,385158.0,558050.0,322195.0,1.18,7.48,60974.0,6.26,10.84,25209.0,22308.0,4333.0,0.69
2021-01-30,South Carolina,407860.0,560150.0,339544.0,1.29,7.92,66286.0,6.59,10.88,22702.0,22672.0,4403.0,0.728
2021-01-31,South Carolina,439541.0,560150.0,361557.0,1.45,8.54,74459.0,7.02,10.88,31681.0,22964.0,4460.0,0.785
2021-02-01,South Carolina,462751.0,560150.0,379136.0,1.55,8.99,80038.0,7.36,10.88,23210.0,22200.0,4312.0,0.826
2021-02-02,South Carolina,470696.0,659950.0,385908.0,1.58,9.14,81203.0,7.5,12.82,7945.0,21926.0,4259.0,0.713
2021-02-03,South Carolina,479202.0,682700.0,391585.0,1.63,9.31,84010.0,7.61,13.26,8506.0,21745.0,4223.0,0.7020000000000001
2021-02-04,South Carolina,497433.0,683600.0,403766.0,1.75,9.66,89983.0,7.84,13.28,18231.0,19641.0,3815.0,0.728
2021-02-05,South Carolina,518892.0,684700.0,418519.0,1.87,10.08,96485.0,8.13,13.3,21459.0,19105.0,3711.0,0.758
2021-02-06,South Carolina,542879.0,684700.0,435079.0,2.01,10.54,103432.0,8.45,13.3,23987.0,19288.0,3746.0,0.7929999999999999
2021-02-07,South Carolina,568917.0,684700.0,450531.0,2.2,11.05,113169.0,8.75,13.3,26038.0,18482.0,3590.0,0.831
2021-02-08,South Carolina,585692.0,684700.0,460511.0,2.32,11.38,119206.0,8.94,13.3,16775.0,17563.0,3411.0,0.855
2021-02-09,South Carolina,585692.0,712325.0,460511.0,2.32,11.38,119206.0,8.94,13.84,0.0,16428.0,3191.0,0.8220000000000001
2021-02-10,South Carolina,608062.0,732700.0,475116.0,2.46,11.81,126831.0,9.23,14.23,22370.0,18409.0,3575.0,0.83
2021-02-11,South Carolina,628496.0,779500.0,487418.0,2.6,12.21,133648.0,9.47,15.14,20434.0,18723.0,3636.0,0.8059999999999999
2021-02-12,South Carolina,649375.0,826950.0,500005.0,2.73,12.61,140806.0,9.71,16.06,20879.0,18640.0,3620.0,0.785
2021-02-13,South Carolina,674843.0,891450.0,512156.0,2.97,13.11,153014.0,9.95,17.31,25468.0,18852.0,3661.0,0.757
2021-02-14,South Carolina,704186.0,891650.0,525641.0,3.26,13.68,167699.0,10.21,17.32,29343.0,19324.0,3753.0,0.79
2021-02-15,South Carolina,,,,,,,,,17145.0,19377.0,3763.0,
2021-02-16,South Carolina,738476.0,926750.0,542707.0,3.56,14.34,183497.0,10.54,18.0,17145.0,21826.0,4239.0,0.797
2021-02-17,South Carolina,755422.0,939350.0,551943.0,3.71,14.67,190900.0,10.72,18.24,16946.0,21051.0,4089.0,0.804
2021-02-18,South Carolina,778113.0,939350.0,562999.0,3.92,15.11,201703.0,10.93,18.24,22691.0,21374.0,4151.0,0.828
2021-02-19,South Carolina,848054.0,1064775.0,610292.0,4.33,16.47,222887.0,11.85,20.68,69941.0,28383.0,5513.0,0.7959999999999999
2021-02-20,South Carolina,879776.0,1066275.0,625877.0,4.61,17.09,237292.0,12.16,20.71,31722.0,29276.0,5686.0,0.825
2021-02-21,South Carolina,910669.0,1066275.0,638364.0,4.95,17.69,254826.0,12.4,20.71,30893.0,29498.0,5729.0,0.8540000000000001
2021-02-22,South Carolina,932588.0,1066275.0,649402.0,5.15,18.11,265062.0,12.61,20.71,21919.0,30180.0,5862.0,0.875
2021-02-23,South Carolina,941136.0,1122765.0,654169.0,5.22,18.28,268817.0,12.71,21.81,8548.0,28951.0,5623.0,0.838
2021-02-24,South Carolina,973703.0,1197015.0,676544.0,5.42,18.91,278880.0,13.14,23.25,32567.0,31183.0,6056.0,0.813
2021-02-25,South Carolina,997874.0,1291305.0,686224.0,5.68,19.38,292592.0,13.33,25.08,24171.0,31394.0,6097.0,0.773
2021-02-26,South Carolina,1025316.0,1294405.0,699792.0,5.94,19.91,305686.0,13.59,25.14,27442.0,25323.0,4918.0,0.792
2021-02-27,South Carolina,1057969.0,1339205.0,714393.0,6.26,20.55,322313.0,13.88,26.01,32653.0,25456.0,4944.0,0.79
2021-02-28,South Carolina,1086550.0,1339205.0,726156.0,6.56,21.1,337710.0,14.1,26.01,28581.0,25126.0,4880.0,0.8109999999999999
2021-03-01,South Carolina,1116811.0,1339205.0,744420.0,6.78,21.69,349123.0,14.46,26.01,30261.0,26318.0,5112.0,0.8340000000000001
2021-03-02,South Carolina,1123049.0,1482565.0,748722.0,6.82,21.81,351018.0,14.54,28.79,6238.0,25988.0,5047.0,0.758
2021-03-03,South Carolina,1150199.0,1489675.0,757128.0,7.16,22.34,368642.0,14.71,28.93,27150.0,25214.0,4897.0,0.772
2021-03-04,South Carolina,1202753.0,1541005.0,773039.0,7.83,23.36,403268.0,15.01,29.93,52554.0,29268.0,5685.0,0.78
2021-03-05,South Carolina,1232377.0,1579375.0,789159.0,8.09,23.94,416637.0,15.33,30.68,29624.0,29580.0,5745.0,0.78
2021-03-06,South Carolina,1284575.0,1642615.0,812356.0,8.65,24.95,445381.0,15.78,31.9,52198.0,32372.0,6287.0,0.782
2021-03-07,South Carolina,1347330.0,1642615.0,840618.0,9.32,26.17,479646.0,16.33,31.9,62755.0,37254.0,7236.0,0.82
2021-03-08,South Carolina,1380510.0,1642615.0,873292.0,9.7,26.81,499288.0,16.96,31.9,33180.0,37671.0,7317.0,0.84
2021-03-09,South Carolina,1397362.0,1776495.0,885144.0,9.82,27.14,505570.0,17.19,34.5,16852.0,39188.0,7611.0,0.787
2021-03-10,South Carolina,1423016.0,1817845.0,902545.0,10.03,27.64,516180.0,17.53,35.31,25654.0,38974.0,7570.0,0.7829999999999999
2021-03-11,South Carolina,1461672.0,1890025.0,928283.0,10.32,28.39,531345.0,18.03,36.71,38656.0,36988.0,7184.0,0.773
