date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,South Dakota,48698.0,83500.0,41322.0,0.83,5.5,7374.0,4.67,9.44,,,,0.583
2021-01-13,South Dakota,50712.0,88375.0,42789.0,0.9,5.73,7921.0,4.84,9.99,2014.0,2014.0,2277.0,0.574
2021-01-14,South Dakota,54284.0,88375.0,44721.0,,6.14,,5.06,9.99,3572.0,2793.0,3157.0,0.614
2021-01-15,South Dakota,57103.0,93675.0,47389.0,1.09,6.45,9666.0,5.36,10.59,2819.0,2802.0,3167.0,0.61
2021-01-16,South Dakota,,,,,,,,,1002.5,2352.0,2659.0,
2021-01-17,South Dakota,,,,,,,,,1002.5,2082.0,2353.0,
2021-01-18,South Dakota,,,,,,,,,1002.5,1902.0,2150.0,
2021-01-19,South Dakota,61113.0,93675.0,51288.0,1.11,6.91,9777.0,5.8,10.59,1002.5,1774.0,2005.0,0.652
2021-01-20,South Dakota,62518.0,95825.0,52548.0,1.12,7.07,9922.0,5.94,10.83,1405.0,1687.0,1907.0,0.652
2021-01-21,South Dakota,65377.0,99300.0,54531.0,1.22,7.39,10796.0,6.16,11.22,2859.0,1585.0,1792.0,0.6579999999999999
2021-01-22,South Dakota,70643.0,100275.0,56762.0,1.56,7.99,13831.0,6.42,11.33,5266.0,1934.0,2186.0,0.7040000000000001
2021-01-23,South Dakota,77200.0,106575.0,60982.0,1.83,8.73,16164.0,6.89,12.05,6557.0,2728.0,3084.0,0.7240000000000001
2021-01-24,South Dakota,80441.0,106575.0,63091.0,1.95,9.09,17293.0,7.13,12.05,3241.0,3048.0,3445.0,0.755
2021-01-25,South Dakota,82512.0,106575.0,63950.0,2.09,9.33,18504.0,7.23,12.05,2071.0,3200.0,3617.0,0.774
2021-01-26,South Dakota,82823.0,117725.0,64012.0,2.12,9.36,18753.0,7.24,13.31,311.0,3101.0,3505.0,0.7040000000000001
2021-01-27,South Dakota,86986.0,122825.0,65031.0,2.47,9.83,21895.0,7.35,13.88,4163.0,3495.0,3951.0,0.708
2021-01-28,South Dakota,91776.0,123800.0,67171.0,2.77,10.37,24543.0,7.59,13.99,4790.0,3771.0,4263.0,0.741
2021-01-29,South Dakota,97231.0,123800.0,70502.0,3.01,10.99,26665.0,7.97,13.99,5455.0,3798.0,4293.0,0.785
2021-01-30,South Dakota,102847.0,130700.0,74229.0,3.23,11.63,28547.0,8.39,14.77,5616.0,3664.0,4142.0,0.787
2021-01-31,South Dakota,105961.0,130700.0,76523.0,3.32,11.98,29362.0,8.65,14.77,3114.0,3646.0,4121.0,0.8109999999999999
2021-02-01,South Dakota,107685.0,130700.0,77052.0,3.45,12.17,30557.0,8.71,14.77,1724.0,3596.0,4065.0,0.8240000000000001
2021-02-02,South Dakota,108004.0,142500.0,77125.0,3.48,12.21,30803.0,8.72,16.11,319.0,3597.0,4066.0,0.758
2021-02-03,South Dakota,110967.0,147600.0,79025.0,3.6,12.54,31863.0,8.93,16.68,2963.0,3426.0,3873.0,0.752
2021-02-04,South Dakota,115676.0,153450.0,81697.0,3.83,13.08,33898.0,9.23,17.35,4709.0,3414.0,3859.0,0.754
2021-02-05,South Dakota,121593.0,153450.0,85921.0,4.02,13.74,35590.0,9.71,17.35,5917.0,3480.0,3934.0,0.792
2021-02-06,South Dakota,127592.0,161150.0,88882.0,4.37,14.42,38626.0,10.05,18.22,5999.0,3535.0,3996.0,0.792
2021-02-07,South Dakota,131439.0,161150.0,91598.0,4.49,14.86,39756.0,10.35,18.22,3847.0,3640.0,4115.0,0.816
2021-02-08,South Dakota,133068.0,161150.0,92615.0,4.56,15.04,40368.0,10.47,18.22,1629.0,3626.0,4099.0,0.826
2021-02-09,South Dakota,133231.0,167975.0,92678.0,4.57,15.06,40466.0,10.48,18.99,163.0,3604.0,4074.0,0.7929999999999999
2021-02-10,South Dakota,136438.0,173275.0,94744.0,4.7,15.42,41607.0,10.71,19.59,3207.0,3639.0,4113.0,0.787
2021-02-11,South Dakota,141733.0,181725.0,97817.0,4.95,16.02,43827.0,11.06,20.54,5295.0,3722.0,4207.0,0.78
2021-02-12,South Dakota,148670.0,182025.0,103076.0,5.14,16.81,45505.0,11.65,20.58,6937.0,3868.0,4372.0,0.8170000000000001
2021-02-13,South Dakota,155026.0,182025.0,106251.0,5.5,17.52,48674.0,12.01,20.58,6356.0,3919.0,4430.0,0.852
2021-02-14,South Dakota,160223.0,182025.0,109875.0,5.68,18.11,50247.0,12.42,20.58,5197.0,4112.0,4648.0,0.88
2021-02-15,South Dakota,,,,,,,,,1331.0,4069.0,4600.0,
2021-02-16,South Dakota,162885.0,189250.0,111151.0,5.84,18.41,51631.0,12.56,21.39,1331.0,4236.0,4788.0,0.861
2021-02-17,South Dakota,165865.0,189250.0,113425.0,5.92,18.75,52337.0,12.82,21.39,2980.0,4204.0,4752.0,0.8759999999999999
2021-02-18,South Dakota,171175.0,197050.0,116461.0,6.17,19.35,54611.0,13.16,22.27,5310.0,4206.0,4754.0,0.8690000000000001
2021-02-19,South Dakota,218198.0,262800.0,148976.0,7.81,24.66,69083.0,16.84,29.71,47023.0,9933.0,11228.0,0.83
2021-02-20,South Dakota,225848.0,266970.0,152655.0,8.26,25.53,73029.0,17.26,30.18,7650.0,10117.0,11436.0,0.846
2021-02-21,South Dakota,232725.0,266970.0,156792.0,8.56,26.31,75719.0,17.72,30.18,6877.0,10357.0,11707.0,0.872
