date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Tennessee,251257.0,485800.0,143735.0,0.26,3.68,17914.0,2.1,7.11,,,,0.517
2021-01-13,Tennessee,264713.0,598000.0,150893.0,0.35,3.88,24026.0,2.21,8.76,13456.0,13456.0,1970.0,0.44299999999999995
2021-01-14,Tennessee,264713.0,656550.0,238943.0,,3.88,,3.5,9.61,0.0,6728.0,985.0,0.40299999999999997
2021-01-15,Tennessee,303338.0,657550.0,264912.0,0.55,4.44,37800.0,3.88,9.63,38625.0,17360.0,2542.0,0.461
2021-01-16,Tennessee,,,,,,,,,12118.75,16050.0,2350.0,
2021-01-17,Tennessee,,,,,,,,,12118.75,15264.0,2235.0,
2021-01-18,Tennessee,,,,,,,,,12118.75,14740.0,2158.0,
2021-01-19,Tennessee,351813.0,657550.0,302260.0,0.72,5.15,48867.0,4.43,9.63,12118.75,14365.0,2103.0,0.535
2021-01-20,Tennessee,358534.0,672825.0,305780.0,0.76,5.25,52051.0,4.48,9.85,6721.0,13403.0,1963.0,0.5329999999999999
2021-01-21,Tennessee,375669.0,723825.0,313154.0,0.9,5.5,61743.0,4.59,10.6,17135.0,15851.0,2321.0,0.519
2021-01-22,Tennessee,401595.0,798450.0,324543.0,1.12,5.88,76162.0,4.75,11.69,25926.0,14037.0,2055.0,0.503
2021-01-23,Tennessee,424152.0,838825.0,335823.0,1.28,6.21,87376.0,4.92,12.28,22557.0,15528.0,2274.0,0.506
2021-01-24,Tennessee,452042.0,838825.0,354407.0,1.41,6.62,96619.0,5.19,12.28,27890.0,17781.0,2604.0,0.539
2021-01-25,Tennessee,462646.0,838825.0,361767.0,1.46,6.77,99842.0,5.3,12.28,10604.0,17565.0,2572.0,0.552
2021-01-26,Tennessee,467933.0,838925.0,365235.0,1.49,6.85,101657.0,5.35,12.28,5287.0,16589.0,2429.0,0.5579999999999999
2021-01-27,Tennessee,487632.0,886225.0,374108.0,1.65,7.14,112362.0,5.48,12.98,19699.0,18443.0,2701.0,0.55
2021-01-28,Tennessee,510050.0,939650.0,385682.0,1.8,7.47,123116.0,5.65,13.76,22418.0,19197.0,2811.0,0.5429999999999999
2021-01-29,Tennessee,545921.0,953600.0,400950.0,2.1,7.99,143592.0,5.87,13.96,35871.0,20618.0,3019.0,0.5720000000000001
2021-01-30,Tennessee,574142.0,998875.0,416716.0,2.28,8.41,155936.0,6.1,14.63,28221.0,21427.0,3138.0,0.575
2021-01-31,Tennessee,609213.0,998875.0,438426.0,2.48,8.92,169166.0,6.42,14.63,35071.0,22453.0,3288.0,0.61
2021-02-01,Tennessee,627911.0,998875.0,447977.0,2.61,9.19,178248.0,6.56,14.63,18698.0,23609.0,3457.0,0.629
2021-02-02,Tennessee,631885.0,990975.0,450633.0,2.63,9.25,179546.0,6.6,14.51,3974.0,23422.0,3430.0,0.638
2021-02-03,Tennessee,657819.0,1043575.0,463300.0,2.82,9.63,192674.0,6.78,15.28,25934.0,24312.0,3560.0,0.63
2021-02-04,Tennessee,684242.0,1090300.0,477784.0,2.99,10.02,204419.0,7.0,15.97,26423.0,24885.0,3644.0,0.628
2021-02-05,Tennessee,718487.0,1108925.0,500458.0,3.16,10.52,215763.0,7.33,16.24,34245.0,24652.0,3610.0,0.648
2021-02-06,Tennessee,752298.0,1156975.0,521621.0,3.34,11.02,228198.0,7.64,16.94,33811.0,25451.0,3727.0,0.65
2021-02-07,Tennessee,791023.0,1156975.0,543793.0,3.58,11.58,244539.0,7.96,16.94,38725.0,25973.0,3803.0,0.684
2021-02-08,Tennessee,805720.0,1156975.0,554016.0,3.64,11.8,248911.0,8.11,16.94,14697.0,25401.0,3719.0,0.696
2021-02-09,Tennessee,812079.0,1157375.0,558590.0,3.67,11.89,250647.0,8.18,16.95,6359.0,25742.0,3769.0,0.7020000000000001
2021-02-10,Tennessee,839686.0,1225075.0,577121.0,3.8,12.3,259283.0,8.45,17.94,27607.0,25981.0,3804.0,0.685
2021-02-11,Tennessee,866352.0,1295675.0,595081.0,3.92,12.69,267820.0,8.71,18.97,26666.0,26016.0,3810.0,0.669
2021-02-12,Tennessee,901616.0,1331775.0,618010.0,4.1,13.2,279980.0,9.05,19.5,35264.0,26161.0,3831.0,0.677
2021-02-13,Tennessee,926787.0,1357425.0,634688.0,4.22,13.57,288311.0,9.29,19.88,25171.0,24927.0,3650.0,0.6829999999999999
2021-02-14,Tennessee,967085.0,1361700.0,659390.0,4.45,14.16,303722.0,9.66,19.94,40298.0,25152.0,3683.0,0.71
2021-02-15,Tennessee,,,,,,,,,12951.5,24902.0,3646.0,
2021-02-16,Tennessee,992988.0,1385925.0,675421.0,4.59,14.54,313510.0,9.89,20.29,12951.5,25844.0,3784.0,0.716
2021-02-17,Tennessee,999517.0,1404675.0,680454.0,4.61,14.64,314957.0,9.96,20.57,6529.0,22833.0,3343.0,0.7120000000000001
2021-02-18,Tennessee,1014351.0,1410500.0,691486.0,4.67,14.85,318673.0,10.13,20.65,14834.0,21143.0,3096.0,0.7190000000000001
2021-02-19,Tennessee,1083579.0,1466450.0,740230.0,4.96,15.87,339016.0,10.84,21.47,69228.0,25995.0,3806.0,0.7390000000000001
2021-02-20,Tennessee,1097826.0,1477175.0,748756.0,5.05,16.08,344665.0,10.96,21.63,14247.0,24434.0,3578.0,0.743
2021-02-21,Tennessee,1117120.0,1478150.0,757333.0,5.2,16.36,355245.0,11.09,21.64,19294.0,21434.0,3139.0,0.7559999999999999
2021-02-22,Tennessee,1130834.0,1478150.0,763973.0,5.3,16.56,362284.0,11.19,21.64,13714.0,21542.0,3154.0,0.765
2021-02-23,Tennessee,1139836.0,1562170.0,767826.0,5.38,16.69,367249.0,11.24,22.87,9002.0,20978.0,3072.0,0.73
2021-02-24,Tennessee,1175995.0,1774540.0,784786.0,5.66,17.22,386198.0,11.49,25.98,36159.0,25211.0,3692.0,0.6629999999999999
2021-02-25,Tennessee,1210159.0,1787250.0,802161.0,5.9,17.72,402729.0,11.75,26.17,34164.0,27973.0,4096.0,0.677
2021-02-26,Tennessee,1257333.0,1877820.0,829456.0,6.18,18.41,422273.0,12.15,27.5,47174.0,24822.0,3635.0,0.67
