date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Texas,911461.0,1949125.0,809148.0,0.35,3.14,101317.0,2.79,6.72,,,,0.46799999999999997
2021-01-13,Texas,978042.0,1984225.0,861072.0,0.4,3.37,115965.0,2.97,6.84,66581.0,66581.0,2296.0,0.493
2021-01-14,Texas,1043624.0,2105600.0,917387.0,,3.6,,3.16,7.26,65582.0,66082.0,2279.0,0.496
2021-01-15,Texas,1160242.0,2105600.0,1003412.0,0.54,4.0,155660.0,3.46,7.26,116618.0,82927.0,2860.0,0.551
2021-01-16,Texas,,,,,,,,,60936.75,77429.0,2670.0,
2021-01-17,Texas,,,,,,,,,60936.75,74131.0,2557.0,
2021-01-18,Texas,,,,,,,,,60936.75,71932.0,2481.0,
2021-01-19,Texas,1403989.0,2105600.0,1222952.0,0.62,4.84,179801.0,4.22,7.26,60936.75,70361.0,2427.0,0.667
2021-01-20,Texas,1471746.0,2551125.0,1282998.0,0.65,5.08,187503.0,4.42,8.8,67757.0,70529.0,2432.0,0.5770000000000001
2021-01-21,Texas,1544551.0,2754800.0,1337706.0,0.71,5.33,205538.0,4.61,9.5,72805.0,71561.0,2468.0,0.561
2021-01-22,Texas,1644781.0,2884425.0,1412767.0,0.8,5.67,230596.0,4.87,9.95,100230.0,69220.0,2387.0,0.57
2021-01-23,Texas,1727869.0,3070825.0,1474571.0,0.87,5.96,251815.0,5.09,10.59,83088.0,72384.0,2496.0,0.563
2021-01-24,Texas,1763299.0,3070825.0,1502751.0,0.89,6.08,259056.0,5.18,10.59,35430.0,68740.0,2371.0,0.574
2021-01-25,Texas,1804006.0,3070825.0,1532381.0,0.93,6.22,270118.0,5.28,10.59,40707.0,65851.0,2271.0,0.5870000000000001
2021-01-26,Texas,1917896.0,3342350.0,1614648.0,1.04,6.61,301684.0,5.57,11.53,113890.0,73415.0,2532.0,0.574
2021-01-27,Texas,1974374.0,3505450.0,1648575.0,1.12,6.81,324212.0,5.69,12.09,56478.0,71804.0,2476.0,0.563
2021-01-28,Texas,2107005.0,3513450.0,1731725.0,1.29,7.27,373624.0,5.97,12.12,132631.0,80351.0,2771.0,0.6
2021-01-29,Texas,2219867.0,3659550.0,1804291.0,1.43,7.66,413844.0,6.22,12.62,112862.0,82155.0,2833.0,0.607
2021-01-30,Texas,2340658.0,3659550.0,1886813.0,1.56,8.07,452040.0,6.51,12.62,120791.0,87541.0,3019.0,0.64
2021-01-31,Texas,2408879.0,3659550.0,1928227.0,1.65,8.31,478812.0,6.65,12.62,68221.0,92226.0,3181.0,0.6579999999999999
2021-02-01,Texas,2496232.0,3659550.0,1991555.0,1.73,8.61,502794.0,6.87,12.62,87353.0,98889.0,3410.0,0.682
2021-02-02,Texas,2496232.0,4092150.0,1991555.0,1.73,8.61,502794.0,6.87,14.11,0.0,82619.0,2849.0,0.61
2021-02-03,Texas,2652896.0,4214900.0,2086493.0,1.95,9.15,564433.0,7.2,14.54,156664.0,96932.0,3343.0,0.629
2021-02-04,Texas,2805359.0,4232675.0,2181310.0,2.15,9.68,621991.0,7.52,14.6,152463.0,99765.0,3441.0,0.6629999999999999
2021-02-05,Texas,2930767.0,4244375.0,2257870.0,2.31,10.11,670782.0,7.79,14.64,125408.0,101557.0,3502.0,0.691
2021-02-06,Texas,3107936.0,4402275.0,2371311.0,2.53,10.72,734386.0,8.18,15.18,177169.0,109611.0,3780.0,0.706
2021-02-07,Texas,3246638.0,4402275.0,2464468.0,2.69,11.2,779857.0,8.5,15.18,138702.0,119680.0,4127.0,0.737
2021-02-08,Texas,3322062.0,4402275.0,2512804.0,2.78,11.46,806885.0,8.67,15.18,75424.0,117976.0,4069.0,0.755
2021-02-09,Texas,3436180.0,4594050.0,2589885.0,2.91,11.85,843836.0,8.93,15.84,114118.0,134278.0,4631.0,0.748
2021-02-10,Texas,3568618.0,5010525.0,2672352.0,3.08,12.31,893767.0,9.22,17.28,132438.0,130817.0,4512.0,0.7120000000000001
2021-02-11,Texas,3708460.0,5091325.0,2745305.0,3.31,12.79,960517.0,9.47,17.56,139842.0,129014.0,4449.0,0.728
2021-02-12,Texas,3873581.0,5095175.0,2834361.0,3.57,13.36,1036384.0,9.78,17.57,165121.0,134688.0,4645.0,0.76
2021-02-13,Texas,4007986.0,5098825.0,2901250.0,3.81,13.82,1103754.0,10.01,17.58,134405.0,128579.0,4434.0,0.7859999999999999
2021-02-14,Texas,4133747.0,5099325.0,2970596.0,4.0,14.26,1159996.0,10.24,17.59,125761.0,126730.0,4371.0,0.8109999999999999
2021-02-15,Texas,,,,,,,,,61318.0,124715.0,4301.0,
2021-02-16,Texas,4256383.0,5112975.0,3037786.0,4.19,14.68,1215236.0,10.48,17.63,61318.0,117172.0,4041.0,0.8320000000000001
2021-02-17,Texas,4312301.0,5113175.0,3059756.0,4.31,14.87,1249085.0,10.55,17.63,55918.0,106240.0,3664.0,0.843
2021-02-18,Texas,4333726.0,5258675.0,3071010.0,4.34,14.95,1259237.0,10.59,18.14,21425.0,89324.0,3081.0,0.8240000000000001
2021-02-19,Texas,4542622.0,5520100.0,3205884.0,4.59,15.67,1331268.0,11.06,19.04,208896.0,95577.0,3296.0,0.823
2021-02-20,Texas,4614697.0,5602100.0,3241776.0,4.72,15.92,1367318.0,11.18,19.32,72075.0,86673.0,2989.0,0.8240000000000001
2021-02-21,Texas,4673868.0,5652800.0,3267255.0,4.83,16.12,1400924.0,11.27,19.5,59171.0,77160.0,2661.0,0.8270000000000001
2021-02-22,Texas,4711180.0,5652800.0,3278912.0,4.92,16.25,1426511.0,11.31,19.5,37312.0,73731.0,2543.0,0.833
2021-02-23,Texas,4800286.0,6151450.0,3309933.0,5.12,16.56,1484480.0,11.42,21.21,89106.0,77700.0,2680.0,0.78
2021-02-24,Texas,4923960.0,7191395.0,3362877.0,5.36,16.98,1554957.0,11.6,24.8,123674.0,87380.0,3014.0,0.685
2021-02-25,Texas,5107257.0,7380615.0,3432978.0,5.75,17.61,1667843.0,11.84,25.45,183297.0,110504.0,3811.0,0.6920000000000001
2021-02-26,Texas,5273077.0,7419305.0,3511724.0,6.05,18.19,1754655.0,12.11,25.59,165820.0,104351.0,3599.0,0.711
2021-02-27,Texas,5394961.0,7615175.0,3581903.0,6.23,18.61,1806218.0,12.35,26.26,121884.0,111466.0,3844.0,0.708
2021-02-28,Texas,5566612.0,7615175.0,3674676.0,6.5,19.2,1884890.0,12.67,26.26,171651.0,127535.0,4398.0,0.731
2021-03-01,Texas,5572496.0,7615175.0,3679952.0,6.5,19.22,1885470.0,12.69,26.26,5884.0,123045.0,4244.0,0.732
