date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Utah,95225.0,256275.0,90613.0,0.14,2.97,4608.0,2.83,7.99,,,,0.37200000000000005
2021-01-13,Utah,104036.0,266025.0,98010.0,0.19,3.25,6021.0,3.06,8.3,8811.0,8811.0,2748.0,0.391
2021-01-14,Utah,115384.0,267975.0,103833.0,,3.6,,3.24,8.36,11348.0,10080.0,3144.0,0.431
2021-01-15,Utah,128210.0,268175.0,114504.0,0.33,4.0,10534.0,3.57,8.36,12826.0,10995.0,3430.0,0.478
2021-01-16,Utah,,,,,,,,,8748.75,10433.0,3254.0,
2021-01-17,Utah,,,,,,,,,8748.75,10096.0,3149.0,
2021-01-18,Utah,,,,,,,,,8748.75,9872.0,3079.0,
2021-01-19,Utah,163205.0,268175.0,144056.0,0.48,5.09,15367.0,4.49,8.36,8748.75,9711.0,3029.0,0.609
2021-01-20,Utah,181792.0,319700.0,159814.0,0.51,5.67,16272.0,4.98,9.97,18587.0,11108.0,3465.0,0.569
2021-01-21,Utah,189578.0,337825.0,166334.0,0.54,5.91,17275.0,5.19,10.54,7786.0,10599.0,3306.0,0.561
2021-01-22,Utah,202729.0,341725.0,175364.0,0.65,6.32,20697.0,5.47,10.66,13151.0,10646.0,3321.0,0.593
2021-01-23,Utah,202729.0,341725.0,175364.0,0.65,6.32,20697.0,5.47,10.66,0.0,9396.0,2931.0,0.593
2021-01-24,Utah,202729.0,341725.0,175364.0,0.65,6.32,20697.0,5.47,10.66,0.0,8146.0,2541.0,0.593
2021-01-25,Utah,229007.0,341725.0,195221.0,0.8,7.14,25693.0,6.09,10.66,26278.0,10650.0,3322.0,0.67
2021-01-26,Utah,230418.0,374850.0,196507.0,0.81,7.19,25817.0,6.13,11.69,1411.0,9602.0,2995.0,0.615
2021-01-27,Utah,239807.0,394250.0,201134.0,0.94,7.48,30065.0,6.27,12.3,9389.0,8288.0,2585.0,0.608
2021-01-28,Utah,239807.0,399425.0,201134.0,0.94,7.48,30065.0,6.27,12.46,0.0,7176.0,2238.0,0.6
2021-01-29,Utah,271127.0,401375.0,219468.0,1.28,8.46,40909.0,6.85,12.52,31320.0,9771.0,3048.0,0.675
2021-01-30,Utah,286501.0,401375.0,227616.0,1.43,8.94,45874.0,7.1,12.52,15374.0,11967.0,3733.0,0.7140000000000001
2021-01-31,Utah,286501.0,401375.0,227616.0,1.43,8.94,45874.0,7.1,12.52,0.0,11967.0,3733.0,0.7140000000000001
2021-02-01,Utah,323030.0,401375.0,244613.0,1.95,10.08,62607.0,7.63,12.52,36529.0,13432.0,4190.0,0.805
2021-02-02,Utah,324636.0,427225.0,245534.0,1.97,10.13,63286.0,7.66,13.33,1606.0,13460.0,4198.0,0.76
2021-02-03,Utah,324636.0,471575.0,245534.0,1.97,10.13,63286.0,7.66,14.71,0.0,12118.0,3780.0,0.688
2021-02-04,Utah,353469.0,492450.0,258569.0,2.34,11.03,74992.0,8.07,15.36,28833.0,16237.0,5065.0,0.718
2021-02-05,Utah,376495.0,493425.0,271345.0,2.52,11.74,80826.0,8.46,15.39,23026.0,15053.0,4695.0,0.763
2021-02-06,Utah,400285.0,493525.0,284458.0,2.75,12.49,88190.0,8.87,15.39,23790.0,16255.0,5070.0,0.8109999999999999
2021-02-07,Utah,400285.0,493525.0,284458.0,2.75,12.49,88190.0,8.87,15.39,0.0,16255.0,5070.0,0.8109999999999999
2021-02-08,Utah,506629.0,493525.0,304991.0,3.25,15.8,104274.0,9.51,15.39,106344.0,26228.0,8181.0,1.0270000000000001
2021-02-09,Utah,510267.0,531875.0,307059.0,3.3,15.92,105704.0,9.58,16.59,3638.0,26519.0,8272.0,0.9590000000000001
2021-02-10,Utah,510267.0,554050.0,307059.0,3.3,15.92,105704.0,9.58,17.28,0.0,26519.0,8272.0,0.9209999999999999
2021-02-11,Utah,510267.0,579600.0,307059.0,3.3,15.92,105704.0,9.58,18.08,0.0,22400.0,6987.0,0.88
2021-02-12,Utah,510267.0,579700.0,307059.0,3.3,15.92,105704.0,9.58,18.08,0.0,19110.0,5961.0,0.88
2021-02-13,Utah,510267.0,579700.0,307059.0,3.3,15.92,105704.0,9.58,18.08,0.0,15712.0,4901.0,0.88
2021-02-14,Utah,510267.0,579700.0,307059.0,3.3,15.92,105704.0,9.58,18.08,0.0,15712.0,4901.0,0.88
2021-02-15,Utah,,,,,,,,,11184.0,2117.0,660.0,
2021-02-16,Utah,532635.0,604675.0,314844.0,3.68,16.61,118086.0,9.82,18.86,11184.0,3195.0,997.0,0.8809999999999999
2021-02-17,Utah,532635.0,605650.0,314844.0,3.68,16.61,118086.0,9.82,18.89,0.0,3195.0,997.0,0.879
2021-02-18,Utah,551742.0,618325.0,322861.0,3.93,17.21,126080.0,10.07,19.29,19107.0,5925.0,1848.0,0.892
2021-02-19,Utah,584648.0,657150.0,343017.0,4.24,18.24,136006.0,10.7,20.5,32906.0,10626.0,3314.0,0.89
2021-02-20,Utah,610074.0,658750.0,356046.0,4.56,19.03,146105.0,11.11,20.55,25426.0,14258.0,4447.0,0.9259999999999999
2021-02-21,Utah,610580.0,658750.0,356371.0,4.56,19.05,146286.0,11.12,20.55,506.0,14330.0,4470.0,0.927
2021-02-22,Utah,610874.0,658750.0,356543.0,4.57,19.05,146408.0,11.12,20.55,294.0,12775.0,3985.0,0.927
2021-02-23,Utah,611048.0,723510.0,356619.0,4.57,19.06,146506.0,11.12,22.57,174.0,11202.0,3494.0,0.845
2021-02-24,Utah,629173.0,759020.0,364163.0,4.83,19.63,154920.0,11.36,23.68,18125.0,13791.0,4302.0,0.8290000000000001
2021-02-25,Utah,662012.0,787680.0,378311.0,5.25,20.65,168462.0,11.8,24.57,32839.0,15753.0,4914.0,0.84
2021-02-26,Utah,662575.0,816550.0,378573.0,5.26,20.67,168763.0,11.81,25.47,563.0,11132.0,3472.0,0.8109999999999999
2021-02-27,Utah,687876.0,820950.0,391753.0,5.53,21.46,177135.0,12.22,25.61,25301.0,11115.0,3467.0,0.838
2021-02-28,Utah,688505.0,820950.0,391955.0,5.54,21.48,177561.0,12.23,25.61,629.0,11132.0,3472.0,0.8390000000000001
2021-03-01,Utah,688506.0,820950.0,391956.0,5.54,21.48,177561.0,12.23,25.61,1.0,11090.0,3459.0,0.8390000000000001
