date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Veterans Health,226754.0,885950.0,207449.0,,,19301.0,,,,,,0.256
2021-01-13,Veterans Health,254377.0,941525.0,227886.0,,,26487.0,,,27623.0,27623.0,,0.27
2021-01-14,Veterans Health,284697.0,941925.0,252993.0,,,,,,30320.0,28972.0,,0.302
2021-01-15,Veterans Health,317771.0,994425.0,280461.0,,,36983.0,,,33074.0,30339.0,,0.32
2021-01-16,Veterans Health,,,,,,,,,24609.5,28907.0,,
2021-01-17,Veterans Health,,,,,,,,,24609.5,28047.0,,
2021-01-18,Veterans Health,,,,,,,,,24609.5,27474.0,,
2021-01-19,Veterans Health,416209.0,994425.0,372382.0,,,43469.0,,,24609.5,27065.0,,0.419
2021-01-20,Veterans Health,432569.0,1048050.0,387870.0,,,44329.0,,,16360.0,25456.0,,0.413
2021-01-21,Veterans Health,527258.0,1100725.0,463738.0,,,62996.0,,,94689.0,34652.0,,0.479
2021-01-22,Veterans Health,579663.0,1150825.0,497096.0,,,81966.0,,,52405.0,37413.0,,0.504
2021-01-23,Veterans Health,623590.0,1151525.0,529784.0,,,93168.0,,,43927.0,40173.0,,0.542
2021-01-24,Veterans Health,664245.0,1151525.0,564247.0,,,99328.0,,,40655.0,42465.0,,0.5770000000000001
2021-01-25,Veterans Health,702779.0,1151525.0,600685.0,,,101396.0,,,38534.0,44454.0,,0.61
2021-01-26,Veterans Health,703351.0,1260325.0,600904.0,,,101749.0,,,572.0,41020.0,,0.5579999999999999
2021-01-27,Veterans Health,746109.0,1312125.0,626115.0,,,119254.0,,,42758.0,44791.0,,0.569
2021-01-28,Veterans Health,792348.0,1367700.0,655236.0,,,136319.0,,,46239.0,37870.0,,0.579
2021-01-29,Veterans Health,841497.0,1367700.0,688872.0,,,151793.0,,,49149.0,37405.0,,0.615
2021-01-30,Veterans Health,888305.0,1367700.0,721252.0,,,166191.0,,,46808.0,37816.0,,0.649
2021-01-31,Veterans Health,932278.0,1367700.0,754720.0,,,176655.0,,,43973.0,38290.0,,0.682
2021-02-01,Veterans Health,963346.0,1367700.0,781179.0,,,181258.0,,,31068.0,37224.0,,0.7040000000000001
2021-02-02,Veterans Health,973371.0,1491725.0,789785.0,,,182677.0,,,10025.0,38574.0,,0.653
2021-02-03,Veterans Health,1013974.0,1543525.0,813455.0,,,199554.0,,,40603.0,38266.0,,0.657
2021-02-04,Veterans Health,1026173.0,1598925.0,816665.0,,,208498.0,,,12199.0,33404.0,,0.642
2021-02-05,Veterans Health,1078011.0,1600425.0,847699.0,,,229255.0,,,51838.0,33788.0,,0.674
2021-02-06,Veterans Health,1130808.0,1733525.0,876409.0,,,253303.0,,,52797.0,34643.0,,0.652
2021-02-07,Veterans Health,1220300.0,1733525.0,927688.0,,,291482.0,,,89492.0,41146.0,,0.7040000000000001
2021-02-08,Veterans Health,1258957.0,1733525.0,952628.0,,,305197.0,,,38657.0,42230.0,,0.726
2021-02-09,Veterans Health,1268553.0,1929100.0,958539.0,,,308881.0,,,9596.0,42169.0,,0.6579999999999999
2021-02-10,Veterans Health,1322833.0,1986425.0,988979.0,,,332704.0,,,54280.0,44123.0,,0.6659999999999999
2021-02-11,Veterans Health,1377358.0,2042525.0,1020271.0,,,355921.0,,,54525.0,50169.0,,0.674
2021-02-12,Veterans Health,1439337.0,2042525.0,1056801.0,,,381365.0,,,61979.0,51618.0,,0.705
2021-02-13,Veterans Health,1502661.0,2042525.0,1091919.0,,,409548.0,,,63324.0,53122.0,,0.736
2021-02-14,Veterans Health,1600830.0,2042525.0,1146573.0,,,453043.0,,,98169.0,54361.0,,0.784
2021-02-15,Veterans Health,,,,,,,,,45936.0,55401.0,,
2021-02-16,Veterans Health,1692702.0,2048375.0,1211927.0,,,479556.0,,,45936.0,60593.0,,0.826
2021-02-17,Veterans Health,1720294.0,2080550.0,1230159.0,,,488912.0,,,27592.0,56780.0,,0.8270000000000001
2021-02-18,Veterans Health,1773677.0,2111750.0,1251428.0,,,521010.0,,,53383.0,56617.0,,0.84
2021-02-19,Veterans Health,1815046.0,2125400.0,1268720.0,,,545078.0,,,41369.0,53673.0,,0.8540000000000001
2021-02-20,Veterans Health,1862965.0,2185950.0,1289839.0,,,571860.0,,,47919.0,51472.0,,0.852
2021-02-21,Veterans Health,1911289.0,2186925.0,1310255.0,,,599755.0,,,48324.0,44351.0,,0.8740000000000001
2021-02-22,Veterans Health,1957142.0,2186925.0,1328177.0,,,627679.0,,,45853.0,44339.0,,0.895
2021-02-23,Veterans Health,2002806.0,2384285.0,1345116.0,,,656399.0,,,45664.0,44301.0,,0.84
2021-02-24,Veterans Health,2035752.0,2459785.0,1358289.0,,,676163.0,,,32946.0,45065.0,,0.828
2021-02-25,Veterans Health,2077586.0,2595905.0,1377608.0,,,698669.0,,,41834.0,43416.0,,0.8
2021-02-26,Veterans Health,2118065.0,2595905.0,1397648.0,,,719102.0,,,40479.0,43288.0,,0.816
2021-02-27,Veterans Health,2238548.0,2597405.0,1461294.0,,,775917.0,,,120483.0,53655.0,,0.862
2021-02-28,Veterans Health,2303674.0,2597405.0,1497145.0,,,805178.0,,,65126.0,56055.0,,0.887
2021-03-01,Veterans Health,2356446.0,2597405.0,1532520.0,,,822571.0,,,52772.0,57043.0,,0.907
2021-03-02,Veterans Health,2372611.0,2770485.0,1540721.0,,,830514.0,,,16165.0,52829.0,,0.856
2021-03-03,Veterans Health,2420189.0,2779685.0,1565132.0,,,853672.0,,,47578.0,54920.0,,0.871
2021-03-04,Veterans Health,2476015.0,3191805.0,1595222.0,,,879401.0,,,55826.0,56918.0,,0.7759999999999999
2021-03-05,Veterans Health,2535768.0,3194405.0,1628955.0,,,905414.0,,,59753.0,59672.0,,0.794
2021-03-06,Veterans Health,2597371.0,3195405.0,1665682.0,,,930285.0,,,61603.0,51260.0,,0.813
