date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Virgin Islands,880.0,9175.0,,,0.84,,,8.76,,,,0.096
2021-01-13,Virgin Islands,1195.0,9575.0,,,1.14,,,9.15,315.0,315.0,3009.0,0.125
2021-01-14,Virgin Islands,1424.0,10750.0,1267.0,,1.36,,1.21,10.27,229.0,272.0,2598.0,0.132
2021-01-15,Virgin Islands,1631.0,11825.0,1474.0,0.15,1.56,157.0,1.41,11.3,207.0,250.0,2388.0,0.138
2021-01-16,Virgin Islands,,,,,,,,,126.0,219.0,2092.0,
2021-01-17,Virgin Islands,,,,,,,,,126.0,201.0,1920.0,
2021-01-18,Virgin Islands,,,,,,,,,126.0,188.0,1796.0,
2021-01-19,Virgin Islands,2135.0,11825.0,1970.0,0.16,2.04,165.0,1.88,11.3,126.0,179.0,1710.0,0.18100000000000002
2021-01-20,Virgin Islands,2418.0,12325.0,2178.0,0.23,2.31,240.0,2.08,11.77,283.0,175.0,1672.0,0.196
2021-01-21,Virgin Islands,2744.0,13325.0,2450.0,0.28,2.62,294.0,2.34,12.73,326.0,189.0,1806.0,0.20600000000000002
2021-01-22,Virgin Islands,3070.0,13525.0,2703.0,0.35,2.93,367.0,2.58,12.92,326.0,206.0,1968.0,0.22699999999999998
2021-01-23,Virgin Islands,3355.0,13525.0,2946.0,0.39,3.21,409.0,2.81,12.92,285.0,228.0,2178.0,0.248
2021-01-24,Virgin Islands,3378.0,13525.0,2969.0,0.39,3.23,409.0,2.84,12.92,23.0,214.0,2044.0,0.25
2021-01-25,Virgin Islands,3399.0,14500.0,2984.0,0.4,3.25,415.0,2.85,13.85,21.0,199.0,1901.0,0.23399999999999999
2021-01-26,Virgin Islands,3747.0,15700.0,3251.0,0.47,3.58,496.0,3.11,15.0,348.0,230.0,2197.0,0.239
2021-01-27,Virgin Islands,4174.0,16875.0,3538.0,0.61,3.99,636.0,3.38,16.12,427.0,251.0,2398.0,0.247
2021-01-28,Virgin Islands,4620.0,17075.0,3901.0,0.69,4.41,719.0,3.73,16.31,446.0,268.0,2560.0,0.271
2021-01-29,Virgin Islands,5256.0,17075.0,4367.0,0.85,5.02,889.0,4.17,16.31,636.0,312.0,2981.0,0.308
2021-01-30,Virgin Islands,5967.0,17075.0,4898.0,1.02,5.7,1069.0,4.68,16.31,711.0,373.0,3563.0,0.349
2021-01-31,Virgin Islands,6008.0,17075.0,4920.0,1.04,5.74,1088.0,4.7,16.31,41.0,376.0,3592.0,0.35200000000000004
2021-02-01,Virgin Islands,6116.0,17075.0,5026.0,1.04,5.84,1090.0,4.8,16.31,108.0,388.0,3707.0,0.358
2021-02-02,Virgin Islands,6709.0,20325.0,5447.0,1.21,6.41,1262.0,5.2,19.42,593.0,423.0,4041.0,0.33
2021-02-03,Virgin Islands,7387.0,20325.0,5906.0,1.41,7.06,1481.0,5.64,19.42,678.0,459.0,4385.0,0.363
2021-02-04,Virgin Islands,8212.0,20625.0,6237.0,1.89,7.84,1975.0,5.96,19.7,825.0,513.0,4901.0,0.39799999999999996
