date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Virginia,190607.0,797150.0,,,2.23,,,9.34,,,,0.239
2021-01-13,Virginia,217836.0,845900.0,,,2.55,,,9.91,27229.0,27229.0,3190.0,0.258
2021-01-14,Virginia,217836.0,852725.0,192918.0,,2.55,,2.26,9.99,0.0,13614.0,1595.0,0.255
2021-01-15,Virginia,244234.0,852725.0,214732.0,0.33,2.86,28164.0,2.52,9.99,26398.0,17876.0,2094.0,0.28600000000000003
2021-01-16,Virginia,,,,,,,,,20665.0,18573.0,2176.0,
2021-01-17,Virginia,,,,,,,,,20665.0,18991.0,2225.0,
2021-01-18,Virginia,,,,,,,,,20665.0,19270.0,2258.0,
2021-01-19,Virginia,326894.0,852725.0,290146.0,0.41,3.83,35239.0,3.4,9.99,20665.0,19470.0,2281.0,0.38299999999999995
2021-01-20,Virginia,343366.0,962900.0,304160.0,0.44,4.02,37679.0,3.56,11.28,16472.0,17933.0,2101.0,0.35700000000000004
2021-01-21,Virginia,362092.0,992375.0,320175.0,0.47,4.24,40340.0,3.75,11.63,18726.0,20608.0,2414.0,0.365
2021-01-22,Virginia,401448.0,1067775.0,353808.0,0.54,4.7,46004.0,4.15,12.51,39356.0,22459.0,2631.0,0.376
2021-01-23,Virginia,429297.0,1069725.0,376378.0,0.57,5.03,49007.0,4.41,12.53,27849.0,23485.0,2751.0,0.401
2021-01-24,Virginia,451668.0,1069725.0,393127.0,0.6,5.29,51170.0,4.61,12.53,22371.0,23729.0,2780.0,0.42200000000000004
2021-01-25,Virginia,482973.0,1069725.0,415684.0,0.7,5.66,59852.0,4.87,12.53,31305.0,25249.0,2958.0,0.451
2021-01-26,Virginia,594828.0,1172375.0,497055.0,0.85,6.97,72628.0,5.82,13.74,111855.0,38276.0,4484.0,0.507
2021-01-27,Virginia,629019.0,1179550.0,524196.0,0.93,7.37,79443.0,6.14,13.82,34191.0,40808.0,4781.0,0.5329999999999999
2021-01-28,Virginia,668401.0,1171750.0,552909.0,1.05,7.83,89645.0,6.48,13.73,39382.0,43758.0,5127.0,0.57
2021-01-29,Virginia,724768.0,1186375.0,598853.0,1.17,8.49,99790.0,7.02,13.9,56367.0,46189.0,5411.0,0.611
2021-01-30,Virginia,785920.0,1232350.0,648378.0,1.3,9.21,110877.0,7.6,14.44,61152.0,50946.0,5969.0,0.638
2021-01-31,Virginia,833221.0,1232350.0,687883.0,1.39,9.76,118612.0,8.06,14.44,47301.0,54508.0,6386.0,0.6759999999999999
2021-02-01,Virginia,870820.0,1232350.0,718113.0,1.48,10.2,125933.0,8.41,14.44,37599.0,55407.0,6491.0,0.7070000000000001
2021-02-02,Virginia,901213.0,1306800.0,742017.0,1.55,10.56,132292.0,8.69,15.31,30393.0,43769.0,5128.0,0.69
2021-02-03,Virginia,922940.0,1370975.0,757544.0,1.62,10.81,138321.0,8.88,16.06,21727.0,41989.0,4919.0,0.6729999999999999
2021-02-04,Virginia,949066.0,1381375.0,774590.0,1.72,11.12,146937.0,9.07,16.18,26126.0,40095.0,4697.0,0.687
2021-02-05,Virginia,993848.0,1387775.0,805624.0,1.87,11.64,159239.0,9.44,16.26,44782.0,38440.0,4504.0,0.716
2021-02-06,Virginia,1052577.0,1387775.0,842587.0,2.12,12.33,180751.0,9.87,16.26,58729.0,38094.0,4463.0,0.758
2021-02-07,Virginia,1103370.0,1387775.0,875842.0,2.32,12.93,198115.0,10.26,16.26,50793.0,38593.0,4521.0,0.795
2021-02-08,Virginia,1135639.0,1387775.0,897049.0,2.45,13.3,209104.0,10.51,16.26,32269.0,37831.0,4432.0,0.818
2021-02-09,Virginia,1161590.0,1544150.0,912014.0,2.58,13.61,219823.0,10.68,18.09,25951.0,37197.0,4358.0,0.752
2021-02-10,Virginia,1187340.0,1559275.0,925586.0,2.71,13.91,231608.0,10.84,18.27,25750.0,37771.0,4425.0,0.7609999999999999
2021-02-11,Virginia,1223199.0,1589875.0,945182.0,2.9,14.33,247784.0,11.07,18.63,35859.0,39162.0,4588.0,0.769
2021-02-12,Virginia,1274838.0,1590575.0,971199.0,3.2,14.94,273106.0,11.38,18.63,51639.0,40141.0,4703.0,0.8009999999999999
2021-02-13,Virginia,1330305.0,1596425.0,993156.0,3.59,15.59,306484.0,11.64,18.7,55467.0,39675.0,4648.0,0.833
2021-02-14,Virginia,1355231.0,1596425.0,1004422.0,3.75,15.88,320109.0,11.77,18.7,24926.0,35980.0,4215.0,0.8490000000000001
2021-02-15,Virginia,,,,,,,,,38135.0,36818.0,4314.0,
2021-02-16,Virginia,1431501.0,1648500.0,1046408.0,4.15,16.77,354097.0,12.26,19.31,38135.0,38559.0,4517.0,0.868
2021-02-17,Virginia,1460103.0,1714800.0,1060294.0,4.32,17.11,368764.0,12.42,20.09,28602.0,38966.0,4565.0,0.851
2021-02-18,Virginia,1503786.0,1714800.0,1076555.0,4.64,17.62,396059.0,12.61,20.09,43683.0,40084.0,4696.0,0.877
2021-02-19,Virginia,1645485.0,1942700.0,1154362.0,5.39,19.28,459751.0,13.52,22.76,141699.0,52950.0,6203.0,0.847
2021-02-20,Virginia,1671217.0,1948550.0,1162487.0,5.59,19.58,477252.0,13.62,22.83,25732.0,48702.0,5706.0,0.858
2021-02-21,Virginia,1705294.0,1949525.0,1172647.0,5.87,19.98,501118.0,13.74,22.84,34077.0,50009.0,5859.0,0.875
2021-02-22,Virginia,1735451.0,1949525.0,1183068.0,6.1,20.33,520814.0,13.86,22.84,30157.0,48869.0,5725.0,0.89
2021-02-23,Virginia,1765927.0,2283165.0,1197154.0,6.29,20.69,537009.0,14.03,26.75,30476.0,47775.0,5597.0,0.773
2021-02-24,Virginia,1803505.0,2360275.0,1213282.0,6.54,21.13,558330.0,14.21,27.65,37578.0,49057.0,5747.0,0.764
2021-02-25,Virginia,1848774.0,2368825.0,1229982.0,6.87,21.66,586723.0,14.41,27.75,45269.0,49284.0,5774.0,0.78
2021-02-26,Virginia,1922788.0,2428885.0,1257635.0,7.41,22.53,632836.0,14.73,28.46,74014.0,39615.0,4641.0,0.792
2021-02-27,Virginia,2002734.0,2536495.0,1306124.0,7.78,23.46,664132.0,15.3,29.72,79946.0,47360.0,5549.0,0.79
