date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Washington,195567.0,567725.0,162105.0,0.23,2.57,17689.0,2.13,7.46,,,,0.344
2021-01-13,Washington,208238.0,572600.0,169650.0,0.3,2.73,22625.0,2.23,7.52,12671.0,12671.0,1664.0,0.364
2021-01-14,Washington,225238.0,655575.0,187450.0,,2.96,,2.46,8.61,17000.0,14836.0,1948.0,0.344
2021-01-15,Washington,242606.0,696175.0,200682.0,0.41,3.19,31581.0,2.64,9.14,17368.0,15680.0,2059.0,0.348
2021-01-16,Washington,,,,,,,,,19648.5,16672.0,2189.0,
2021-01-17,Washington,,,,,,,,,19648.5,17267.0,2268.0,
2021-01-18,Washington,,,,,,,,,19648.5,17664.0,2320.0,
2021-01-19,Washington,321200.0,696175.0,265507.0,0.59,4.22,45237.0,3.49,9.14,19648.5,17948.0,2357.0,0.461
2021-01-20,Washington,346765.0,805000.0,286500.0,0.65,4.55,49731.0,3.76,10.57,25565.0,19790.0,2599.0,0.431
2021-01-21,Washington,373423.0,820875.0,306942.0,0.73,4.9,55902.0,4.03,10.78,26658.0,21169.0,2780.0,0.455
2021-01-22,Washington,403135.0,829950.0,330357.0,0.82,5.29,62152.0,4.34,10.9,29712.0,22933.0,3012.0,0.486
2021-01-23,Washington,436997.0,846625.0,359217.0,0.88,5.74,67127.0,4.72,11.12,33862.0,24963.0,3278.0,0.516
2021-01-24,Washington,449385.0,846625.0,370231.0,0.9,5.9,68486.0,4.86,11.12,12388.0,23926.0,3142.0,0.531
2021-01-25,Washington,488785.0,846625.0,404326.0,0.97,6.42,73738.0,5.31,11.12,39400.0,26748.0,3513.0,0.5770000000000001
2021-01-26,Washington,507610.0,960800.0,420728.0,1.0,6.67,76144.0,5.53,12.62,18825.0,26630.0,3497.0,0.528
2021-01-27,Washington,534445.0,981050.0,441895.0,1.07,7.02,81786.0,5.8,12.88,26835.0,26811.0,3521.0,0.545
2021-01-28,Washington,571135.0,1003550.0,468528.0,1.2,7.5,91733.0,6.15,13.18,36690.0,28245.0,3709.0,0.569
2021-01-29,Washington,607071.0,1005500.0,496008.0,1.31,7.97,99955.0,6.51,13.2,35936.0,29134.0,3826.0,0.604
2021-01-30,Washington,643951.0,1031400.0,524466.0,1.42,8.46,108221.0,6.89,13.54,36880.0,29565.0,3883.0,0.624
2021-01-31,Washington,684344.0,1031400.0,555505.0,1.54,8.99,117398.0,7.29,13.54,40393.0,33566.0,4408.0,0.664
2021-02-01,Washington,720603.0,1031400.0,582420.0,1.66,9.46,126672.0,7.65,13.54,36259.0,33117.0,4349.0,0.6990000000000001
2021-02-02,Washington,741769.0,1129025.0,599313.0,1.72,9.74,130908.0,7.87,14.83,21166.0,33451.0,4393.0,0.657
2021-02-03,Washington,765954.0,1163675.0,616340.0,1.81,10.06,137930.0,8.09,15.28,24185.0,33073.0,4343.0,0.6579999999999999
2021-02-04,Washington,797358.0,1168625.0,637940.0,1.94,10.47,147498.0,8.38,15.35,31404.0,32318.0,4244.0,0.682
