date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,West Virginia,103330.0,160975.0,,,5.77,,,8.98,,,,0.642
2021-01-13,West Virginia,110709.0,160975.0,,,6.18,,,8.98,7379.0,7379.0,4117.0,0.688
2021-01-14,West Virginia,118660.0,160975.0,99061.0,,6.62,,5.53,8.98,7951.0,7665.0,4277.0,0.737
2021-01-15,West Virginia,134207.0,205475.0,113034.0,1.18,7.49,21162.0,6.31,11.47,15547.0,10292.0,5743.0,0.653
2021-01-16,West Virginia,,,,,,,,,4612.5,8872.0,4950.0,
2021-01-17,West Virginia,,,,,,,,,4612.5,8020.0,4475.0,
2021-01-18,West Virginia,,,,,,,,,4612.5,7452.0,4158.0,
2021-01-19,West Virginia,152657.0,205475.0,128923.0,1.32,8.52,23723.0,7.19,11.47,4612.5,7047.0,3932.0,0.743
2021-01-20,West Virginia,158621.0,231800.0,132929.0,1.43,8.85,25681.0,7.42,12.93,5964.0,6845.0,3819.0,0.684
2021-01-21,West Virginia,167548.0,231800.0,135950.0,1.76,9.35,31587.0,7.59,12.93,8927.0,6984.0,3897.0,0.723
2021-01-22,West Virginia,180762.0,231800.0,145361.0,1.97,10.09,35390.0,8.11,12.93,13214.0,6651.0,3711.0,0.78
2021-01-23,West Virginia,194844.0,243100.0,156854.0,2.12,10.87,37979.0,8.75,13.56,14082.0,8004.0,4466.0,0.8009999999999999
2021-01-24,West Virginia,202883.0,243100.0,163801.0,2.18,11.32,39071.0,9.14,13.56,8039.0,8493.0,4739.0,0.835
2021-01-25,West Virginia,203992.0,243100.0,164528.0,2.2,11.38,39453.0,9.18,13.56,1109.0,7992.0,4459.0,0.8390000000000001
2021-01-26,West Virginia,210492.0,278400.0,167660.0,2.39,11.75,42821.0,9.36,15.53,6500.0,8262.0,4610.0,0.7559999999999999
2021-01-27,West Virginia,214926.0,278400.0,169671.0,2.52,11.99,45244.0,9.47,15.53,4434.0,8044.0,4488.0,0.772
2021-01-28,West Virginia,224604.0,278400.0,173750.0,2.84,12.53,50843.0,9.7,15.53,9678.0,8151.0,4548.0,0.807
2021-01-29,West Virginia,239963.0,278400.0,181839.0,3.24,13.39,58113.0,10.15,15.53,15359.0,8457.0,4719.0,0.862
2021-01-30,West Virginia,256401.0,305200.0,191225.0,3.64,14.31,65165.0,10.67,17.03,16438.0,8794.0,4907.0,0.84
2021-01-31,West Virginia,259774.0,305200.0,192580.0,3.75,14.5,67183.0,10.75,17.03,3373.0,8127.0,4535.0,0.851
2021-02-01,West Virginia,260325.0,305200.0,192951.0,3.76,14.53,67363.0,10.77,17.03,551.0,8048.0,4491.0,0.853
2021-02-02,West Virginia,264205.0,325100.0,194301.0,3.9,14.74,69893.0,10.84,18.14,3880.0,7673.0,4281.0,0.813
2021-02-03,West Virginia,268065.0,328600.0,195200.0,4.04,14.96,72456.0,10.89,18.34,3860.0,7591.0,4236.0,0.816
