date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Wisconsin,137253.0,429500.0,125895.0,0.19,2.36,11343.0,2.16,7.38,,,,0.32
2021-01-13,Wisconsin,137253.0,435900.0,125895.0,0.19,2.36,11343.0,2.16,7.49,0.0,0.0,0.0,0.315
2021-01-14,Wisconsin,149955.0,437900.0,135841.0,,2.58,,2.33,7.52,12702.0,6351.0,1091.0,0.342
2021-01-15,Wisconsin,169803.0,437900.0,151387.0,0.29,2.92,17108.0,2.6,7.52,19848.0,10850.0,1863.0,0.38799999999999996
2021-01-16,Wisconsin,,,,,,,,,10923.75,10868.0,1867.0,
2021-01-17,Wisconsin,,,,,,,,,10923.75,10880.0,1869.0,
2021-01-18,Wisconsin,,,,,,,,,10923.75,10887.0,1870.0,
2021-01-19,Wisconsin,213498.0,437900.0,188144.0,0.41,3.67,23641.0,3.23,7.52,10923.75,10892.0,1871.0,0.488
2021-01-20,Wisconsin,222492.0,538325.0,193461.0,0.47,3.82,27312.0,3.32,9.25,8994.0,12177.0,2091.0,0.413
2021-01-21,Wisconsin,238758.0,577325.0,204746.0,0.55,4.1,32268.0,3.52,9.92,16266.0,12686.0,2179.0,0.414
2021-01-22,Wisconsin,260821.0,597225.0,221067.0,0.65,4.48,37901.0,3.8,10.26,22063.0,13003.0,2233.0,0.43700000000000006
2021-01-23,Wisconsin,285630.0,610100.0,241512.0,0.73,4.91,42229.0,4.15,10.48,24809.0,14986.0,2574.0,0.46799999999999997
2021-01-24,Wisconsin,308290.0,610100.0,260664.0,0.78,5.29,45641.0,4.48,10.48,22660.0,16663.0,2862.0,0.505
2021-01-25,Wisconsin,315876.0,610100.0,266481.0,0.81,5.43,47409.0,4.58,10.48,7586.0,16186.0,2780.0,0.518
2021-01-26,Wisconsin,318096.0,685100.0,268091.0,0.82,5.46,48017.0,4.6,11.77,2220.0,14943.0,2566.0,0.46399999999999997
2021-01-27,Wisconsin,335519.0,790400.0,281166.0,0.9,5.76,52332.0,4.83,13.58,17423.0,16147.0,2773.0,0.424
2021-01-28,Wisconsin,361917.0,793050.0,302339.0,0.99,6.22,57508.0,5.19,13.62,26398.0,17594.0,3022.0,0.456
2021-01-29,Wisconsin,406869.0,793750.0,339296.0,1.12,6.99,65354.0,5.83,13.63,44952.0,20864.0,3583.0,0.513
2021-01-30,Wisconsin,450251.0,795050.0,375931.0,1.24,7.73,71976.0,6.46,13.65,43382.0,23517.0,4039.0,0.5660000000000001
2021-01-31,Wisconsin,491058.0,795050.0,409614.0,1.36,8.43,78902.0,7.04,13.65,40807.0,26110.0,4484.0,0.618
2021-02-01,Wisconsin,513385.0,795050.0,429609.0,1.39,8.82,81097.0,7.38,13.65,22327.0,28216.0,4846.0,0.6459999999999999
2021-02-02,Wisconsin,522034.0,900250.0,437456.0,1.4,8.97,81523.0,7.51,15.46,8649.0,29134.0,5004.0,0.58
2021-02-03,Wisconsin,548172.0,922900.0,457768.0,1.46,9.41,84830.0,7.86,15.85,26138.0,30379.0,5218.0,0.594
2021-02-04,Wisconsin,548912.0,925800.0,458321.0,1.46,9.43,84998.0,7.87,15.9,740.0,26714.0,4588.0,0.593
2021-02-05,Wisconsin,595152.0,926300.0,491942.0,1.66,10.22,96850.0,8.45,15.91,46240.0,26898.0,4620.0,0.643
2021-02-06,Wisconsin,638241.0,926300.0,521331.0,1.89,10.96,110306.0,8.95,15.91,43089.0,26856.0,4613.0,0.6890000000000001
2021-02-07,Wisconsin,742527.0,926300.0,581413.0,2.63,12.75,153227.0,9.99,15.91,104286.0,35924.0,6170.0,0.802
2021-02-08,Wisconsin,763252.0,926300.0,595912.0,2.73,13.11,159160.0,10.23,15.91,20725.0,35695.0,6131.0,0.8240000000000001
2021-02-09,Wisconsin,769314.0,1045950.0,600268.0,2.76,13.21,160627.0,10.31,17.96,6062.0,35326.0,6067.0,0.736
2021-02-10,Wisconsin,796703.0,1059200.0,619711.0,2.89,13.68,168029.0,10.64,18.19,27389.0,35504.0,6098.0,0.752
2021-02-11,Wisconsin,826275.0,1080700.0,640058.0,3.03,14.19,176673.0,10.99,18.56,29572.0,39623.0,6805.0,0.765
2021-02-12,Wisconsin,864476.0,1080800.0,664353.0,3.26,14.85,190059.0,11.41,18.56,38201.0,38475.0,6608.0,0.8
2021-02-13,Wisconsin,916129.0,1082100.0,689583.0,3.71,15.73,216092.0,11.84,18.59,51653.0,39698.0,6818.0,0.847
2021-02-14,Wisconsin,955412.0,1082100.0,709908.0,4.03,16.41,234709.0,12.19,18.59,39283.0,30412.0,5223.0,0.883
2021-02-15,Wisconsin,,,,,,,,,18139.5,30043.0,5160.0,
2021-02-16,Wisconsin,991691.0,1223525.0,736864.0,4.18,17.03,243483.0,12.66,21.01,18139.5,31768.0,5456.0,0.8109999999999999
2021-02-17,Wisconsin,1012491.0,1238725.0,748247.0,4.34,17.39,252667.0,12.85,21.28,20800.0,30827.0,5295.0,0.8170000000000001
2021-02-18,Wisconsin,1040145.0,1243125.0,762117.0,4.57,17.86,266163.0,13.09,21.35,27654.0,30553.0,5247.0,0.8370000000000001
2021-02-19,Wisconsin,1137395.0,1300325.0,818760.0,5.26,19.53,306537.0,14.06,22.33,97250.0,38988.0,6696.0,0.875
2021-02-20,Wisconsin,1188631.0,1301825.0,841506.0,5.75,20.41,334625.0,14.45,22.36,51236.0,38929.0,6686.0,0.9129999999999999
2021-02-21,Wisconsin,1230619.0,1301825.0,858185.0,6.17,21.14,359360.0,14.74,22.36,41988.0,39315.0,6752.0,0.945
2021-02-22,Wisconsin,1252322.0,1301825.0,867121.0,6.39,21.51,371843.0,14.89,22.36,21703.0,39824.0,6840.0,0.9620000000000001
2021-02-23,Wisconsin,1259647.0,1401205.0,869836.0,6.46,21.63,376139.0,14.94,24.07,7325.0,38279.0,6574.0,0.899
2021-02-24,Wisconsin,1282723.0,1447395.0,878042.0,6.71,22.03,390586.0,15.08,24.86,23076.0,38605.0,6630.0,0.8859999999999999
2021-02-25,Wisconsin,1314188.0,1579565.0,889210.0,7.05,22.57,410457.0,15.27,27.13,31465.0,39149.0,6724.0,0.8320000000000001
2021-02-26,Wisconsin,1359943.0,1588265.0,907620.0,7.51,23.36,437472.0,15.59,27.28,45755.0,31793.0,5460.0,0.856
2021-02-27,Wisconsin,1421435.0,1588665.0,935708.0,8.08,24.41,470564.0,16.07,27.29,61492.0,33258.0,5712.0,0.895
2021-02-28,Wisconsin,1470570.0,1588665.0,956474.0,8.56,25.26,498381.0,16.43,27.29,49135.0,34279.0,5887.0,0.9259999999999999
2021-03-01,Wisconsin,1500923.0,1588665.0,969437.0,8.85,25.78,515405.0,16.65,27.29,30353.0,35514.0,6100.0,0.945
2021-03-02,Wisconsin,1521200.0,1814215.0,982487.0,8.97,26.13,522547.0,16.87,31.16,20277.0,37365.0,6417.0,0.838
2021-03-03,Wisconsin,1553270.0,1863155.0,1000207.0,9.21,26.68,536537.0,17.18,32.0,32070.0,38650.0,6638.0,0.8340000000000001
2021-03-04,Wisconsin,1596290.0,1876225.0,1023137.0,9.56,27.42,556340.0,17.57,32.22,43020.0,40300.0,6922.0,0.851
2021-03-05,Wisconsin,1656753.0,1895165.0,1058297.0,9.98,28.45,581022.0,18.18,32.55,60463.0,42401.0,7282.0,0.8740000000000001
