date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Wyoming,16467.0,47800.0,13577.0,0.37,2.85,2116.0,2.35,8.26,,,,0.344
2021-01-13,Wyoming,17794.0,57800.0,14406.0,0.44,3.07,2559.0,2.49,9.99,1327.0,1327.0,2293.0,0.308
2021-01-14,Wyoming,19776.0,58775.0,17310.0,,3.42,,2.99,10.16,1982.0,1654.0,2858.0,0.336
2021-01-15,Wyoming,22745.0,58775.0,19931.0,0.48,3.93,2803.0,3.44,10.16,2969.0,2093.0,3616.0,0.387
2021-01-16,Wyoming,,,,,,,,,1328.0,1902.0,3286.0,
2021-01-17,Wyoming,,,,,,,,,1328.0,1787.0,3088.0,
2021-01-18,Wyoming,,,,,,,,,1328.0,1710.0,2955.0,
2021-01-19,Wyoming,28057.0,58775.0,24788.0,0.56,4.85,3242.0,4.28,10.16,1328.0,1656.0,2861.0,0.47700000000000004
2021-01-20,Wyoming,29309.0,62575.0,25841.0,0.59,5.06,3441.0,4.46,10.81,1252.0,1645.0,2842.0,0.46799999999999997
2021-01-21,Wyoming,29309.0,67450.0,25841.0,0.59,5.06,3441.0,4.46,11.65,0.0,1362.0,2353.0,0.435
2021-01-22,Wyoming,34547.0,69650.0,29993.0,0.78,5.97,4515.0,5.18,12.03,5238.0,1686.0,2913.0,0.496
2021-01-23,Wyoming,37559.0,70750.0,32746.0,0.82,6.49,4773.0,5.66,12.22,3012.0,1927.0,3330.0,0.531
2021-01-24,Wyoming,40803.0,70750.0,35868.0,0.85,7.05,4895.0,6.2,12.22,3244.0,2200.0,3801.0,0.5770000000000001
2021-01-25,Wyoming,41156.0,70750.0,36215.0,0.85,7.11,4900.0,6.26,12.22,353.0,2061.0,3561.0,0.5820000000000001
2021-01-26,Wyoming,41339.0,71725.0,36398.0,0.85,7.14,4900.0,6.29,12.39,183.0,1897.0,3278.0,0.5760000000000001
2021-01-27,Wyoming,43425.0,82825.0,37963.0,0.94,7.5,5419.0,6.56,14.31,2086.0,2017.0,3485.0,0.524
2021-01-28,Wyoming,43425.0,82825.0,37963.0,0.94,7.5,5419.0,6.56,14.31,0.0,2017.0,3485.0,0.524
2021-01-29,Wyoming,49166.0,85750.0,41441.0,1.33,8.5,7674.0,7.16,14.82,5741.0,2088.0,3608.0,0.573
2021-01-30,Wyoming,49166.0,85750.0,41441.0,1.33,8.5,7674.0,7.16,14.82,0.0,1658.0,2865.0,0.573
2021-01-31,Wyoming,57023.0,85750.0,47639.0,1.61,9.85,9321.0,8.23,14.82,7857.0,2317.0,4003.0,0.665
2021-02-01,Wyoming,58721.0,85750.0,48155.0,1.67,10.15,9651.0,8.32,14.82,1698.0,2509.0,4335.0,0.685
2021-02-02,Wyoming,59018.0,89450.0,48255.0,1.7,10.2,9848.0,8.34,15.46,297.0,2526.0,4365.0,0.66
2021-02-03,Wyoming,60775.0,97750.0,49361.0,1.81,10.5,10495.0,8.53,16.89,1757.0,2479.0,4283.0,0.622
2021-02-04,Wyoming,60775.0,97750.0,49361.0,1.81,10.5,10495.0,8.53,16.89,0.0,2479.0,4283.0,0.622
2021-02-05,Wyoming,67417.0,101650.0,53630.0,2.22,11.65,12852.0,9.27,17.56,6642.0,2607.0,4504.0,0.6629999999999999
2021-02-06,Wyoming,71858.0,101650.0,56076.0,2.56,12.42,14835.0,9.69,17.56,4441.0,3242.0,5602.0,0.7070000000000001
2021-02-07,Wyoming,71858.0,101650.0,56076.0,2.56,12.42,14835.0,9.69,17.56,0.0,2119.0,3661.0,0.7070000000000001
2021-02-08,Wyoming,76457.0,101650.0,58775.0,2.89,13.21,16729.0,10.16,17.56,4599.0,2534.0,4378.0,0.752
2021-02-09,Wyoming,76457.0,113175.0,58775.0,2.89,13.21,16729.0,10.16,19.55,0.0,2491.0,4304.0,0.6759999999999999
2021-02-10,Wyoming,79515.0,117475.0,61170.0,3.14,13.74,18180.0,10.57,20.3,3058.0,2677.0,4625.0,0.677
2021-02-11,Wyoming,79515.0,118875.0,61170.0,3.14,13.74,18180.0,10.57,20.54,0.0,2677.0,4625.0,0.669
2021-02-12,Wyoming,89138.0,122000.0,65857.0,3.98,15.4,23032.0,11.38,21.08,9623.0,3103.0,5361.0,0.731
2021-02-13,Wyoming,89138.0,122000.0,65857.0,3.98,15.4,23032.0,11.38,21.08,0.0,2469.0,4266.0,0.731
2021-02-14,Wyoming,99099.0,122200.0,71653.0,4.69,17.12,27132.0,12.38,21.11,9961.0,3892.0,6725.0,0.8109999999999999
2021-02-15,Wyoming,,,,,,,,,543.5,3312.0,5723.0,
2021-02-16,Wyoming,100186.0,122200.0,72339.0,4.76,17.31,27531.0,12.5,21.11,543.5,3390.0,5857.0,0.82
2021-02-17,Wyoming,100186.0,127075.0,72339.0,4.76,17.31,27531.0,12.5,21.96,0.0,2953.0,5102.0,0.7879999999999999
2021-02-18,Wyoming,105426.0,127075.0,74983.0,5.2,18.22,30110.0,12.96,21.96,5240.0,3702.0,6396.0,0.83
2021-02-19,Wyoming,124310.0,150005.0,87289.0,6.33,21.48,36651.0,15.08,25.92,18884.0,5025.0,8682.0,0.8290000000000001
2021-02-20,Wyoming,129060.0,150905.0,89346.0,6.79,22.3,39323.0,15.44,26.07,4750.0,5703.0,9854.0,0.855
2021-02-21,Wyoming,129470.0,150905.0,89605.0,6.82,22.37,39474.0,15.48,26.07,410.0,4339.0,7497.0,0.858
2021-02-22,Wyoming,135635.0,150905.0,91931.0,7.48,23.44,43289.0,15.88,26.07,6165.0,5142.0,8885.0,0.899
2021-02-23,Wyoming,136163.0,167025.0,92151.0,7.53,23.53,43596.0,15.92,28.86,528.0,5140.0,8881.0,0.815
2021-02-24,Wyoming,136366.0,172465.0,92216.0,7.56,23.56,43734.0,15.93,29.8,203.0,5169.0,8931.0,0.7909999999999999
2021-02-25,Wyoming,141545.0,183065.0,94291.0,8.09,24.46,46807.0,16.29,31.63,5179.0,5160.0,8916.0,0.773
2021-02-26,Wyoming,145577.0,194055.0,96079.0,8.47,25.15,49043.0,16.6,33.53,4032.0,3038.0,5249.0,0.75
2021-02-27,Wyoming,151584.0,195855.0,98484.0,9.09,26.19,52608.0,17.02,33.84,6007.0,3218.0,5560.0,0.774
2021-02-28,Wyoming,156397.0,195855.0,100902.0,9.5,27.02,54962.0,17.43,33.84,4813.0,3847.0,6647.0,0.799
2021-03-01,Wyoming,156741.0,195855.0,100903.0,9.56,27.08,55305.0,17.43,33.84,344.0,3015.0,5209.0,0.8
